['15', '20', '18', '38', '2', '38', '146', '0', '18', '37', '262', '0', '2', '15', '25', '209', '3', '0', '3', '22', '3', '13', '240', '196', '278', '342', '1', '0', '1', '1', '2', '1', '6', '63', '1', '10', '5', '13', '7', '15', '0', '1', '1', '1', '24', '33', '35', '27']
['12', '18', '34', '116', '2', '25', '113', '0', '13', '19', '127', '0', '0', '23', '35', '230', '1', '1', '1', '7', '7', '54', '120', '176', '236', '289', '2', '1', '4', '2', '1', '3', '5', '40', '5', '40', '4', '13', '5', '15', '0', '0', '3', '4', '28', '03', '31', '57']
['16', '8', '34', '103', '1', '13', '26', '0', '17', '27', '181', '1', '0', '18', '34', '137', '0', '3', '1', '13', '3', '21', '168', '116', '271', '142', '4', '0', '0', '0', '0', '3', '4', '25', '3', '21', '5', '14', '3', '12', '0', '0', '0', '1', '35', '49', '24', '11']
['17', '16', '25', '161', '1', '28', '125', '0', '13', '26', '138', '0', '3', '18', '34', '217', '0', '0', '4', '40', '3', '22', '98', '195', '259', '320', '2', '2', '0', '0', '5', '0', '4', '30', '10', '94', '5', '12', '3', '15', '1', '1', '0', '0', '27', '11', '32', '49']
['12', '19', '24', '99', '1', '41', '183', '0', '15', '23', '164', '0', '0', '11', '23', '163', '2', '1', '3', '23', '3', '27', '141', '136', '240', '319', '3', '0', '2', '1', '0', '2', '7', '53', '1', '5', '3', '11', '5', '13', '0', '1', '2', '2', '27', '05', '32', '55']
['24', '19', '30', '130', '0', '20', '70', '0', '24', '35', '314', '3', '1', '18', '27', '208', '1', '0', '1', '3', '5', '37', '311', '171', '441', '241', '0', '0', '1', '0', '1', '0', '5', '51', '3', '20', '8', '13', '3', '11', '0', '0', '1', '2', '32', '51', '27', '09']
['24', '22', '34', '91', '1', '25', '86', '2', '24', '33', '319', '2', '0', '20', '42', '250', '0', '3', '2', '17', '2', '8', '302', '242', '393', '328', '2', '2', '2', '0', '2', '3', '8', '53', '8', '70', '4', '13', '5', '13', '0', '0', '1', '2', '34', '02', '25', '58']
['24', '15', '47', '252', '0', '16', '65', '0', '10', '22', '140', '2', '0', '21', '39', '186', '0', '1', '1', '7', '4', '36', '133', '150', '385', '215', '1', '0', '3', '1', '0', '2', '2', '20', '8', '45', '4', '13', '2', '12', '0', '1', '0', '2', '36', '28', '23', '32']
['17', '15', '26', '91', '0', '17', '38', '0', '25', '30', '210', '0', '0', '21', '37', '229', '0', '0', '5', '37', '3', '16', '173', '213', '264', '251', '2', '1', '3', '1', '1', '1', '8', '55', '7', '61', '2', '11', '5', '14', '0', '0', '0', '0', '32', '25', '27', '35']
['17', '15', '41', '156', '0', '22', '85', '1', '16', '30', '170', '1', '1', '16', '27', '132', '1', '2', '0', '0', '5', '31', '170', '101', '326', '186', '1', '1', '1', '1', '2', '3', '6', '44', '4', '35', '9', '18', '5', '12', '0', '1', '0', '0', '32', '46', '27', '14']
['14', '22', '22', '88', '1', '32', '78', '2', '16', '33', '246', '1', '3', '23', '34', '237', '1', '1', '2', '11', '1', '8', '235', '229', '323', '307', '0', '0', '1', '0', '3', '1', '9', '93', '2', '41', '6', '15', '5', '13', '1', '1', '0', '0', '25', '48', '34', '12']
['18', '14', '36', '109', '0', '23', '103', '0', '19', '27', '258', '1', '1', '16', '30', '186', '0', '2', '1', '6', '3', '22', '252', '164', '361', '267', '0', '0', '1', '1', '1', '3', '4', '25', '5', '45', '4', '14', '1', '11', '1', '1', '2', '3', '34', '05', '25', '55']
['19', '23', '18', '107', '2', '29', '84', '1', '23', '40', '288', '1', '0', '23', '37', '301', '3', '0', '1', '2', '3', '18', '286', '283', '393', '367', '2', '2', '3', '1', '2', '1', '8', '62', '11', '85', '1', '9', '7', '14', '1', '1', '0', '0', '24', '58', '35', '02']
['22', '23', '23', '55', '1', '28', '186', '1', '25', '41', '276', '1', '1', '20', '34', '247', '2', '1', '1', '4', '0', '0', '272', '247', '327', '433', '0', '0', '1', '1', '1', '2', '3', '20', '10', '64', '11', '16', '4', '8', '0', '0', '0', '1', '29', '57', '30', '03']
['18', '15', '34', '86', '1', '25', '103', '1', '16', '30', '223', '1', '0', '17', '28', '163', '0', '0', '1', '0', '0', '0', '223', '163', '309', '266', '2', '0', '2', '0', '0', '0', '9', '60', '7', '55', '9', '17', '4', '13', '0', '0', '0', '0', '31', '44', '28', '16']
['14', '9', '48', '194', '2', '20', '87', '0', '8', '11', '108', '1', '0', '8', '19', '96', '0', '0', '0', '0', '9', '54', '108', '42', '302', '129', '1', '0', '1', '1', '0', '1', '3', '25', '7', '54', '7', '16', '2', '12', '1', '1', '0', '1', '35', '48', '24', '12']
