['18', '13', '35', '186', '0', '10', '21', '0', '19', '29', '213', '3', '1', '22', '40', '252', '1', '1', '1', '4', '8', '53', '209', '199', '395', '220', '1', '1', '1', '1', '2', '2', '11', '100', '7', '55', '7', '14', '2', '12', '0', '0', '0', '2', '34', '04', '25', '56']
['10', '27', '24', '101', '1', '37', '137', '0', '10', '20', '120', '0', '2', '22', '29', '306', '5', '0', '1', '10', '1', '8', '110', '298', '211', '435', '0', '0', '0', '0', '2', '0', '5', '55', '2', '19', '5', '10', '7', '12', '0', '0', '1', '2', '22', '43', '37', '17']
['16', '22', '16', '38', '0', '41', '223', '1', '25', '39', '216', '1', '1', '13', '22', '161', '0', '1', '2', '10', '1', '2', '206', '159', '244', '382', '2', '0', '0', '0', '1', '1', '7', '44', '4', '25', '4', '12', '4', '10', '0', '1', '0', '0', '24', '58', '35', '02']
['17', '19', '11', '21', '0', '35', '114', '1', '22', '42', '224', '0', '2', '21', '27', '161', '1', '0', '9', '73', '0', '0', '151', '161', '172', '275', '2', '1', '0', '0', '3', '0', '4', '28', '10', '87', '1', '12', '4', '12', '1', '3', '0', '0', '25', '14', '34', '46']
['20', '23', '31', '171', '1', '29', '140', '1', '13', '25', '148', '1', '2', '24', '37', '228', '1', '1', '0', '0', '2', '19', '148', '209', '319', '349', '1', '1', '0', '0', '3', '1', '5', '34', '5', '35', '5', '11', '8', '16', '0', '0', '2', '2', '29', '26', '30', '34']
['21', '17', '14', '25', '0', '26', '27', '1', '39', '54', '323', '1', '1', '24', '32', '286', '1', '0', '4', '14', '1', '9', '309', '277', '334', '304', '1', '0', '1', '0', '1', '0', '7', '77', '1', '5', '7', '15', '4', '13', '0', '1', '1', '1', '30', '51', '29', '09']
['19', '13', '35', '207', '1', '23', '72', '2', '16', '22', '132', '2', '0', '21', '28', '169', '0', '1', '3', '16', '0', '0', '116', '169', '323', '241', '2', '1', '3', '0', '1', '1', '10', '108', '4', '55', '1', '11', '3', '10', '2', '2', '0', '0', '32', '10', '27', '50']
['15', '14', '25', '101', '0', '37', '143', '0', '23', '38', '168', '1', '2', '11', '23', '118', '2', '1', '1', '5', '1', '8', '163', '110', '264', '253', '0', '0', '3', '0', '2', '1', '4', '40', '6', '40', '6', '16', '4', '15', '0', '1', '0', '0', '30', '46', '29', '14']
['24', '9', '37', '88', '1', '14', '51', '0', '27', '34', '300', '3', '1', '18', '29', '186', '0', '4', '1', '0', '4', '34', '300', '152', '388', '203', '0', '0', '2', '1', '1', '5', '8', '75', '9', '93', '7', '14', '4', '12', '1', '1', '0', '2', '37', '50', '22', '10']
['22', '30', '6', '17', '0', '33', '157', '1', '31', '51', '405', '1', '2', '27', '41', '271', '3', '0', '1', '10', '2', '16', '395', '255', '412', '412', '5', '3', '1', '1', '5', '1', '8', '64', '8', '63', '2', '9', '7', '15', '2', '3', '2', '2', '23', '28', '36', '32']
['20', '21', '25', '95', '2', '45', '281', '1', '21', '30', '349', '2', '0', '9', '24', '84', '0', '0', '2', '17', '3', '32', '332', '52', '427', '333', '0', '0', '1', '0', '0', '0', '5', '35', '7', '65', '6', '13', '4', '15', '0', '0', '2', '2', '25', '41', '34', '19']
