['21', '21', '32', '157', '1', '29', '148', '2', '18', '33', '194', '1', '1', '18', '26', '178', '1', '2', '3', '18', '2', '19', '176', '159', '333', '307', '0', '0', '1', '1', '1', '3', '8', '85', '4', '22', '9', '15', '5', '10', '0', '0', '1', '1', '32', '19', '27', '41']
['11', '18', '24', '65', '1', '28', '83', '0', '15', '22', '111', '0', '0', '22', '33', '258', '1', '0', '2', '16', '4', '33', '95', '225', '160', '308', '0', '0', '1', '1', '0', '1', '8', '89', '6', '35', '3', '13', '6', '15', '2', '2', '0', '1', '27', '07', '32', '53']
['18', '20', '25', '95', '1', '26', '48', '1', '20', '34', '199', '2', '0', '24', '39', '320', '1', '1', '1', '0', '3', '20', '199', '300', '294', '348', '1', '0', '1', '0', '0', '1', '5', '24', '9', '79', '7', '14', '4', '15', '1', '1', '3', '4', '28', '37', '31', '23']
['14', '23', '21', '120', '1', '34', '133', '1', '12', '26', '190', '0', '1', '22', '37', '278', '2', '0', '3', '22', '2', '8', '168', '270', '288', '403', '2', '0', '2', '0', '1', '0', '4', '15', '7', '46', '2', '10', '5', '15', '0', '2', '1', '1', '20', '40', '39', '20']
['15', '19', '28', '65', '0', '22', '64', '0', '18', '33', '236', '0', '0', '25', '41', '271', '2', '1', '0', '0', '2', '19', '236', '252', '301', '316', '0', '0', '2', '2', '0', '3', '3', '39', '2', '10', '6', '14', '8', '14', '0', '0', '0', '0', '29', '35', '30', '25']
['18', '22', '19', '57', '1', '30', '152', '0', '23', '30', '366', '1', '1', '19', '35', '189', '2', '1', '7', '42', '1', '1', '324', '188', '381', '340', '0', '0', '1', '0', '1', '1', '5', '44', '7', '95', '3', '11', '4', '12', '0', '0', '0', '0', '25', '07', '34', '53']
['25', '27', '26', '167', '3', '22', '88', '0', '24', '38', '319', '1', '0', '28', '42', '423', '4', '0', '0', '0', '1', '4', '319', '419', '486', '507', '1', '0', '2', '1', '0', '1', '14', '141', '7', '53', '4', '11', '4', '11', '0', '0', '1', '1', '30', '25', '29', '35']
['25', '26', '32', '155', '2', '19', '83', '2', '25', '36', '243', '1', '0', '34', '48', '363', '2', '1', '1', '10', '3', '33', '233', '330', '388', '413', '0', '0', '0', '0', '0', '1', '5', '30', '6', '46', '7', '15', '5', '14', '0', '0', '2', '2', '34', '01', '31', '06']
['14', '17', '20', '73', '1', '35', '129', '0', '16', '29', '216', '1', '1', '22', '35', '231', '2', '1', '5', '31', '2', '16', '185', '215', '258', '344', '2', '0', '1', '0', '1', '1', '4', '30', '6', '69', '4', '13', '12', '20', '0', '2', '0', '0', '23', '41', '36', '19']
['20', '19', '28', '90', '0', '22', '52', '0', '23', '32', '281', '4', '1', '27', '39', '334', '2', '0', '0', '0', '3', '12', '281', '322', '371', '374', '0', '0', '0', '0', '1', '0', '6', '48', '7', '74', '3', '10', '3', '13', '0', '0', '1', '2', '27', '37', '32', '23']
['11', '21', '20', '64', '1', '32', '112', '0', '16', '29', '186', '0', '0', '27', '43', '258', '1', '1', '5', '36', '3', '18', '150', '240', '214', '352', '2', '0', '1', '1', '0', '2', '4', '40', '8', '69', '3', '13', '5', '16', '0', '1', '2', '3', '25', '28', '34', '32']
