['Chicago_Bears', '3', '10', '3', '16', nan, '32', 'Detroit_Lions', '3', '27', '7', '3', nan, '40']
['Arizona_Cardinals', '0', '0', '0', '13', nan, '13', 'Tampa_Bay_Buccaneers', '7', '3', '0', '0', nan, '10']
['Indianapolis_Colts', '0', '20', '14', '3', nan, '37', 'Jacksonville_Jaguars', '3', '0', '0', '0', nan, '3']
['Cincinnati_Bengals', '0', '3', '3', '0', nan, '6', 'Cleveland_Browns', '7', '0', '3', '7', nan, '17']
['Pittsburgh_Steelers', '7', '3', '7', '10', nan, '27', 'Minnesota_Vikings', '10', '10', '14', '0', nan, '34']
['New_York_Jets', '0', '6', '0', '7', nan, '13', 'Tennessee_Titans', '10', '14', '0', '14', nan, '38']
['Dallas_Cowboys', '0', '21', '0', '0', nan, '21', 'San_Diego_Chargers', '7', '6', '7', '10', nan, '30']
['Washington_Redskins', '0', '10', '7', '7', nan, '24', 'Oakland_Raiders', '14', '0', '0', '0', nan, '14']
['Philadelphia_Eagles', '3', '10', '0', '7', nan, '20', 'Denver_Broncos', '14', '7', '21', '10', nan, '52']
['New_England_Patriots', '0', '10', '3', '17', nan, '30', 'Atlanta_Falcons', '3', '7', '0', '13', nan, '23']
['Miami_Dolphins', '3', '7', '0', '7', nan, '17', 'New_Orleans_Saints', '7', '14', '14', '3', nan, '38']
['Buffalo_Bills', '10', '0', '14', '0', nan, '24', 'Cleveland_Browns', '0', '17', '7', '13', nan, '37']
['Jacksonville_Jaguars', '10', '0', '3', '7', nan, '20', 'St._Louis_Rams', '7', '17', '0', '10', nan, '34']
['Philadelphia_Eagles', '3', '16', '3', '14', nan, '36', 'New_York_Giants', '7', '0', '14', '0', nan, '21']
['Baltimore_Ravens', '3', '3', '10', '10', nan, '26', 'Miami_Dolphins', '3', '10', '0', '10', nan, '23']
['Detroit_Lions', '0', '3', '0', '6', nan, '9', 'Green_Bay_Packers', '3', '3', '10', '6', nan, '22']
['New_England_Patriots', '0', '3', '0', '3', nan, '6', 'Cincinnati_Bengals', '0', '3', '3', '7', nan, '13']
['New_Orleans_Saints', '6', '14', '3', '3', nan, '26', 'Chicago_Bears', '0', '7', '3', '8', nan, '18']
['Kansas_City_Chiefs', '7', '6', '0', '13', nan, '26', 'Tennessee_Titans', '0', '0', '10', '7', nan, '17']
['Seattle_Seahawks', '12', '7', '9', '0', nan, '28', 'Indianapolis_Colts', '7', '10', '6', '11', nan, '34']
['Carolina_Panthers', '3', '3', '0', '0', nan, '6', 'Arizona_Cardinals', '0', '3', '9', '10', nan, '22']
['Denver_Broncos', '7', '21', '10', '13', nan, '51', 'Dallas_Cowboys', '14', '6', '13', '15', nan, '48']
['Houston_Texans', '0', '0', '3', '0', nan, '3', 'San_Francisco_49ers', '14', '7', '3', '10', nan, '34']
['San_Diego_Chargers', '0', '0', '3', '14', nan, '17', 'Oakland_Raiders', '14', '3', '7', '3', nan, '27']
['New_York_Jets', '3', '14', '3', '10', nan, '30', 'Atlanta_Falcons', '0', '7', '7', '14', nan, '28']
