['Chicago_Bears', '7', '10', '3', '10', nan, '30', 'Philadelphia_Eagles', '0', '10', '14', '0', nan, '24']
['Oakland_Raiders', '7', '10', '7', '0', nan, '24', 'San_Diego_Chargers', '3', '0', '14', '0', nan, '17']
['Arizona_Cardinals', '0', '7', '0', '14', nan, '21', 'Philadelphia_Eagles', '0', '14', '0', '3', nan, '17']
['Buffalo_Bills', '0', '7', '0', '0', nan, '7', 'Dallas_Cowboys', '14', '14', '6', '10', nan, '44']
['Jacksonville_Jaguars', '3', '0', '7', '7', nan, '17', 'Indianapolis_Colts', '0', '3', '0', '0', nan, '3']
['Pittsburgh_Steelers', '14', '3', '7', '0', nan, '24', 'Cincinnati_Bengals', '7', '3', '7', '0', nan, '17']
['Houston_Texans', '9', '7', '14', '7', nan, '37', 'Tampa_Bay_Buccaneers', '0', '3', '0', '6', nan, '9']
['Washington_Redskins', '3', '3', '3', '0', nan, '9', 'Miami_Dolphins', '7', '3', '3', '7', nan, '20']
['Denver_Broncos', '7', '3', '0', '7', nan, '17', 'Kansas_City_Chiefs', '0', '0', '7', '3', nan, '10']
['St._Louis_Rams', '0', '10', '0', '3', nan, '13', 'Cleveland_Browns', '3', '6', '3', '0', nan, '12']
['New_Orleans_Saints', '3', '7', '7', '6', '3', '26', 'Atlanta_Falcons', '3', '3', '7', '10', '0', '23']
['Tennessee_Titans', '14', '3', '3', '10', nan, '30', 'Carolina_Panthers', '0', '0', '3', '0', nan, '3']
['Baltimore_Ravens', '0', '7', '3', '7', nan, '17', 'Seattle_Seahawks', '10', '9', '3', '0', nan, '22']
['New_York_Giants', '3', '3', '7', '7', nan, '20', 'San_Francisco_49ers', '3', '6', '3', '15', nan, '27']
['Detroit_Lions', '0', '6', '0', '7', nan, '13', 'Chicago_Bears', '10', '10', '17', '0', nan, '37']
['New_England_Patriots', '6', '7', '10', '14', nan, '37', 'New_York_Jets', '0', '9', '0', '7', nan, '16']
['Minnesota_Vikings', '0', '0', '7', '0', nan, '7', 'Green_Bay_Packers', '14', '3', '14', '14', nan, '45']
['New_York_Jets', '0', '3', '7', '3', nan, '13', 'Denver_Broncos', '3', '0', '7', '7', nan, '17']
['Cincinnati_Bengals', '7', '0', '7', '10', nan, '24', 'Baltimore_Ravens', '0', '14', '10', '7', nan, '31']
['Buffalo_Bills', '3', '3', '0', '2', nan, '8', 'Miami_Dolphins', '14', '14', '7', '0', nan, '35']
['Tampa_Bay_Buccaneers', '0', '10', '3', '13', nan, '26', 'Green_Bay_Packers', '7', '14', '0', '14', nan, '35']
['Carolina_Panthers', '10', '17', '0', '8', nan, '35', 'Detroit_Lions', '0', '14', '14', '21', nan, '49']
['Jacksonville_Jaguars', '0', '7', '0', '3', nan, '10', 'Cleveland_Browns', '0', '7', '0', '7', nan, '14']
['Dallas_Cowboys', '7', '3', '0', '14', '3', '27', 'Washington_Redskins', '0', '14', '3', '7', '0', '24']
['Oakland_Raiders', '3', '21', '3', '0', nan, '27', 'Minnesota_Vikings', '7', '0', '0', '14', nan, '21']
['Arizona_Cardinals', '0', '0', '0', '7', nan, '7', 'San_Francisco_49ers', '6', '3', '14', '0', nan, '23']
['Seattle_Seahawks', '0', '10', '7', '7', nan, '24', 'St._Louis_Rams', '7', '0', '0', '0', nan, '7']
['Tennessee_Titans', '0', '3', '7', '7', nan, '17', 'Atlanta_Falcons', '7', '6', '10', '0', nan, '23']
['San_Diego_Chargers', '3', '7', '7', '3', nan, '20', 'Chicago_Bears', '3', '14', '14', '0', nan, '31']
['Philadelphia_Eagles', '0', '10', '0', '7', nan, '17', 'New_York_Giants', '0', '3', '0', '7', nan, '10']
['Kansas_City_Chiefs', '3', '0', '0', '0', nan, '3', 'New_England_Patriots', '0', '10', '17', '7', nan, '34']
