['16', '15', '30', '133', '0', '32', '185', '1', '12', '26', '109', '1', '0', '12', '23', '200', '1', '0', '5', '33', '3', '15', '76', '185', '209', '370', '0', '0', '1', '0', '0', '0', '4', '22', '8', '65', '4', '15', '7', '15', '1', '1', '0', '0', '28', '47', '31', '13']
['17', '24', '23', '155', '1', '33', '122', '3', '21', '30', '244', '2', '2', '21', '32', '292', '0', '0', '3', '25', '0', '0', '219', '292', '374', '414', '1', '0', '0', '0', '2', '0', '7', '75', '7', '79', '5', '11', '5', '11', '1', '2', '0', '0', '29', '13', '30', '47']
['22', '20', '24', '118', '0', '31', '90', '0', '29', '45', '328', '0', '1', '18', '29', '316', '3', '1', '3', '22', '1', '7', '306', '309', '424', '399', '2', '0', '0', '0', '1', '1', '7', '45', '3', '16', '3', '13', '4', '13', '1', '4', '1', '1', '30', '41', '29', '19']
['18', '17', '23', '94', '1', '31', '94', '1', '23', '34', '188', '1', '1', '25', '32', '264', '1', '0', '1', '9', '0', '0', '179', '264', '273', '358', '2', '2', '0', '0', '3', '0', '2', '11', '11', '111', '6', '12', '6', '14', '0', '0', '0', '0', '26', '24', '33', '36']
['24', '24', '26', '139', '2', '35', '166', '3', '21', '35', '237', '0', '3', '14', '22', '163', '1', '0', '1', '8', '1', '4', '229', '159', '368', '325', '2', '0', '0', '0', '3', '0', '7', '85', '4', '57', '8', '12', '7', '11', '1', '1', '0', '0', '29', '26', '30', '34']
['14', '21', '29', '203', '1', '18', '66', '0', '17', '32', '125', '1', '1', '28', '50', '293', '2', '0', '2', '14', '5', '49', '111', '244', '314', '310', '1', '1', '2', '0', '2', '0', '15', '120', '6', '54', '2', '14', '2', '15', '1', '1', '1', '2', '29', '39', '30', '21']
['22', '17', '38', '192', '1', '14', '42', '1', '18', '32', '237', '1', '2', '17', '37', '260', '0', '4', '2', '7', '2', '15', '230', '245', '422', '287', '0', '0', '2', '0', '2', '4', '8', '60', '9', '75', '6', '16', '1', '10', '1', '2', '1', '1', '38', '08', '21', '52']
['18', '18', '21', '65', '0', '40', '151', '1', '21', '45', '215', '2', '0', '15', '24', '187', '1', '0', '2', '12', '2', '9', '203', '178', '268', '329', '1', '1', '3', '1', '1', '1', '5', '34', '5', '35', '8', '16', '8', '16', '0', '1', '2', '3', '25', '19', '34', '41']
['18', '24', '25', '93', '0', '30', '113', '2', '21', '37', '220', '1', '0', '20', '33', '305', '0', '1', '4', '20', '2', '16', '200', '289', '293', '402', '2', '0', '1', '1', '0', '2', '5', '15', '5', '25', '6', '16', '3', '11', '0', '3', '0', '0', '27', '48', '32', '12']
['20', '21', '20', '70', '1', '25', '117', '0', '29', '45', '383', '1', '3', '23', '41', '303', '2', '0', '0', '0', '0', '0', '383', '303', '453', '420', '1', '1', '0', '0', '4', '0', '7', '53', '7', '64', '5', '12', '4', '14', '0', '1', '0', '0', '28', '33', '31', '27']
['21', '25', '24', '77', '0', '25', '101', '0', '27', '41', '317', '1', '1', '27', '41', '289', '2', '2', '2', '17', '3', '19', '300', '270', '377', '371', '1', '1', '2', '2', '2', '4', '10', '77', '5', '35', '4', '12', '8', '13', '0', '0', '0', '0', '32', '49', '27', '11']
['15', '22', '17', '53', '1', '28', '119', '1', '28', '42', '276', '0', '0', '21', '31', '267', '2', '0', '5', '43', '1', '9', '233', '258', '286', '377', '0', '0', '2', '1', '0', '1', '5', '40', '3', '15', '6', '15', '4', '11', '0', '2', '0', '0', '29', '20', '30', '40']
