['19', '21', '22', '56', '1', '22', '94', '1', '24', '40', '363', '1', '1', '25', '44', '290', '1', '1', '1', '7', '3', '25', '356', '265', '412', '359', '0', '0', '2', '0', '1', '1', '4', '50', '5', '45', '7', '15', '9', '16', '0', '0', '0', '0', '29', '57', '30', '03']
['15', '19', '30', '80', '0', '24', '145', '1', '22', '38', '180', '0', '2', '15', '26', '328', '3', '1', '0', '0', '1', '10', '180', '318', '260', '463', '0', '0', '2', '1', '2', '2', '7', '55', '6', '33', '6', '17', '4', '9', '1', '3', '0', '0', '33', '11', '26', '49']
['22', '12', '27', '162', '1', '17', '36', '0', '26', '39', '315', '0', '0', '21', '29', '185', '2', '0', '3', '15', '3', '29', '300', '156', '462', '192', '3', '1', '1', '0', '1', '0', '12', '94', '5', '40', '3', '13', '4', '12', '2', '2', '1', '1', '33', '23', '26', '37']
['22', '16', '32', '149', '1', '15', '45', '0', '23', '33', '353', '1', '1', '24', '37', '249', '1', '3', '3', '28', '1', '8', '325', '241', '474', '286', '2', '2', '0', '0', '3', '3', '12', '110', '2', '25', '5', '13', '2', '9', '0', '0', '0', '0', '36', '26', '23', '34']
['30', '19', '42', '227', '1', '22', '86', '2', '25', '36', '261', '2', '1', '17', '26', '234', '1', '0', '1', '7', '1', '4', '254', '230', '481', '316', '0', '0', '0', '0', '1', '0', '13', '82', '10', '76', '8', '15', '6', '10', '2', '2', '0', '0', '40', '03', '19', '57']
['21', '22', '17', '41', '0', '44', '252', '3', '22', '44', '280', '0', '2', '12', '19', '105', '2', '0', '4', '23', '1', '6', '257', '99', '298', '351', '2', '2', '0', '0', '4', '0', '3', '27', '8', '110', '3', '11', '6', '12', '0', '0', '1', '1', '26', '20', '33', '40']
['20', '16', '20', '76', '0', '34', '110', '1', '31', '46', '381', '3', '3', '17', '29', '231', '2', '1', '2', '19', '2', '13', '362', '218', '438', '328', '2', '1', '2', '0', '4', '1', '7', '50', '5', '35', '5', '14', '7', '17', '0', '0', '0', '0', '30', '03', '29', '57']
['25', '24', '28', '138', '1', '29', '71', '0', '22', '45', '311', '1', '1', '28', '46', '311', '2', '2', '0', '0', '3', '25', '311', '286', '449', '357', '1', '0', '2', '1', '1', '3', '16', '132', '9', '60', '3', '13', '8', '17', '0', '0', '0', '0', '30', '41', '33', '19']
['26', '17', '26', '87', '0', '26', '85', '0', '36', '58', '395', '2', '2', '16', '27', '293', '3', '0', '1', '7', '2', '10', '388', '283', '475', '368', '0', '0', '3', '2', '2', '2', '6', '80', '4', '35', '8', '18', '4', '12', '0', '1', '1', '2', '34', '00', '26', '00']
['19', '20', '33', '165', '2', '30', '182', '0', '18', '33', '153', '0', '1', '16', '36', '173', '1', '2', '2', '12', '5', '23', '141', '150', '306', '332', '1', '1', '0', '0', '2', '2', '5', '39', '7', '67', '4', '13', '5', '16', '0', '0', '2', '2', '31', '22', '32', '28']
['19', '14', '37', '149', '1', '17', '80', '0', '15', '28', '193', '1', '0', '23', '37', '282', '0', '3', '0', '0', '6', '48', '193', '234', '342', '314', '0', '0', '1', '0', '0', '3', '2', '20', '6', '35', '5', '15', '4', '14', '0', '0', '0', '2', '32', '15', '27', '45']
['27', '20', '24', '94', '0', '32', '183', '3', '35', '52', '352', '2', '2', '17', '22', '182', '1', '1', '4', '25', '1', '4', '327', '178', '421', '361', '2', '1', '1', '0', '3', '1', '5', '29', '7', '66', '8', '17', '6', '12', '1', '1', '1', '1', '31', '32', '28', '28']
['25', '23', '31', '99', '0', '28', '90', '2', '24', '37', '338', '6', '0', '22', '38', '255', '0', '3', '2', '10', '3', '24', '328', '231', '427', '321', '0', '0', '1', '0', '0', '3', '4', '51', '7', '69', '5', '14', '5', '12', '0', '1', '0', '0', '27', '59', '32', '01']
