['15', '23', '27', '101', '0', '25', '80', '1', '16', '30', '222', '3', '0', '28', '52', '239', '1', '3', '3', '13', '2', '14', '209', '225', '310', '305', '2', '1', '1', '0', '1', '3', '10', '126', '1', '1', '5', '14', '4', '16', '1', '1', '1', '3', '28', '34', '31', '26']
['21', '25', '20', '85', '2', '33', '94', '1', '23', '47', '279', '1', '1', '25', '37', '330', '2', '1', '3', '29', '1', '5', '250', '325', '335', '419', '0', '0', '2', '1', '1', '2', '7', '40', '5', '43', '6', '17', '7', '14', '1', '2', '0', '0', '23', '08', '36', '52']
['18', '16', '54', '231', '0', '26', '125', '0', '9', '17', '134', '2', '0', '24', '41', '180', '0', '2', '4', '23', '3', '14', '111', '166', '342', '291', '4', '2', '1', '1', '2', '3', '5', '44', '8', '69', '5', '17', '3', '18', '0', '0', '1', '1', '36', '45', '31', '09']
['23', '23', '25', '118', '1', '24', '74', '0', '20', '38', '257', '2', '1', '31', '47', '354', '2', '2', '0', '0', '4', '20', '257', '334', '375', '408', '1', '1', '1', '1', '2', '3', '6', '45', '6', '69', '7', '13', '9', '17', '0', '0', '1', '3', '26', '20', '33', '40']
['18', '19', '19', '66', '0', '37', '193', '2', '25', '52', '312', '3', '3', '20', '30', '186', '2', '2', '5', '31', '0', '0', '281', '186', '347', '379', '3', '2', '2', '1', '5', '3', '7', '46', '13', '118', '9', '18', '2', '12', '0', '1', '1', '1', '27', '49', '32', '11']
['14', '24', '24', '72', '0', '32', '112', '1', '20', '37', '175', '1', '3', '24', '38', '239', '1', '1', '4', '20', '0', '0', '155', '239', '227', '351', '2', '0', '2', '1', '3', '2', '8', '92', '7', '65', '4', '17', '4', '12', '2', '3', '0', '1', '27', '51', '32', '09']
['16', '18', '22', '134', '0', '33', '123', '0', '20', '37', '140', '1', '3', '17', '29', '225', '3', '1', '4', '27', '1', '8', '113', '217', '247', '340', '1', '0', '0', '0', '3', '1', '11', '72', '4', '44', '3', '14', '5', '13', '0', '0', '0', '0', '30', '56', '29', '04']
['20', '19', '31', '138', '0', '19', '100', '1', '19', '33', '151', '2', '1', '24', '35', '248', '1', '1', '0', '0', '2', '9', '151', '239', '289', '339', '0', '0', '1', '0', '1', '1', '4', '42', '6', '73', '5', '12', '6', '11', '2', '3', '0', '1', '34', '24', '25', '36']
['12', '19', '32', '142', '0', '26', '169', '1', '11', '21', '124', '1', '0', '23', '35', '241', '1', '1', '3', '17', '5', '21', '107', '220', '249', '389', '2', '1', '2', '0', '1', '1', '7', '70', '5', '40', '4', '13', '4', '15', '0', '0', '1', '1', '28', '01', '31', '59']
['21', '23', '21', '68', '1', '35', '160', '2', '27', '42', '351', '3', '2', '18', '22', '283', '3', '1', '2', '7', '2', '11', '344', '272', '412', '432', '0', '0', '3', '1', '2', '2', '9', '49', '7', '61', '7', '14', '4', '9', '2', '3', '0', '1', '27', '37', '32', '23']
['20', '15', '28', '80', '1', '22', '109', '1', '25', '36', '268', '1', '0', '21', '30', '171', '1', '2', '1', '5', '1', '6', '263', '165', '343', '274', '1', '1', '3', '0', '1', '2', '4', '32', '5', '40', '6', '14', '6', '12', '1', '2', '0', '1', '32', '03', '27', '57']
['23', '12', '37', '194', '1', '15', '28', '0', '17', '25', '252', '1', '1', '19', '34', '246', '1', '0', '1', '7', '3', '23', '245', '223', '439', '251', '1', '0', '1', '0', '1', '0', '6', '57', '7', '48', '4', '11', '3', '11', '0', '0', '0', '2', '36', '39', '23', '21']
['12', '20', '32', '148', '0', '17', '46', '0', '11', '19', '128', '1', '0', '31', '54', '394', '1', '2', '3', '10', '4', '28', '118', '366', '266', '412', '1', '0', '3', '1', '0', '3', '5', '77', '5', '46', '4', '14', '5', '17', '0', '0', '0', '2', '30', '36', '29', '24']
['18', '25', '19', '85', '0', '34', '168', '2', '21', '37', '212', '1', '0', '23', '32', '306', '1', '1', '1', '0', '1', '1', '212', '305', '297', '473', '1', '1', '0', '0', '1', '1', '5', '51', '4', '45', '2', '9', '6', '13', '0', '1', '1', '1', '24', '07', '35', '53']
['19', '32', '23', '94', '0', '21', '88', '1', '25', '36', '342', '3', '0', '29', '52', '417', '3', '0', '1', '11', '0', '0', '331', '417', '425', '505', '1', '0', '0', '0', '0', '0', '8', '108', '10', '97', '8', '15', '6', '13', '0', '0', '1', '1', '30', '36', '29', '24']
