['19', '22', '22', '92', '0', '31', '73', '2', '18', '39', '265', '3', '0', '24', '38', '306', '2', '0', '2', '19', '0', '0', '246', '306', '338', '379', '2', '1', '0', '0', '1', '0', '16', '149', '7', '46', '4', '13', '6', '16', '0', '0', '0', '1', '27', '40', '32', '20']
['19', '23', '23', '57', '0', '34', '198', '3', '27', '44', '352', '1', '1', '15', '26', '200', '0', '1', '3', '19', '1', '9', '333', '191', '390', '389', '7', '2', '1', '0', '3', '1', '8', '80', '4', '26', '8', '16', '4', '10', '1', '3', '0', '0', '31', '29', '28', '31']
['12', '20', '23', '95', '1', '36', '152', '0', '9', '21', '70', '0', '3', '17', '28', '170', '1', '0', '5', '45', '1', '6', '25', '164', '120', '316', '2', '2', '0', '0', '5', '0', '6', '38', '10', '71', '3', '10', '3', '14', '1', '1', '1', '1', '21', '45', '38', '15']
['16', '18', '23', '97', '0', '41', '206', '2', '18', '27', '219', '1', '2', '9', '11', '218', '2', '0', '3', '13', '0', '0', '206', '218', '303', '424', '4', '2', '0', '0', '4', '0', '7', '49', '3', '27', '3', '8', '5', '10', '0', '0', '0', '0', '29', '10', '30', '50']
['12', '15', '31', '146', '1', '15', '33', '0', '18', '29', '213', '2', '2', '22', '33', '233', '0', '3', '2', '14', '3', '18', '199', '215', '345', '248', '1', '0', '4', '2', '2', '5', '13', '99', '9', '70', '8', '17', '5', '11', '0', '0', '0', '0', '30', '34', '29', '26']
['21', '20', '33', '101', '2', '25', '141', '1', '18', '24', '192', '0', '0', '19', '31', '212', '1', '2', '1', '2', '1', '3', '190', '209', '291', '350', '3', '2', '3', '2', '2', '4', '9', '74', '11', '84', '8', '13', '8', '13', '0', '0', '0', '0', '32', '36', '27', '24']
['11', '18', '18', '41', '1', '40', '164', '0', '15', '28', '141', '0', '1', '14', '25', '175', '0', '1', '3', '16', '3', '16', '125', '159', '166', '323', '3', '1', '4', '2', '2', '3', '8', '86', '5', '45', '6', '13', '6', '16', '0', '0', '1', '1', '25', '45', '34', '15']
['19', '21', '20', '70', '0', '33', '151', '1', '22', '48', '251', '1', '2', '24', '36', '275', '2', '1', '1', '9', '0', '0', '242', '275', '312', '426', '2', '1', '3', '2', '3', '3', '7', '73', '11', '69', '1', '12', '8', '15', '1', '3', '0', '2', '27', '42', '32', '18']
['20', '18', '19', '97', '0', '31', '119', '0', '21', '36', '246', '2', '2', '18', '32', '258', '2', '0', '3', '21', '3', '15', '225', '243', '322', '362', '3', '3', '1', '0', '5', '0', '5', '29', '6', '31', '3', '9', '4', '13', '0', '0', '0', '0', '25', '49', '34', '11']
['26', '16', '32', '148', '1', '18', '95', '0', '26', '34', '280', '2', '1', '26', '43', '278', '1', '2', '2', '8', '0', '0', '272', '278', '420', '373', '2', '1', '3', '1', '2', '3', '5', '40', '7', '56', '2', '8', '5', '13', '0', '1', '0', '3', '34', '13', '25', '47']
['26', '12', '26', '89', '0', '21', '34', '1', '34', '56', '362', '2', '1', '13', '18', '192', '2', '0', '7', '46', '2', '9', '316', '183', '405', '217', '0', '0', '2', '2', '1', '2', '7', '48', '5', '30', '8', '20', '1', '7', '4', '4', '0', '0', '39', '23', '20', '37']
