['26', '29', '28', '205', '3', '23', '106', '2', '29', '48', '315', '1', '1', '31', '61', '441', '2', '0', '2', '19', '3', '22', '296', '419', '501', '525', '1', '0', '2', '1', '1', '1', '8', '66', '7', '70', '6', '15', '9', '18', '1', '1', '0', '0', '35', '38', '37', '01']
['22', '22', '32', '149', '1', '11', '35', '0', '19', '27', '304', '4', '1', '37', '62', '441', '3', '2', '3', '16', '2', '18', '288', '423', '437', '458', '0', '0', '1', '1', '1', '3', '5', '41', '7', '45', '6', '12', '8', '17', '0', '0', '1', '1', '31', '42', '28', '18']
['25', '25', '39', '152', '2', '29', '119', '1', '18', '27', '323', '3', '0', '26', '36', '301', '1', '1', '0', '0', '2', '15', '323', '286', '475', '405', '1', '1', '5', '4', '1', '5', '8', '37', '5', '35', '11', '15', '3', '10', '0', '0', '1', '3', '29', '34', '30', '26']
['15', '23', '20', '114', '0', '39', '113', '2', '22', '43', '159', '1', '1', '23', '31', '188', '1', '1', '2', '15', '1', '5', '144', '183', '258', '296', '2', '2', '1', '1', '3', '2', '3', '44', '5', '55', '6', '16', '11', '19', '1', '3', '1', '1', '22', '30', '37', '30']
['13', '14', '20', '49', '1', '34', '108', '1', '20', '34', '199', '0', '3', '17', '26', '158', '1', '1', '1', '6', '4', '28', '193', '130', '242', '238', '8', '5', '0', '0', '8', '1', '9', '68', '10', '90', '1', '9', '3', '16', '0', '0', '0', '0', '26', '30', '33', '30']
['14', '18', '23', '99', '0', '34', '221', '1', '19', '34', '146', '1', '1', '16', '30', '210', '3', '0', '4', '27', '2', '16', '119', '194', '218', '415', '1', '1', '0', '0', '2', '0', '3', '25', '3', '25', '3', '12', '9', '17', '0', '2', '0', '0', '29', '14', '30', '46']
['20', '16', '24', '79', '2', '21', '50', '2', '26', '32', '353', '1', '1', '20', '31', '284', '0', '0', '1', '8', '2', '8', '345', '276', '424', '326', '1', '1', '0', '0', '2', '0', '2', '15', '5', '24', '8', '13', '4', '10', '0', '0', '0', '0', '29', '22', '30', '38']
['16', '23', '27', '96', '0', '28', '189', '2', '21', '27', '224', '2', '0', '18', '26', '253', '1', '1', '2', '8', '1', '7', '216', '246', '312', '435', '0', '0', '0', '0', '0', '1', '10', '59', '2', '15', '7', '14', '4', '9', '0', '0', '0', '0', '31', '59', '28', '01']
['21', '13', '24', '95', '0', '31', '148', '0', '22', '37', '285', '2', '1', '13', '26', '126', '0', '1', '2', '12', '2', '10', '273', '116', '368', '264', '0', '0', '1', '0', '1', '1', '4', '35', '7', '50', '7', '14', '3', '14', '0', '0', '0', '0', '28', '17', '31', '43']
['20', '19', '29', '110', '0', '27', '100', '1', '23', '40', '261', '1', '2', '17', '26', '261', '2', '1', '1', '11', '7', '40', '250', '221', '360', '321', '1', '0', '0', '0', '2', '1', '6', '42', '5', '30', '6', '15', '7', '14', '0', '0', '0', '1', '30', '37', '29', '23']
['16', '22', '23', '135', '0', '29', '87', '0', '17', '33', '180', '1', '1', '20', '37', '240', '1', '1', '2', '11', '4', '15', '169', '225', '304', '312', '0', '0', '2', '1', '1', '2', '4', '46', '6', '37', '4', '13', '8', '16', '0', '0', '0', '0', '28', '22', '31', '38']
