['14', '28', '25', '68', '0', '30', '108', '1', '19', '27', '199', '2', '0', '27', '38', '337', '5', '0', '6', '40', '2', '15', '159', '322', '227', '430', '1', '1', '0', '0', '1', '0', '2', '30', '4', '29', '6', '14', '5', '10', '0', '0', '0', '0', '22', '49', '37', '11']
['18', '14', '37', '129', '1', '14', '31', '0', '16', '27', '183', '0', '0', '24', '40', '199', '1', '3', '1', '18', '2', '20', '165', '179', '294', '210', '1', '0', '0', '0', '0', '3', '8', '53', '5', '40', '8', '16', '6', '13', '0', '0', '0', '1', '35', '14', '24', '46']
['17', '23', '31', '101', '1', '28', '177', '0', '19', '31', '200', '1', '0', '22', '43', '202', '1', '1', '1', '11', '2', '14', '189', '188', '290', '365', '2', '0', '3', '1', '0', '2', '12', '95', '3', '38', '5', '14', '3', '11', '0', '0', '0', '2', '31', '12', '28', '48']
['22', '19', '30', '84', '0', '18', '44', '0', '24', '38', '330', '3', '0', '17', '37', '218', '3', '2', '1', '7', '2', '13', '323', '205', '407', '249', '3', '2', '0', '0', '2', '2', '11', '94', '4', '25', '8', '15', '3', '12', '0', '1', '0', '1', '34', '55', '25', '05']
['20', '24', '9', '12', '0', '34', '137', '1', '33', '58', '351', '3', '1', '22', '37', '277', '4', '0', '3', '30', '1', '3', '321', '274', '333', '411', '4', '1', '1', '0', '2', '0', '6', '45', '6', '40', '4', '15', '10', '17', '2', '2', '0', '1', '28', '44', '31', '16']
['14', '23', '10', '50', '0', '38', '167', '1', '25', '44', '228', '0', '1', '21', '27', '205', '2', '1', '2', '10', '1', '10', '218', '195', '268', '362', '1', '0', '2', '0', '1', '1', '10', '82', '6', '40', '3', '12', '6', '13', '0', '1', '0', '0', '23', '37', '36', '23']
['21', '23', '21', '132', '0', '26', '27', '0', '20', '36', '245', '1', '1', '26', '42', '315', '2', '0', '5', '33', '3', '6', '212', '309', '344', '336', '0', '0', '1', '0', '1', '0', '12', '95', '6', '45', '6', '13', '7', '16', '0', '1', '0', '0', '27', '35', '32', '25']
['19', '19', '17', '94', '1', '31', '140', '0', '36', '53', '259', '0', '3', '21', '28', '236', '3', '1', '1', '8', '0', '0', '251', '236', '345', '376', '0', '0', '1', '0', '3', '1', '7', '45', '3', '35', '6', '15', '3', '10', '1', '3', '0', '1', '29', '53', '30', '07']
['24', '22', '39', '191', '2', '24', '116', '0', '20', '28', '174', '0', '1', '22', '31', '230', '1', '2', '0', '0', '2', '20', '174', '210', '365', '326', '0', '0', '2', '1', '1', '3', '9', '53', '6', '78', '7', '12', '5', '11', '0', '0', '0', '1', '33', '28', '26', '32']
['25', '21', '28', '129', '0', '27', '158', '1', '21', '38', '291', '3', '0', '19', '30', '255', '2', '0', '1', '5', '1', '0', '286', '255', '415', '413', '4', '2', '0', '0', '2', '0', '9', '91', '8', '58', '5', '12', '6', '13', '0', '1', '0', '0', '30', '32', '29', '28']
['24', '20', '26', '79', '0', '19', '102', '0', '29', '43', '300', '4', '0', '30', '49', '329', '2', '1', '2', '10', '2', '11', '290', '318', '369', '420', '0', '0', '0', '0', '0', '1', '8', '70', '6', '35', '6', '14', '5', '15', '1', '1', '2', '3', '31', '24', '28', '36']
['17', '18', '13', '33', '0', '37', '105', '1', '26', '51', '321', '2', '3', '20', '29', '302', '1', '0', '3', '22', '0', '0', '299', '302', '332', '407', '3', '0', '1', '0', '3', '0', '4', '35', '7', '80', '3', '15', '4', '15', '2', '2', '1', '2', '24', '00', '36', '00']
['26', '17', '29', '70', '2', '17', '67', '0', '24', '40', '271', '0', '0', '25', '36', '318', '1', '1', '1', '4', '2', '17', '267', '301', '337', '368', '0', '0', '2', '1', '0', '2', '7', '47', '13', '81', '7', '14', '0', '9', '0', '1', '1', '2', '37', '27', '22', '33']
['26', '21', '14', '58', '2', '27', '100', '1', '37', '59', '490', '1', '4', '21', '30', '345', '5', '0', '2', '10', '2', '9', '480', '336', '538', '436', '1', '0', '2', '0', '4', '0', '6', '65', '8', '76', '5', '11', '7', '13', '0', '1', '0', '0', '32', '00', '28', '00']
['16', '23', '16', '39', '0', '32', '179', '3', '23', '42', '280', '3', '0', '23', '42', '270', '1', '1', '3', '18', '3', '16', '262', '254', '301', '433', '1', '1', '2', '0', '1', '1', '5', '47', '6', '46', '2', '13', '4', '16', '0', '1', '1', '1', '25', '57', '36', '31']
['16', '21', '23', '104', '0', '18', '63', '0', '20', '34', '232', '2', '2', '28', '48', '289', '2', '0', '0', '0', '2', '14', '232', '275', '336', '338', '0', '0', '0', '0', '2', '0', '7', '50', '2', '15', '2', '11', '4', '15', '2', '2', '2', '2', '29', '30', '30', '30']
['19', '17', '24', '67', '1', '25', '101', '0', '24', '36', '273', '2', '1', '23', '35', '220', '2', '0', '3', '27', '3', '15', '246', '205', '313', '306', '3', '0', '1', '1', '1', '1', '7', '55', '9', '108', '3', '12', '6', '16', '1', '1', '1', '1', '26', '56', '33', '04']
['29', '9', '36', '175', '1', '15', '66', '0', '27', '41', '362', '2', '0', '15', '35', '146', '0', '1', '2', '13', '0', '0', '349', '146', '524', '212', '1', '0', '1', '0', '0', '1', '3', '25', '7', '104', '7', '16', '1', '12', '0', '1', '1', '2', '39', '47', '20', '13']
['20', '26', '21', '81', '1', '35', '210', '2', '24', '36', '322', '5', '0', '20', '29', '268', '3', '1', '2', '20', '4', '11', '302', '257', '383', '467', '1', '1', '1', '1', '1', '2', '6', '21', '4', '38', '10', '14', '8', '13', '0', '1', '0', '0', '26', '26', '33', '34']
['25', '9', '36', '173', '2', '16', '31', '0', '21', '28', '274', '3', '0', '17', '28', '118', '0', '1', '2', '14', '4', '24', '260', '94', '433', '125', '1', '1', '1', '0', '1', '1', '9', '65', '9', '95', '9', '13', '2', '10', '1', '1', '0', '1', '35', '10', '24', '50']
['13', '20', '23', '121', '2', '42', '170', '2', '18', '32', '196', '1', '0', '18', '31', '202', '0', '1', '4', '26', '1', '8', '170', '194', '291', '364', '0', '0', '1', '0', '0', '1', '6', '50', '8', '72', '7', '16', '8', '17', '0', '0', '0', '0', '24', '46', '37', '24']
['21', '15', '26', '126', '0', '36', '187', '1', '26', '43', '293', '3', '1', '11', '21', '211', '3', '0', '2', '18', '1', '8', '275', '203', '401', '390', '0', '0', '0', '0', '1', '0', '10', '89', '5', '42', '7', '15', '8', '16', '0', '1', '0', '0', '31', '53', '28', '07']
['28', '14', '24', '90', '0', '24', '74', '0', '36', '50', '390', '2', '0', '18', '34', '297', '1', '1', '3', '17', '3', '16', '373', '281', '463', '355', '2', '1', '0', '0', '1', '1', '8', '61', '8', '60', '6', '15', '4', '15', '1', '1', '1', '2', '38', '31', '29', '56']
['22', '8', '26', '94', '0', '26', '137', '0', '32', '46', '308', '1', '2', '9', '19', '86', '1', '0', '3', '27', '1', '4', '281', '82', '375', '219', '0', '0', '1', '1', '2', '1', '5', '36', '5', '31', '5', '14', '4', '13', '0', '1', '0', '0', '38', '09', '21', '51']
