['23', '17', '31', '108', '1', '17', '147', '1', '26', '36', '278', '3', '0', '24', '43', '281', '0', '1', '1', '7', '4', '27', '271', '254', '379', '401', '3', '0', '2', '0', '0', '1', '4', '25', '5', '61', '9', '16', '4', '14', '0', '0', '0', '1', '32', '30', '27', '30']
['19', '15', '37', '155', '0', '19', '79', '0', '17', '23', '222', '3', '1', '23', '31', '142', '0', '0', '1', '8', '6', '36', '214', '106', '369', '185', '1', '0', '3', '2', '1', '2', '8', '64', '5', '38', '9', '13', '4', '12', '0', '0', '0', '1', '31', '26', '28', '34']
['24', '18', '23', '127', '0', '36', '107', '0', '23', '43', '301', '4', '3', '24', '30', '280', '2', '1', '0', '0', '2', '13', '301', '267', '428', '374', '1', '1', '3', '1', '4', '2', '8', '66', '7', '49', '5', '12', '6', '15', '0', '1', '0', '0', '22', '58', '37', '02']
['16', '20', '20', '60', '1', '32', '195', '2', '21', '31', '240', '0', '1', '24', '34', '233', '1', '1', '4', '32', '4', '17', '208', '216', '268', '411', '1', '1', '1', '1', '2', '2', '5', '30', '9', '52', '0', '10', '5', '14', '0', '2', '0', '1', '25', '38', '34', '22']
['23', '23', '31', '164', '1', '31', '161', '0', '22', '31', '316', '3', '1', '28', '44', '380', '3', '2', '2', '13', '0', '0', '303', '380', '467', '541', '2', '2', '1', '1', '3', '3', '6', '58', '7', '67', '8', '12', '8', '17', '0', '1', '0', '0', '33', '25', '36', '35']
['12', '15', '27', '100', '0', '24', '74', '0', '16', '29', '145', '1', '2', '15', '26', '177', '1', '2', '2', '16', '7', '35', '129', '142', '229', '216', '2', '1', '3', '1', '3', '3', '12', '104', '6', '50', '6', '15', '3', '13', '0', '0', '0', '0', '33', '00', '27', '00']
['24', '18', '36', '246', '3', '21', '103', '0', '12', '21', '215', '2', '1', '22', '46', '238', '1', '2', '1', '12', '5', '24', '203', '214', '449', '317', '2', '0', '1', '0', '1', '2', '10', '72', '6', '53', '1', '9', '6', '16', '0', '0', '1', '3', '31', '37', '28', '23']
['26', '19', '21', '112', '2', '13', '62', '1', '32', '46', '369', '1', '0', '26', '42', '229', '2', '0', '0', '0', '3', '16', '369', '213', '481', '275', '1', '0', '0', '0', '0', '0', '9', '69', '6', '30', '8', '14', '6', '12', '0', '0', '0', '0', '34', '56', '25', '04']
['30', '26', '20', '121', '0', '22', '70', '1', '30', '41', '395', '4', '2', '31', '41', '355', '3', '0', '2', '6', '1', '8', '389', '347', '510', '417', '3', '0', '2', '0', '2', '0', '4', '20', '5', '30', '5', '8', '8', '13', '0', '0', '0', '0', '28', '21', '31', '39']
['22', '18', '18', '81', '0', '28', '132', '0', '27', '40', '275', '2', '1', '21', '36', '163', '2', '0', '1', '6', '3', '7', '269', '156', '350', '288', '3', '2', '1', '0', '3', '0', '8', '55', '5', '43', '3', '9', '7', '16', '0', '1', '1', '2', '24', '36', '35', '24']
['24', '23', '39', '270', '2', '17', '60', '0', '14', '28', '201', '0', '1', '25', '41', '322', '2', '1', '5', '27', '2', '25', '174', '297', '444', '357', '0', '0', '1', '0', '1', '1', '10', '81', '6', '61', '8', '17', '3', '10', '1', '1', '0', '1', '35', '10', '24', '50']
['23', '7', '35', '123', '2', '14', '55', '0', '25', '37', '238', '1', '1', '10', '15', '117', '0', '0', '0', '0', '11', '66', '238', '51', '361', '106', '0', '0', '1', '0', '1', '0', '10', '70', '4', '35', '12', '17', '1', '10', '1', '1', '0', '0', '37', '34', '22', '26']
['10', '23', '18', '65', '0', '42', '206', '2', '15', '26', '149', '1', '1', '17', '27', '183', '2', '0', '3', '10', '3', '11', '139', '172', '204', '378', '1', '1', '2', '0', '2', '0', '4', '30', '3', '25', '4', '11', '7', '17', '0', '1', '2', '2', '21', '10', '38', '50']
