['22', '12', '48', '267', '3', '25', '124', '1', '9', '17', '65', '1', '2', '11', '17', '147', '0', '1', '1', '10', '4', '26', '55', '121', '322', '245', '1', '1', '5', '1', '3', '2', '3', '30', '5', '40', '8', '14', '6', '11', '1', '1', '0', '0', '32', '21', '27', '39']
['12', '28', '23', '91', '0', '36', '140', '1', '9', '26', '122', '1', '2', '23', '35', '417', '2', '1', '2', '16', '3', '14', '106', '403', '197', '543', '2', '2', '3', '3', '4', '4', '4', '45', '4', '30', '5', '13', '4', '11', '0', '0', '1', '1', '23', '14', '36', '46']
['10', '23', '18', '78', '0', '30', '107', '0', '11', '25', '105', '0', '3', '29', '37', '358', '2', '1', '5', '34', '5', '30', '71', '328', '149', '435', '2', '0', '3', '1', '3', '2', '6', '40', '13', '130', '0', '10', '6', '12', '0', '2', '0', '0', '19', '12', '40', '48']
['26', '14', '31', '87', '0', '17', '46', '1', '28', '40', '392', '4', '1', '23', '35', '259', '1', '1', '2', '7', '1', '9', '385', '250', '472', '296', '3', '1', '2', '2', '2', '3', '7', '60', '4', '45', '7', '14', '5', '12', '1', '1', '0', '0', '36', '15', '23', '45']
['16', '7', '36', '110', '0', '20', '118', '0', '16', '31', '186', '0', '0', '15', '30', '164', '0', '1', '5', '28', '3', '17', '158', '147', '268', '265', '2', '0', '4', '1', '0', '2', '4', '30', '7', '63', '4', '17', '2', '14', '1', '2', '0', '1', '37', '10', '22', '50']
['17', '28', '19', '84', '1', '40', '124', '3', '18', '36', '250', '2', '1', '23', '30', '369', '4', '0', '2', '9', '0', '0', '241', '369', '325', '493', '1', '1', '1', '0', '2', '0', '9', '110', '6', '55', '3', '10', '7', '13', '1', '1', '1', '2', '23', '53', '36', '07']
['13', '33', '18', '55', '0', '38', '166', '3', '22', '34', '213', '1', '1', '30', '43', '335', '0', '2', '1', '6', '3', '9', '207', '326', '262', '492', '0', '0', '1', '1', '1', '3', '6', '52', '3', '15', '4', '12', '11', '16', '0', '0', '0', '0', '24', '48', '42', '12']
['20', '19', '18', '81', '2', '31', '167', '0', '28', '43', '385', '2', '0', '21', '29', '278', '3', '0', '3', '18', '3', '19', '367', '259', '448', '426', '2', '0', '0', '0', '0', '0', '6', '74', '3', '15', '5', '13', '5', '14', '0', '0', '0', '0', '25', '15', '34', '45']
['21', '7', '26', '62', '1', '11', '14', '0', '34', '43', '292', '2', '1', '11', '30', '154', '0', '1', '2', '10', '5', '40', '282', '114', '344', '128', '1', '1', '2', '1', '2', '2', '7', '76', '6', '56', '8', '16', '0', '11', '0', '0', '1', '1', '42', '50', '17', '10']
['14', '18', '14', '67', '0', '35', '116', '0', '22', '46', '269', '0', '0', '17', '28', '224', '1', '2', '6', '53', '2', '15', '216', '209', '283', '325', '1', '0', '2', '0', '0', '2', '4', '38', '3', '23', '2', '16', '4', '14', '1', '2', '0', '1', '26', '58', '33', '02']
['20', '15', '42', '142', '0', '40', '318', '1', '15', '30', '159', '1', '1', '10', '30', '119', '0', '6', '1', '5', '2', '23', '154', '96', '296', '414', '1', '1', '2', '0', '2', '6', '8', '64', '14', '96', '5', '16', '3', '15', '0', '0', '1', '3', '39', '03', '33', '13']
