['Pittsburgh_Steelers', '0', '10', '0', '14', nan, '24', 'New_York_Giants', '0', '14', '6', '0', nan, '20']
['Dallas_Cowboys', '6', '0', '0', '7', nan, '13', 'Atlanta_Falcons', '0', '6', '0', '13', nan, '19']
['Philadelphia_Eagles', '0', '3', '10', '0', nan, '13', 'New_Orleans_Saints', '7', '14', '7', '0', nan, '28']
['Indianapolis_Colts', '3', '14', '7', '3', nan, '27', 'Jacksonville_Jaguars', '0', '3', '0', '7', nan, '10']
['Oakland_Raiders', '0', '10', '7', '3', nan, '20', 'Baltimore_Ravens', '10', '17', '21', '7', nan, '55']
['Buffalo_Bills', '0', '17', '7', '7', nan, '31', 'New_England_Patriots', '10', '14', '7', '6', nan, '37']
['Atlanta_Falcons', '10', '7', '0', '10', nan, '27', 'New_Orleans_Saints', '7', '14', '7', '3', nan, '31']
['Denver_Broncos', '7', '10', '7', '12', nan, '36', 'Carolina_Panthers', '7', '0', '0', '7', nan, '14']
['San_Diego_Chargers', '14', '7', '0', '3', nan, '24', 'Tampa_Bay_Buccaneers', '7', '10', '7', '10', nan, '34']
['Tennessee_Titans', '14', '10', '7', '6', nan, '37', 'Miami_Dolphins', '0', '3', '0', '0', nan, '3']
['New_York_Giants', '3', '3', '0', '7', nan, '13', 'Cincinnati_Bengals', '14', '3', '14', '0', nan, '31']
['Detroit_Lions', '0', '3', '7', '14', nan, '24', 'Minnesota_Vikings', '10', '3', '3', '18', nan, '34']
['New_York_Jets', '7', '0', '0', '0', nan, '7', 'Seattle_Seahawks', '7', '7', '0', '14', nan, '28']
['St._Louis_Rams', '14', '0', '3', '7', '0', '24', 'San_Francisco_49ers', '0', '7', '0', '17', '0', '24']
['Dallas_Cowboys', '7', '3', '7', '21', nan, '38', 'Philadelphia_Eagles', '7', '0', '10', '6', nan, '23']
['Houston_Texans', '3', '7', '0', '3', nan, '13', 'Chicago_Bears', '0', '3', '3', '0', nan, '6']
['Kansas_City_Chiefs', '7', '3', '0', '3', '0', '13', 'Pittsburgh_Steelers', '0', '10', '0', '3', '3', '16']
['Miami_Dolphins', '7', '0', '0', '7', nan, '14', 'Buffalo_Bills', '13', '6', '0', '0', nan, '19']
['New_York_Jets', '3', '10', '0', '14', nan, '27', 'St._Louis_Rams', '7', '0', '0', '6', nan, '13']
['Green_Bay_Packers', '0', '7', '7', '10', nan, '24', 'Detroit_Lions', '3', '7', '7', '3', nan, '20']
['Philadelphia_Eagles', '0', '3', '3', '0', nan, '6', 'Washington_Redskins', '7', '10', '7', '7', nan, '31']
['Cincinnati_Bengals', '7', '14', '0', '7', nan, '28', 'Kansas_City_Chiefs', '3', '3', '0', '0', nan, '6']
['Jacksonville_Jaguars', '7', '10', '10', '7', '3', '37', 'Houston_Texans', '7', '10', '3', '14', '9', '43']
['Arizona_Cardinals', '13', '3', '0', '3', nan, '19', 'Atlanta_Falcons', '0', '16', '0', '7', nan, '23']
['Cleveland_Browns', '7', '6', '0', '7', '0', '20', 'Dallas_Cowboys', '0', '0', '3', '17', '3', '23']
['Tampa_Bay_Buccaneers', '10', '0', '0', '11', '6', '27', 'Carolina_Panthers', '7', '7', '0', '7', '0', '21']
['New_Orleans_Saints', '14', '7', '14', '3', nan, '38', 'Oakland_Raiders', '0', '7', '3', '7', nan, '17']
['Indianapolis_Colts', '14', '3', '0', '7', nan, '24', 'New_England_Patriots', '7', '17', '14', '21', nan, '59']
['San_Diego_Chargers', '7', '0', '9', '7', nan, '23', 'Denver_Broncos', '0', '17', '7', '6', nan, '30']
['Baltimore_Ravens', '10', '0', '3', '0', nan, '13', 'Pittsburgh_Steelers', '7', '0', '3', '0', nan, '10']
['Chicago_Bears', '0', '0', '7', '0', nan, '7', 'San_Francisco_49ers', '10', '10', '7', '5', nan, '32']
