['12', '18', '23', '91', '0', '25', '79', '1', '15', '27', '171', '1', '1', '27', '36', '237', '1', '0', '1', '9', '1', '8', '162', '229', '253', '308', '1', '0', '1', '0', '1', '0', '6', '60', '3', '20', '5', '13', '3', '11', '0', '0', '0', '0', '26', '17', '33', '43']
['15', '13', '23', '104', '1', '30', '119', '0', '21', '38', '236', '1', '2', '17', '28', '182', '2', '1', '0', '0', '3', '13', '236', '169', '340', '288', '3', '1', '1', '1', '3', '2', '5', '47', '6', '55', '5', '13', '7', '17', '0', '1', '0', '1', '27', '39', '32', '21']
['18', '14', '25', '58', '0', '31', '143', '1', '27', '44', '252', '0', '1', '18', '26', '236', '0', '1', '2', '15', '3', '25', '237', '211', '295', '354', '0', '0', '0', '0', '1', '1', '3', '24', '4', '25', '6', '16', '4', '14', '0', '0', '0', '0', '30', '29', '32', '06']
['21', '17', '26', '136', '0', '39', '205', '3', '22', '37', '180', '1', '1', '13', '17', '154', '2', '0', '4', '30', '2', '14', '150', '140', '286', '345', '4', '1', '2', '1', '2', '1', '10', '77', '8', '81', '3', '14', '8', '15', '0', '2', '0', '0', '28', '56', '31', '04']
['26', '20', '25', '87', '1', '23', '118', '0', '34', '50', '345', '2', '1', '25', '35', '258', '3', '0', '1', '4', '0', '0', '341', '258', '428', '376', '2', '1', '0', '0', '2', '0', '2', '5', '6', '30', '8', '15', '9', '13', '3', '3', '0', '1', '31', '50', '28', '10']
['25', '23', '10', '44', '0', '42', '257', '3', '40', '57', '433', '3', '0', '9', '17', '107', '1', '1', '2', '14', '2', '9', '419', '98', '463', '355', '1', '1', '0', '0', '1', '1', '5', '73', '7', '50', '4', '12', '6', '11', '1', '1', '1', '1', '29', '07', '30', '53']
['13', '23', '21', '20', '2', '31', '101', '0', '20', '34', '171', '0', '1', '23', '35', '372', '2', '1', '2', '23', '4', '10', '148', '362', '168', '463', '3', '2', '4', '3', '3', '4', '7', '40', '9', '100', '4', '14', '6', '14', '0', '1', '0', '1', '25', '18', '34', '42']
['19', '9', '36', '132', '1', '17', '50', '0', '21', '34', '182', '0', '0', '18', '34', '139', '1', '0', '3', '18', '3', '23', '164', '116', '296', '166', '0', '0', '1', '0', '0', '0', '3', '15', '5', '35', '8', '18', '3', '14', '0', '0', '1', '3', '36', '53', '23', '07']
['21', '18', '25', '89', '1', '34', '134', '0', '21', '33', '295', '1', '1', '16', '21', '170', '3', '0', '3', '21', '1', '5', '274', '165', '363', '299', '1', '1', '0', '0', '2', '0', '7', '70', '5', '47', '3', '10', '3', '10', '1', '2', '1', '2', '30', '30', '29', '30']
['14', '21', '24', '89', '0', '36', '118', '1', '14', '35', '182', '1', '3', '20', '30', '263', '3', '3', '4', '34', '1', '5', '148', '258', '237', '376', '3', '2', '1', '1', '5', '4', '7', '63', '9', '95', '8', '17', '5', '14', '0', '1', '1', '1', '25', '21', '34', '39']
['21', '20', '21', '112', '1', '24', '85', '0', '22', '41', '297', '1', '0', '32', '55', '253', '1', '3', '2', '31', '2', '13', '266', '240', '378', '325', '7', '4', '2', '1', '4', '4', '10', '72', '5', '40', '5', '13', '8', '20', '0', '0', '2', '3', '27', '09', '32', '51']
['14', '14', '19', '49', '0', '23', '77', '1', '26', '45', '225', '0', '2', '18', '23', '170', '2', '1', '2', '11', '1', '5', '214', '165', '263', '242', '1', '0', '0', '0', '2', '1', '8', '60', '5', '35', '1', '15', '5', '11', '2', '3', '0', '0', '32', '45', '27', '15']
['22', '16', '33', '132', '1', '20', '149', '1', '19', '31', '188', '2', '2', '21', '34', '199', '1', '0', '3', '21', '6', '28', '167', '171', '299', '320', '0', '0', '3', '1', '2', '1', '2', '15', '10', '80', '6', '14', '5', '13', '0', '0', '0', '1', '31', '55', '28', '05']
['24', '17', '22', '103', '0', '23', '89', '0', '31', '48', '282', '1', '0', '15', '32', '171', '0', '0', '1', '5', '1', '10', '277', '161', '380', '250', '1', '1', '2', '0', '1', '0', '12', '81', '5', '42', '5', '13', '3', '13', '1', '1', '0', '1', '34', '03', '25', '57']
['20', '6', '35', '49', '1', '21', '116', '0', '20', '38', '248', '0', '1', '10', '21', '74', '0', '0', '2', '15', '2', '14', '233', '60', '282', '176', '2', '2', '3', '1', '3', '1', '5', '38', '14', '125', '11', '19', '1', '11', '0', '0', '0', '1', '38', '32', '21', '28']
['18', '9', '29', '109', '0', '26', '135', '1', '22', '39', '298', '2', '0', '10', '22', '68', '1', '0', '2', '18', '1', '6', '280', '62', '389', '197', '3', '1', '1', '0', '1', '0', '5', '30', '3', '35', '4', '15', '1', '11', '1', '3', '0', '1', '37', '28', '22', '32']
