['19', '22', '25', '103', '0', '22', '91', '1', '23', '33', '278', '2', '0', '30', '39', '292', '0', '0', '1', '7', '5', '28', '271', '264', '374', '355', '0', '0', '1', '1', '0', '1', '5', '66', '3', '25', '7', '13', '6', '12', '0', '1', '0', '0', '26', '14', '33', '46']
['30', '20', '26', '80', '1', '29', '258', '3', '36', '47', '352', '2', '1', '10', '22', '167', '1', '0', '1', '8', '2', '19', '344', '148', '424', '406', '3', '2', '1', '0', '3', '0', '10', '84', '6', '39', '6', '10', '4', '10', '0', '1', '0', '0', '36', '09', '23', '51']
['12', '15', '28', '102', '0', '31', '67', '0', '10', '24', '140', '0', '2', '17', '27', '273', '1', '1', '3', '22', '4', '28', '118', '245', '220', '312', '1', '1', '0', '0', '3', '1', '6', '56', '5', '41', '1', '12', '3', '13', '0', '0', '0', '0', '25', '55', '34', '05']
['16', '11', '28', '118', '1', '21', '77', '0', '23', '33', '239', '0', '0', '18', '34', '169', '0', '1', '4', '24', '2', '28', '215', '141', '333', '218', '1', '0', '0', '0', '0', '1', '7', '63', '2', '22', '7', '17', '4', '15', '1', '1', '0', '1', '33', '41', '26', '19']
['28', '30', '43', '232', '1', '34', '196', '2', '21', '30', '233', '1', '0', '28', '53', '316', '1', '0', '6', '18', '2', '18', '215', '298', '447', '494', '2', '1', '0', '0', '1', '0', '5', '53', '7', '50', '6', '16', '3', '16', '0', '0', '2', '2', '40', '33', '34', '27']
['20', '13', '28', '136', '1', '17', '52', '0', '19', '38', '174', '1', '1', '28', '42', '310', '1', '1', '3', '15', '3', '30', '159', '280', '295', '332', '0', '0', '0', '0', '1', '1', '8', '56', '6', '55', '6', '17', '4', '16', '2', '2', '0', '0', '30', '12', '29', '48']
['24', '26', '27', '104', '2', '18', '114', '2', '27', '39', '392', '3', '0', '26', '38', '294', '3', '1', '1', '5', '3', '13', '387', '281', '491', '395', '1', '0', '1', '1', '0', '2', '9', '97', '7', '62', '7', '15', '3', '9', '1', '1', '0', '0', '30', '57', '29', '03']
['10', '25', '24', '22', '0', '24', '104', '0', '14', '21', '247', '2', '0', '26', '46', '297', '3', '4', '4', '40', '2', '11', '207', '286', '229', '390', '1', '0', '3', '1', '0', '5', '9', '67', '5', '39', '4', '14', '8', '15', '0', '0', '1', '1', '26', '38', '33', '22']
['19', '19', '34', '85', '0', '16', '55', '0', '22', '34', '217', '2', '0', '27', '52', '333', '1', '1', '0', '0', '5', '21', '217', '312', '302', '367', '0', '0', '3', '3', '0', '4', '2', '8', '2', '10', '4', '14', '6', '17', '0', '1', '1', '2', '33', '39', '26', '21']
['22', '19', '29', '114', '0', '23', '93', '0', '30', '42', '320', '2', '0', '19', '32', '260', '1', '1', '2', '8', '0', '0', '312', '260', '426', '353', '3', '0', '2', '1', '0', '2', '10', '100', '4', '50', '10', '18', '3', '10', '0', '0', '0', '0', '35', '48', '24', '12']
['15', '27', '15', '80', '0', '30', '120', '1', '20', '39', '163', '1', '1', '26', '38', '314', '2', '0', '1', '4', '3', '24', '159', '290', '239', '410', '0', '0', '1', '0', '1', '0', '6', '89', '9', '84', '5', '13', '7', '14', '0', '2', '0', '0', '23', '11', '36', '49']
['24', '22', '20', '107', '0', '30', '202', '0', '23', '38', '234', '2', '1', '16', '30', '174', '2', '0', '4', '30', '2', '20', '204', '154', '311', '356', '1', '0', '1', '1', '1', '1', '11', '85', '11', '81', '4', '11', '3', '12', '0', '0', '1', '2', '29', '21', '30', '39']
['28', '27', '48', '280', '1', '31', '116', '1', '19', '36', '150', '2', '1', '34', '50', '344', '3', '0', '2', '18', '3', '20', '132', '324', '412', '440', '5', '3', '6', '3', '4', '3', '9', '85', '5', '36', '9', '18', '6', '14', '0', '0', '0', '1', '38', '58', '34', '06']
['15', '10', '33', '76', '0', '26', '114', '0', '15', '24', '235', '3', '0', '16', '26', '118', '0', '1', '2', '7', '6', '42', '228', '76', '304', '190', '3', '1', '1', '0', '1', '1', '4', '25', '4', '30', '4', '14', '4', '15', '1', '2', '0', '2', '31', '26', '28', '34']
['7', '30', '15', '24', '0', '43', '241', '2', '10', '20', '139', '0', '1', '22', '35', '330', '3', '2', '7', '37', '1', '10', '102', '320', '126', '561', '2', '2', '2', '2', '3', '4', '3', '25', '5', '50', '2', '10', '9', '12', '0', '0', '0', '0', '19', '34', '40', '26']
['16', '23', '25', '50', '2', '30', '144', '3', '18', '30', '255', '0', '1', '23', '32', '225', '1', '0', '0', '0', '2', '17', '255', '208', '305', '352', '1', '1', '3', '1', '2', '1', '10', '71', '6', '40', '7', '13', '7', '13', '0', '0', '0', '0', '27', '41', '32', '19']
['22', '16', '18', '72', '1', '25', '74', '0', '28', '44', '257', '2', '0', '24', '35', '251', '1', '0', '0', '0', '2', '14', '257', '237', '329', '311', '0', '0', '1', '0', '0', '0', '4', '51', '9', '55', '7', '13', '10', '17', '1', '2', '0', '0', '30', '04', '29', '56']
['24', '23', '22', '90', '0', '34', '105', '0', '24', '41', '302', '3', '2', '21', '34', '237', '3', '0', '5', '42', '5', '35', '260', '202', '350', '307', '2', '1', '2', '0', '3', '0', '6', '55', '5', '48', '4', '12', '5', '16', '1', '2', '1', '1', '30', '39', '29', '21']
['25', '10', '36', '125', '0', '22', '99', '0', '28', '43', '331', '2', '1', '13', '28', '108', '0', '2', '1', '3', '4', '30', '328', '78', '453', '177', '0', '0', '1', '1', '1', '3', '3', '28', '4', '25', '7', '16', '2', '12', '0', '2', '0', '2', '38', '52', '21', '08']
['28', '19', '27', '88', '2', '28', '121', '4', '29', '41', '371', '2', '1', '15', '30', '272', '0', '1', '1', '6', '1', '8', '365', '264', '453', '385', '0', '0', '0', '0', '1', '1', '0', '0', '2', '25', '5', '12', '5', '11', '0', '0', '0', '1', '33', '46', '26', '14']
['24', '18', '36', '162', '1', '25', '104', '1', '21', '37', '201', '1', '3', '17', '32', '200', '0', '1', '1', '16', '5', '40', '185', '160', '347', '264', '1', '1', '3', '0', '4', '1', '6', '74', '7', '50', '6', '15', '3', '14', '1', '1', '1', '1', '33', '55', '26', '05']
['22', '24', '29', '112', '0', '30', '97', '1', '23', '41', '203', '3', '1', '24', '40', '370', '3', '2', '2', '1', '3', '28', '202', '342', '314', '439', '1', '0', '3', '1', '1', '3', '5', '35', '9', '50', '7', '16', '6', '13', '0', '0', '1', '1', '30', '36', '29', '24']
['10', '20', '20', '66', '0', '34', '163', '1', '14', '21', '180', '0', '1', '18', '29', '263', '2', '2', '5', '40', '0', '0', '140', '263', '206', '426', '1', '1', '0', '0', '2', '2', '4', '30', '3', '25', '1', '10', '5', '13', '0', '1', '2', '2', '25', '35', '34', '25']
['20', '28', '25', '135', '0', '40', '246', '1', '23', '36', '355', '2', '0', '23', '41', '283', '1', '1', '4', '10', '5', '33', '345', '250', '480', '496', '2', '1', '1', '0', '1', '1', '6', '51', '6', '60', '2', '11', '4', '17', '0', '0', '3', '3', '34', '08', '39', '09']
['26', '19', '30', '151', '3', '31', '195', '3', '28', '47', '311', '1', '0', '18', '32', '210', '1', '0', '6', '39', '0', '0', '272', '210', '423', '405', '1', '1', '4', '2', '1', '2', '8', '75', '6', '49', '10', '18', '5', '14', '0', '0', '0', '0', '38', '09', '24', '51']
['19', '20', '26', '114', '0', '30', '83', '1', '19', '38', '218', '1', '1', '19', '28', '275', '1', '0', '3', '20', '4', '20', '198', '255', '312', '338', '0', '0', '2', '1', '1', '1', '11', '105', '9', '85', '4', '13', '4', '12', '0', '2', '0', '0', '26', '56', '33', '04']
['19', '19', '38', '164', '1', '24', '91', '0', '14', '23', '190', '1', '1', '23', '37', '252', '1', '1', '0', '0', '2', '9', '190', '243', '354', '334', '1', '1', '2', '2', '2', '3', '3', '30', '5', '45', '6', '12', '6', '13', '0', '0', '0', '0', '29', '40', '30', '20']
['25', '27', '31', '132', '0', '25', '159', '1', '22', '35', '403', '5', '2', '26', '42', '293', '2', '1', '0', '0', '0', '0', '403', '293', '535', '452', '0', '0', '1', '0', '2', '1', '10', '75', '9', '102', '8', '14', '5', '13', '0', '0', '1', '2', '28', '04', '31', '56']
['16', '18', '23', '80', '2', '31', '139', '1', '22', '28', '235', '1', '1', '24', '32', '207', '1', '0', '3', '29', '5', '23', '206', '184', '286', '323', '1', '0', '2', '1', '1', '1', '1', '1', '8', '55', '4', '12', '5', '16', '0', '0', '2', '3', '28', '25', '31', '35']
['12', '23', '17', '44', '0', '38', '127', '0', '23', '38', '147', '1', '0', '22', '30', '310', '3', '0', '1', '3', '1', '8', '144', '302', '188', '429', '1', '1', '1', '0', '1', '0', '7', '52', '8', '66', '6', '15', '7', '14', '0', '2', '1', '2', '26', '22', '33', '38']
['23', '18', '19', '83', '0', '28', '149', '0', '33', '58', '357', '2', '2', '13', '28', '138', '3', '0', '3', '34', '1', '6', '323', '132', '406', '281', '1', '0', '0', '0', '2', '0', '14', '177', '8', '57', '8', '17', '4', '14', '1', '2', '0', '0', '35', '22', '24', '38']
['18', '16', '25', '181', '1', '21', '84', '0', '20', '33', '200', '3', '1', '23', '39', '349', '3', '0', '2', '14', '3', '21', '186', '328', '367', '412', '2', '0', '1', '1', '1', '1', '5', '36', '9', '63', '6', '14', '8', '17', '0', '0', '1', '2', '28', '55', '31', '05']
