['Seattle_Seahawks', '3', '10', '3', '7', nan, '23', 'New_York_Giants', '0', '0', '0', '0', nan, '0']
['Chicago_Bears', '0', '10', '7', '21', nan, '38', 'Cleveland_Browns', '3', '7', '14', '7', nan, '31']
['Washington_Redskins', '7', '13', '0', '6', nan, '26', 'Atlanta_Falcons', '14', '3', '7', '3', nan, '27']
['Kansas_City_Chiefs', '21', '14', '14', '7', nan, '56', 'Oakland_Raiders', '3', '14', '14', '0', nan, '31']
['New_York_Jets', '3', '3', '7', '7', nan, '20', 'Carolina_Panthers', '3', '13', '0', '14', nan, '30']
['Green_Bay_Packers', '3', '0', '14', '20', nan, '37', 'Dallas_Cowboys', '13', '13', '3', '7', nan, '36']
['New_Orleans_Saints', '0', '3', '0', '13', nan, '16', 'St._Louis_Rams', '14', '10', '3', '0', nan, '27']
['Arizona_Cardinals', '7', '3', '10', '14', '3', '37', 'Tennessee_Titans', '10', '0', '7', '17', '0', '34']
['Cincinnati_Bengals', '0', '7', '0', '13', nan, '20', 'Pittsburgh_Steelers', '21', '6', '3', '0', nan, '30']
['Baltimore_Ravens', '0', '9', '3', '6', nan, '18', 'Detroit_Lions', '7', '0', '3', '6', nan, '16']
['Tampa_Bay_Buccaneers', '7', '3', '3', '0', nan, '13', 'St._Louis_Rams', '0', '14', '3', '6', nan, '23']
['Cleveland_Browns', '3', '7', '0', '3', nan, '13', 'New_York_Jets', '0', '10', '0', '14', nan, '24']
['Indianapolis_Colts', '0', '13', '10', '0', nan, '23', 'Kansas_City_Chiefs', '7', '0', '0', '0', nan, '7']
['Tennessee_Titans', '3', '3', '7', '7', nan, '20', 'Jacksonville_Jaguars', '7', '6', '3', '0', nan, '16']
['Denver_Broncos', '3', '13', '0', '21', nan, '37', 'Houston_Texans', '3', '3', '7', '0', nan, '13']
['Minnesota_Vikings', '7', '0', '7', '0', nan, '14', 'Cincinnati_Bengals', '14', '14', '14', '0', nan, '42']
['Miami_Dolphins', '0', '0', '0', '0', nan, '0', 'Buffalo_Bills', '3', '7', '0', '9', nan, '19']
['Dallas_Cowboys', '7', '7', '0', '10', nan, '24', 'Washington_Redskins', '3', '3', '14', '3', nan, '23']
['New_Orleans_Saints', '0', '6', '0', '7', nan, '13', 'Carolina_Panthers', '0', '7', '3', '7', nan, '17']
['New_York_Giants', '3', '10', '0', '7', '3', '23', 'Detroit_Lions', '0', '3', '9', '8', '0', '20']
['Arizona_Cardinals', '0', '3', '3', '11', nan, '17', 'Seattle_Seahawks', '0', '3', '0', '7', nan, '10']
['Oakland_Raiders', '0', '10', '0', '3', nan, '13', 'San_Diego_Chargers', '3', '7', '10', '6', nan, '26']
['New_England_Patriots', '14', '3', '3', '21', nan, '41', 'Baltimore_Ravens', '0', '0', '0', '7', nan, '7']
['Pittsburgh_Steelers', '7', '3', '21', '7', nan, '38', 'Green_Bay_Packers', '7', '7', '7', '10', nan, '31']
['Chicago_Bears', '0', '3', '8', '0', nan, '11', 'Philadelphia_Eagles', '21', '3', '9', '21', nan, '54']
['Atlanta_Falcons', '0', '10', '0', '14', nan, '24', 'San_Francisco_49ers', '3', '0', '10', '21', nan, '34']
