['Tennessee_Titans', '0', '14', '7', '14', nan, '35', 'San_Diego_Chargers', '9', '10', '14', '10', nan, '43']
['Indianapolis_Colts', '14', '10', '0', '7', nan, '31', 'Green_Bay_Packers', '10', '0', '3', '13', nan, '26']
['Denver_Broncos', '0', '10', '0', '10', nan, '20', 'Oakland_Raiders', '6', '14', '0', '10', nan, '30']
['Buffalo_Bills', '14', '3', '0', '8', nan, '25', 'Seattle_Seahawks', '7', '21', '0', '3', nan, '31']
['Cleveland_Browns', '0', '7', '0', '0', nan, '7', 'Baltimore_Ravens', '0', '6', '15', '7', nan, '28']
['Minnesota_Vikings', '0', '20', '0', '0', nan, '20', 'Washington_Redskins', '7', '7', '6', '6', nan, '26']
['Chicago_Bears', '3', '7', '0', '0', nan, '10', 'Tampa_Bay_Buccaneers', '7', '10', '12', '7', nan, '36']
['Atlanta_Falcons', '0', '6', '3', '6', nan, '15', 'Philadelphia_Eagles', '7', '0', '3', '14', nan, '24']
['Green_Bay_Packers', '0', '16', '9', '0', nan, '25', 'Tennessee_Titans', '21', '14', '6', '6', nan, '47']
['Los_Angeles_Rams', '3', '0', '3', '3', nan, '9', 'New_York_Jets', '0', '6', '0', '0', nan, '6']
['Denver_Broncos', '7', '3', '0', '15', nan, '25', 'New_Orleans_Saints', '0', '3', '14', '6', nan, '23']
['Houston_Texans', '14', '0', '7', '3', nan, '24', 'Jacksonville_Jaguars', '7', '3', '0', '11', nan, '21']
['Kansas_City_Chiefs', '0', '3', '0', '17', nan, '20', 'Carolina_Panthers', '3', '14', '0', '0', nan, '17']
['Miami_Dolphins', '0', '7', '14', '10', nan, '31', 'San_Diego_Chargers', '0', '10', '7', '7', nan, '24']
['Dallas_Cowboys', '10', '3', '10', '12', nan, '35', 'Pittsburgh_Steelers', '12', '3', '3', '12', nan, '30']
['San_Francisco_49ers', '0', '10', '3', '7', nan, '20', 'Arizona_Cardinals', '7', '13', '0', '3', nan, '23']
['Seattle_Seahawks', '6', '13', '3', '9', nan, '31', 'New_England_Patriots', '7', '7', '7', '3', nan, '24']
['Cincinnati_Bengals', '7', '3', '10', '0', nan, '20', 'New_York_Giants', '7', '7', '0', '7', nan, '21']
['New_Orleans_Saints', '3', '0', '0', '17', nan, '20', 'Carolina_Panthers', '3', '17', '3', '0', nan, '23']
['Chicago_Bears', '9', '7', '0', '0', nan, '16', 'New_York_Giants', '6', '3', '13', '0', nan, '22']
['Arizona_Cardinals', '7', '10', '0', '7', nan, '24', 'Minnesota_Vikings', '7', '13', '10', '0', nan, '30']
['Tampa_Bay_Buccaneers', '0', '9', '3', '7', nan, '19', 'Kansas_City_Chiefs', '3', '7', '0', '7', nan, '17']
['Jacksonville_Jaguars', '3', '6', '10', '0', nan, '19', 'Detroit_Lions', '0', '9', '7', '10', nan, '26']
['Baltimore_Ravens', '7', '3', '0', '7', nan, '17', 'Dallas_Cowboys', '0', '10', '7', '10', nan, '27']
['Tennessee_Titans', '0', '7', '7', '3', nan, '17', 'Indianapolis_Colts', '14', '7', '0', '3', nan, '24']
['Pittsburgh_Steelers', '3', '11', '3', '7', nan, '24', 'Cleveland_Browns', '0', '0', '3', '6', nan, '9']
['Buffalo_Bills', '7', '3', '3', '3', nan, '16', 'Cincinnati_Bengals', '6', '6', '0', '0', nan, '12']
['Miami_Dolphins', '0', '0', '0', '14', nan, '14', 'Los_Angeles_Rams', '7', '0', '3', '0', nan, '10']
['New_England_Patriots', '6', '7', '0', '17', nan, '30', 'San_Francisco_49ers', '3', '7', '0', '7', nan, '17']
['Philadelphia_Eagles', '0', '7', '0', '8', nan, '15', 'Seattle_Seahawks', '6', '10', '7', '3', nan, '26']
['Green_Bay_Packers', '0', '10', '0', '14', nan, '24', 'Washington_Redskins', '7', '6', '9', '20', nan, '42']
['Houston_Texans', '3', '7', '7', '3', nan, '20', 'Oakland_Raiders', '0', '10', '3', '14', nan, '27']
