['18', '19', '25', '86', '0', '23', '36', '0', '22', '35', '244', '1', '1', '33', '43', '363', '1', '2', '1', '10', '4', '42', '234', '321', '320', '357', '2', '1', '1', '1', '2', '3', '5', '28', '6', '60', '4', '13', '4', '14', '0', '0', '0', '0', '28', '21', '36', '11']
['11', '32', '17', '29', '0', '41', '198', '2', '16', '24', '177', '2', '0', '26', '43', '307', '3', '1', '3', '18', '1', '4', '159', '303', '188', '501', '2', '0', '1', '0', '0', '1', '3', '15', '8', '65', '2', '10', '10', '17', '1', '2', '1', '1', '20', '11', '39', '49']
['12', '21', '26', '114', '1', '31', '71', '1', '14', '28', '122', '0', '0', '28', '38', '301', '1', '1', '1', '8', '1', '7', '114', '294', '228', '365', '0', '0', '1', '1', '0', '2', '3', '24', '3', '17', '6', '15', '8', '14', '1', '2', '0', '2', '26', '04', '33', '56']
['10', '16', '20', '75', '0', '27', '86', '1', '17', '28', '243', '1', '0', '21', '33', '247', '0', '2', '3', '16', '3', '26', '227', '221', '302', '307', '1', '0', '1', '0', '0', '2', '6', '39', '4', '27', '3', '12', '5', '15', '0', '0', '1', '2', '26', '33', '33', '27']
['14', '28', '20', '33', '2', '35', '157', '0', '16', '37', '205', '0', '3', '26', '34', '358', '6', '1', '1', '7', '0', '0', '198', '358', '231', '515', '0', '0', '3', '2', '3', '3', '8', '80', '7', '36', '3', '14', '9', '13', '2', '2', '0', '0', '23', '30', '36', '30']
['22', '11', '42', '190', '2', '13', '38', '0', '18', '31', '272', '1', '1', '18', '33', '166', '0', '1', '0', '0', '2', '21', '272', '145', '462', '183', '2', '0', '2', '1', '1', '2', '10', '80', '6', '37', '10', '18', '3', '10', '2', '2', '0', '1', '38', '46', '21', '14']
['19', '17', '37', '225', '3', '20', '89', '0', '14', '22', '110', '1', '0', '21', '35', '205', '1', '1', '4', '25', '5', '26', '85', '179', '310', '268', '0', '0', '3', '1', '0', '2', '3', '38', '8', '66', '6', '14', '3', '12', '0', '0', '0', '1', '33', '22', '26', '38']
['18', '26', '24', '118', '1', '31', '174', '2', '16', '27', '353', '3', '0', '25', '42', '276', '1', '0', '1', '9', '0', '0', '344', '276', '462', '450', '1', '0', '2', '0', '0', '0', '4', '41', '4', '20', '3', '10', '5', '13', '0', '0', '1', '2', '26', '28', '33', '32']
['17', '14', '32', '185', '1', '30', '86', '1', '17', '29', '102', '2', '1', '14', '34', '138', '0', '5', '2', '20', '5', '55', '82', '83', '267', '169', '2', '1', '2', '2', '2', '7', '9', '76', '5', '30', '5', '13', '3', '16', '1', '2', '2', '3', '31', '37', '28', '23']
['16', '19', '22', '96', '0', '27', '68', '0', '21', '30', '176', '1', '1', '22', '36', '229', '2', '0', '4', '13', '2', '16', '163', '213', '259', '281', '3', '3', '1', '0', '4', '0', '4', '27', '4', '35', '4', '11', '6', '15', '1', '1', '0', '0', '29', '07', '30', '53']
['13', '17', '25', '21', '1', '17', '40', '0', '18', '31', '209', '1', '0', '26', '44', '288', '1', '2', '4', '27', '3', '29', '182', '259', '203', '299', '1', '1', '1', '0', '1', '2', '4', '31', '12', '82', '7', '18', '4', '14', '0', '0', '0', '1', '31', '37', '28', '23']
['15', '18', '21', '85', '1', '31', '103', '0', '19', '26', '211', '1', '1', '20', '29', '256', '1', '1', '3', '24', '1', '8', '187', '248', '272', '351', '3', '1', '2', '1', '2', '2', '4', '32', '4', '30', '5', '12', '6', '13', '1', '1', '0', '1', '23', '52', '36', '08']
['13', '25', '18', '77', '0', '34', '167', '1', '17', '36', '191', '0', '0', '25', '36', '279', '3', '2', '3', '21', '0', '0', '170', '279', '247', '446', '2', '1', '2', '1', '1', '3', '10', '85', '4', '25', '2', '12', '8', '15', '0', '1', '0', '0', '27', '33', '32', '27']
['18', '12', '31', '86', '0', '22', '76', '1', '17', '36', '277', '1', '4', '17', '28', '184', '1', '0', '2', '11', '4', '34', '266', '150', '352', '226', '0', '0', '0', '0', '4', '0', '3', '25', '6', '45', '4', '15', '4', '14', '1', '3', '0', '0', '33', '03', '26', '57']
['17', '28', '19', '90', '0', '23', '73', '1', '15', '25', '212', '2', '0', '39', '53', '378', '2', '1', '4', '26', '1', '10', '186', '368', '276', '441', '3', '1', '0', '0', '1', '1', '9', '71', '6', '55', '4', '10', '10', '16', '1', '1', '0', '2', '22', '52', '37', '08']
['19', '19', '23', '77', '2', '32', '148', '1', '24', '36', '252', '1', '1', '14', '32', '225', '1', '2', '3', '12', '1', '7', '240', '218', '317', '366', '2', '1', '1', '1', '2', '3', '9', '60', '6', '40', '5', '12', '7', '14', '0', '0', '1', '1', '28', '23', '31', '37']
['11', '25', '25', '67', '1', '38', '173', '0', '7', '24', '109', '0', '0', '24', '39', '241', '1', '2', '2', '10', '2', '5', '99', '236', '166', '409', '2', '0', '1', '0', '0', '2', '7', '45', '9', '70', '3', '13', '5', '15', '0', '0', '2', '3', '21', '21', '38', '39']
['18', '14', '20', '83', '0', '31', '117', '0', '23', '47', '216', '0', '1', '14', '22', '163', '1', '0', '0', '0', '2', '26', '216', '137', '299', '254', '0', '0', '2', '1', '1', '1', '11', '89', '8', '55', '5', '15', '3', '11', '0', '1', '0', '0', '30', '50', '29', '10']
['19', '22', '34', '151', '1', '18', '89', '1', '15', '23', '185', '3', '2', '21', '39', '261', '1', '0', '2', '17', '6', '39', '168', '222', '319', '311', '2', '0', '2', '1', '2', '1', '13', '100', '11', '76', '9', '14', '6', '13', '0', '0', '0', '0', '33', '48', '26', '12']
['24', '23', '25', '144', '1', '37', '151', '1', '25', '41', '308', '1', '1', '21', '27', '220', '3', '1', '1', '12', '0', '0', '296', '220', '440', '371', '2', '1', '1', '1', '2', '2', '6', '35', '6', '40', '7', '12', '6', '12', '0', '1', '2', '2', '28', '28', '31', '32']
