['19', '25', '21', '80', '1', '37', '207', '2', '23', '33', '189', '1', '1', '19', '28', '191', '2', '0', '3', '14', '1', '0', '175', '191', '255', '398', '1', '0', '2', '1', '1', '1', '8', '65', '4', '69', '6', '12', '4', '11', '0', '1', '1', '1', '26', '40', '33', '20']
['18', '15', '32', '185', '1', '22', '72', '0', '17', '25', '170', '2', '0', '24', '36', '273', '0', '2', '0', '0', '5', '27', '170', '246', '355', '318', '2', '0', '4', '0', '0', '2', '7', '60', '13', '121', '3', '12', '4', '14', '0', '0', '0', '0', '28', '17', '31', '43']
['15', '29', '33', '193', '1', '18', '86', '0', '16', '22', '173', '1', '1', '34', '49', '349', '2', '2', '1', '6', '2', '8', '167', '341', '360', '427', '1', '0', '1', '1', '1', '3', '9', '108', '4', '43', '4', '12', '5', '12', '0', '0', '0', '0', '30', '32', '34', '42']
['16', '26', '26', '79', '0', '20', '94', '1', '25', '38', '301', '1', '0', '35', '62', '345', '1', '1', '0', '0', '3', '16', '301', '329', '380', '423', '0', '0', '2', '1', '0', '2', '4', '45', '3', '29', '4', '14', '8', '17', '0', '0', '1', '2', '30', '30', '29', '30']
['23', '24', '31', '191', '2', '29', '127', '2', '18', '30', '222', '1', '0', '24', '35', '390', '1', '1', '3', '24', '3', '14', '198', '376', '389', '503', '0', '0', '1', '0', '0', '1', '8', '55', '11', '96', '2', '11', '4', '12', '0', '0', '1', '1', '27', '33', '32', '27']
['18', '24', '24', '64', '0', '32', '145', '1', '24', '43', '266', '2', '0', '27', '45', '322', '2', '1', '3', '24', '5', '47', '242', '275', '306', '420', '1', '1', '3', '2', '1', '3', '7', '55', '6', '50', '2', '14', '8', '19', '0', '1', '1', '1', '29', '14', '30', '46']
['11', '20', '15', '25', '0', '34', '212', '1', '20', '32', '151', '2', '0', '23', '29', '221', '1', '1', '2', '18', '2', '31', '133', '190', '158', '402', '1', '0', '2', '1', '0', '2', '4', '20', '11', '105', '3', '12', '5', '12', '0', '0', '0', '0', '25', '10', '34', '50']
['24', '15', '38', '162', '0', '17', '67', '0', '22', '33', '266', '2', '0', '19', '35', '202', '1', '3', '4', '23', '4', '24', '243', '178', '405', '245', '1', '0', '0', '0', '0', '3', '12', '110', '3', '25', '7', '16', '1', '12', '0', '0', '1', '2', '37', '44', '22', '16']
['20', '25', '20', '89', '1', '38', '191', '1', '29', '56', '249', '1', '0', '18', '32', '178', '2', '1', '4', '23', '1', '9', '226', '169', '315', '360', '3', '2', '3', '2', '2', '3', '9', '100', '4', '26', '5', '17', '7', '13', '2', '4', '0', '0', '29', '33', '30', '27']
['20', '16', '23', '131', '1', '34', '115', '0', '29', '37', '267', '0', '0', '14', '22', '206', '1', '0', '3', '26', '0', '0', '241', '206', '372', '321', '3', '2', '2', '1', '2', '1', '7', '71', '6', '45', '3', '12', '7', '14', '0', '1', '0', '0', '30', '54', '29', '06']
['30', '28', '28', '139', '3', '25', '123', '1', '29', '42', '333', '1', '1', '31', '43', '448', '3', '0', '0', '0', '1', '3', '333', '445', '472', '568', '1', '1', '1', '1', '2', '1', '3', '27', '10', '96', '8', '13', '6', '11', '0', '0', '0', '0', '30', '25', '31', '18']
['19', '26', '30', '127', '1', '23', '127', '1', '16', '23', '201', '2', '0', '23', '37', '281', '1', '3', '1', '9', '3', '26', '192', '255', '319', '382', '0', '0', '3', '1', '0', '4', '11', '78', '10', '72', '7', '12', '5', '9', '0', '0', '1', '1', '28', '36', '31', '24']
['19', '17', '33', '113', '0', '17', '102', '0', '24', '34', '230', '2', '0', '22', '35', '183', '2', '2', '1', '9', '3', '21', '221', '162', '334', '264', '1', '0', '3', '1', '0', '3', '6', '55', '3', '15', '6', '15', '6', '12', '1', '1', '0', '0', '35', '12', '24', '48']
['24', '24', '14', '54', '1', '32', '102', '1', '35', '53', '370', '2', '2', '22', '36', '269', '3', '0', '3', '16', '1', '10', '354', '259', '408', '361', '1', '0', '2', '0', '2', '0', '9', '45', '7', '70', '4', '13', '7', '14', '2', '4', '0', '0', '27', '36', '32', '24']
['16', '20', '22', '53', '1', '30', '76', '2', '18', '33', '163', '1', '2', '22', '32', '346', '2', '0', '2', '19', '1', '5', '144', '341', '197', '417', '0', '0', '1', '0', '2', '0', '4', '25', '8', '85', '3', '13', '10', '15', '2', '3', '0', '0', '23', '56', '36', '04']
['15', '22', '24', '52', '1', '26', '109', '0', '21', '36', '238', '1', '1', '24', '37', '304', '2', '0', '0', '0', '2', '10', '238', '294', '290', '403', '1', '0', '2', '2', '1', '2', '6', '47', '5', '23', '6', '15', '6', '13', '0', '1', '0', '0', '28', '11', '31', '49']
['17', '25', '18', '99', '0', '36', '157', '0', '22', '37', '217', '0', '1', '21', '29', '166', '2', '0', '2', '15', '0', '0', '202', '166', '301', '323', '2', '2', '0', '0', '3', '0', '9', '75', '4', '35', '6', '12', '5', '12', '0', '0', '1', '1', '24', '52', '35', '08']
['23', '13', '21', '80', '0', '33', '113', '0', '31', '49', '241', '1', '1', '16', '26', '202', '1', '0', '4', '31', '0', '0', '210', '202', '290', '315', '1', '1', '0', '0', '2', '0', '3', '20', '6', '40', '5', '16', '5', '15', '1', '4', '0', '0', '31', '17', '28', '43']
['26', '13', '43', '220', '1', '13', '82', '0', '19', '29', '176', '1', '0', '18', '34', '234', '1', '2', '4', '28', '2', '2', '148', '232', '368', '314', '1', '1', '1', '0', '1', '2', '4', '25', '5', '30', '9', '16', '2', '10', '0', '0', '0', '1', '41', '11', '18', '49']
['26', '23', '27', '174', '1', '30', '122', '1', '27', '40', '237', '2', '1', '24', '41', '204', '1', '0', '2', '14', '1', '2', '223', '202', '397', '324', '1', '1', '0', '0', '2', '0', '5', '39', '4', '30', '7', '13', '7', '16', '0', '0', '2', '2', '31', '50', '28', '10']
['21', '24', '28', '124', '1', '27', '81', '0', '14', '29', '167', '0', '0', '26', '39', '277', '2', '2', '4', '25', '2', '17', '142', '260', '266', '341', '0', '0', '2', '2', '0', '4', '7', '71', '9', '70', '5', '13', '6', '12', '0', '0', '0', '1', '27', '31', '32', '29']
['21', '20', '18', '70', '0', '24', '62', '1', '27', '48', '291', '1', '1', '22', '34', '281', '1', '0', '4', '38', '4', '30', '253', '251', '323', '313', '3', '2', '0', '0', '3', '0', '5', '33', '4', '45', '6', '15', '3', '12', '1', '2', '0', '0', '30', '41', '29', '19']
['16', '17', '37', '150', '1', '19', '54', '0', '14', '21', '149', '1', '0', '19', '36', '202', '1', '4', '1', '7', '6', '39', '142', '163', '292', '217', '1', '0', '1', '0', '0', '4', '15', '163', '7', '58', '5', '14', '4', '11', '0', '1', '0', '1', '31', '34', '28', '26']
['19', '21', '19', '97', '0', '45', '170', '2', '24', '44', '231', '1', '3', '16', '24', '302', '1', '0', '2', '19', '0', '0', '212', '302', '309', '472', '0', '0', '0', '0', '3', '0', '7', '56', '7', '55', '3', '12', '6', '14', '1', '2', '0', '0', '27', '01', '32', '59']
['8', '32', '10', '25', '0', '42', '191', '3', '14', '28', '193', '1', '1', '24', '36', '288', '2', '0', '10', '70', '3', '30', '123', '258', '148', '449', '0', '0', '0', '0', '1', '0', '6', '44', '11', '98', '3', '13', '6', '14', '0', '1', '1', '2', '20', '59', '39', '01']
['14', '26', '13', '108', '1', '37', '101', '0', '17', '25', '202', '2', '0', '28', '37', '284', '3', '0', '2', '22', '1', '8', '180', '276', '288', '377', '2', '1', '4', '0', '1', '0', '8', '53', '6', '53', '3', '8', '10', '17', '0', '1', '0', '0', '17', '45', '42', '15']
['20', '18', '29', '119', '1', '30', '157', '2', '22', '29', '235', '0', '0', '16', '21', '179', '0', '1', '2', '15', '1', '4', '220', '175', '339', '332', '2', '1', '1', '0', '1', '1', '5', '65', '4', '30', '5', '11', '4', '8', '0', '0', '0', '0', '32', '05', '27', '55']
['20', '22', '46', '188', '1', '17', '101', '1', '14', '19', '139', '2', '0', '27', '42', '263', '1', '2', '0', '0', '0', '0', '139', '263', '327', '364', '1', '0', '4', '2', '0', '4', '7', '85', '5', '24', '9', '15', '2', '9', '0', '0', '2', '2', '38', '36', '21', '24']
['19', '25', '37', '147', '2', '22', '80', '0', '16', '32', '176', '1', '1', '25', '42', '346', '3', '0', '2', '10', '4', '36', '166', '310', '313', '390', '1', '0', '3', '1', '1', '1', '7', '82', '3', '34', '8', '17', '7', '14', '2', '3', '0', '0', '30', '26', '29', '34']
['28', '19', '31', '133', '2', '19', '88', '0', '26', '42', '255', '0', '0', '21', '26', '242', '3', '0', '2', '8', '1', '5', '247', '237', '380', '325', '1', '0', '0', '0', '0', '0', '7', '62', '11', '71', '11', '16', '3', '8', '0', '1', '1', '1', '36', '14', '23', '46']
['19', '19', '17', '46', '0', '27', '127', '1', '23', '34', '176', '4', '0', '21', '34', '248', '1', '3', '1', '6', '4', '16', '170', '232', '216', '359', '1', '0', '2', '1', '0', '4', '10', '58', '16', '118', '3', '9', '7', '13', '0', '0', '1', '2', '26', '09', '33', '51']
['24', '25', '27', '127', '2', '38', '169', '0', '21', '37', '331', '1', '1', '20', '34', '172', '3', '1', '0', '0', '0', '0', '331', '172', '458', '341', '0', '0', '2', '1', '1', '2', '11', '90', '4', '70', '5', '12', '4', '12', '0', '0', '1', '1', '23', '45', '36', '15']
['10', '26', '18', '64', '0', '36', '144', '3', '22', '36', '179', '1', '1', '24', '28', '350', '3', '1', '3', '26', '1', '6', '153', '344', '217', '488', '5', '4', '4', '3', '5', '4', '11', '110', '5', '50', '3', '13', '8', '11', '1', '1', '0', '0', '27', '21', '32', '39']
['19', '26', '29', '123', '1', '30', '121', '0', '18', '23', '217', '2', '1', '30', '42', '327', '3', '2', '0', '0', '0', '0', '217', '327', '340', '448', '1', '1', '1', '1', '2', '3', '3', '15', '8', '119', '5', '10', '8', '13', '0', '0', '1', '2', '27', '10', '32', '50']
['27', '22', '28', '84', '1', '25', '54', '0', '30', '48', '427', '3', '1', '27', '41', '325', '3', '0', '0', '0', '0', '0', '427', '325', '511', '379', '1', '0', '2', '1', '1', '1', '10', '131', '9', '70', '8', '15', '4', '11', '0', '1', '0', '0', '34', '48', '25', '12']
