['11', '21', '24', '84', '0', '32', '154', '1', '15', '27', '133', '1', '0', '19', '35', '216', '0', '1', '1', '8', '2', '16', '125', '200', '209', '354', '0', '0', '1', '0', '0', '1', '7', '35', '7', '70', '3', '13', '7', '14', '1', '2', '0', '0', '24', '17', '35', '43']
['20', '21', '20', '75', '1', '39', '183', '3', '25', '33', '202', '1', '2', '13', '18', '137', '2', '0', '5', '43', '2', '15', '159', '122', '234', '305', '1', '1', '3', '1', '3', '1', '5', '43', '4', '41', '3', '10', '6', '10', '0', '1', '0', '0', '28', '29', '31', '31']
['8', '28', '15', '36', '0', '32', '108', '2', '14', '26', '158', '0', '0', '26', '39', '414', '3', '0', '4', '28', '0', '0', '130', '414', '166', '522', '1', '0', '1', '0', '0', '0', '9', '66', '4', '41', '0', '11', '8', '14', '0', '0', '0', '0', '24', '50', '35', '10']
['14', '18', '27', '102', '0', '28', '126', '1', '19', '31', '206', '1', '1', '20', '29', '228', '1', '0', '4', '24', '2', '16', '182', '212', '284', '338', '0', '0', '3', '2', '1', '2', '2', '15', '3', '30', '8', '16', '7', '13', '0', '1', '0', '0', '30', '11', '29', '49']
['18', '16', '20', '146', '0', '27', '101', '0', '24', '41', '221', '1', '1', '23', '32', '343', '3', '1', '2', '15', '1', '6', '206', '337', '352', '438', '0', '0', '1', '0', '1', '1', '7', '66', '7', '51', '2', '12', '5', '13', '0', '1', '0', '0', '28', '28', '31', '32']
['15', '18', '31', '112', '1', '17', '49', '0', '15', '22', '194', '2', '0', '26', '43', '251', '2', '1', '3', '13', '4', '23', '181', '228', '293', '277', '3', '1', '3', '0', '1', '1', '7', '40', '4', '59', '5', '13', '3', '13', '1', '1', '1', '2', '31', '01', '28', '59']
['16', '13', '21', '85', '0', '29', '106', '1', '17', '41', '190', '1', '1', '20', '31', '234', '2', '0', '5', '23', '1', '2', '167', '232', '252', '338', '2', '1', '0', '0', '2', '0', '5', '30', '1', '14', '3', '16', '4', '16', '0', '1', '1', '1', '28', '41', '31', '19']
['21', '23', '21', '70', '1', '42', '318', '3', '24', '33', '262', '2', '1', '9', '13', '161', '1', '0', '3', '16', '1', '5', '246', '156', '316', '474', '1', '0', '0', '0', '1', '0', '5', '30', '7', '68', '2', '9', '3', '9', '0', '0', '0', '0', '30', '53', '29', '07']
['13', '14', '17', '33', '0', '32', '137', '1', '23', '35', '215', '1', '2', '14', '24', '175', '1', '2', '7', '59', '1', '3', '156', '172', '189', '309', '1', '1', '1', '0', '3', '2', '6', '50', '5', '36', '5', '14', '3', '13', '1', '1', '0', '1', '31', '20', '28', '40']
['8', '21', '24', '70', '0', '46', '229', '2', '9', '24', '94', '0', '1', '15', '29', '129', '0', '0', '2', '10', '0', '0', '84', '129', '154', '358', '1', '1', '2', '2', '2', '2', '5', '40', '9', '64', '2', '13', '9', '17', '0', '2', '0', '1', '23', '45', '36', '15']
['20', '17', '29', '142', '0', '27', '105', '0', '23', '41', '247', '1', '0', '17', '27', '217', '3', '0', '1', '1', '1', '6', '246', '211', '388', '316', '1', '1', '1', '1', '1', '1', '6', '29', '2', '12', '5', '15', '4', '12', '1', '2', '1', '1', '32', '02', '27', '58']
['30', '11', '31', '167', '3', '18', '91', '0', '24', '32', '320', '1', '1', '11', '24', '114', '1', '0', '0', '0', '1', '0', '320', '114', '487', '205', '1', '0', '2', '0', '1', '0', '11', '82', '9', '55', '8', '11', '3', '9', '1', '1', '0', '0', '37', '29', '22', '31']
['18', '13', '39', '109', '1', '20', '108', '1', '19', '30', '197', '1', '0', '14', '20', '195', '0', '1', '3', '21', '4', '12', '176', '183', '285', '291', '0', '0', '5', '4', '0', '5', '4', '40', '3', '20', '5', '16', '3', '8', '2', '3', '0', '0', '37', '05', '22', '55']
