['23', '26', '25', '134', '1', '24', '80', '0', '26', '38', '351', '1', '1', '25', '32', '288', '4', '0', '3', '21', '2', '7', '330', '281', '464', '361', '0', '0', '1', '0', '1', '0', '8', '77', '7', '64', '7', '15', '7', '11', '2', '2', '0', '0', '32', '05', '27', '55']
['21', '19', '32', '124', '0', '26', '76', '2', '32', '41', '251', '1', '1', '18', '27', '297', '1', '0', '6', '32', '2', '21', '219', '276', '343', '352', '0', '0', '3', '3', '1', '3', '7', '46', '4', '30', '8', '19', '6', '11', '1', '2', '0', '0', '37', '28', '28', '32']
['21', '25', '30', '133', '1', '33', '189', '1', '18', '23', '189', '3', '0', '18', '36', '225', '1', '1', '0', '0', '2', '12', '189', '213', '322', '402', '0', '0', '0', '0', '0', '1', '10', '74', '6', '64', '6', '10', '11', '17', '1', '1', '2', '3', '28', '08', '31', '52']
['19', '24', '32', '97', '0', '21', '98', '0', '22', '33', '243', '3', '0', '26', '47', '334', '2', '1', '2', '10', '5', '36', '233', '298', '330', '396', '1', '0', '2', '1', '0', '2', '2', '25', '6', '39', '3', '13', '3', '14', '0', '0', '0', '1', '35', '19', '24', '41']
['19', '20', '18', '74', '0', '37', '161', '0', '22', '34', '226', '1', '0', '21', '31', '196', '1', '2', '3', '44', '1', '8', '182', '188', '256', '349', '2', '1', '1', '0', '1', '2', '6', '39', '11', '88', '5', '12', '6', '14', '0', '1', '0', '1', '22', '06', '37', '54']
['17', '18', '35', '105', '0', '21', '96', '0', '18', '31', '175', '1', '1', '22', '40', '183', '1', '2', '2', '17', '5', '14', '158', '169', '263', '265', '0', '0', '1', '1', '1', '3', '3', '22', '3', '25', '8', '17', '3', '12', '1', '1', '1', '2', '34', '06', '25', '54']
['23', '15', '17', '64', '0', '36', '147', '2', '26', '49', '243', '2', '2', '14', '19', '195', '1', '0', '2', '3', '0', '0', '240', '195', '304', '342', '2', '1', '2', '0', '3', '0', '5', '49', '11', '113', '8', '15', '5', '13', '1', '2', '0', '0', '29', '04', '30', '56']
['15', '18', '28', '104', '0', '36', '154', '2', '18', '32', '231', '1', '1', '15', '24', '179', '2', '1', '3', '14', '0', '0', '217', '179', '321', '333', '4', '4', '1', '0', '5', '1', '12', '109', '4', '30', '8', '16', '7', '13', '1', '2', '0', '1', '31', '40', '28', '20']
['16', '28', '16', '69', '1', '31', '96', '2', '19', '30', '246', '2', '2', '34', '41', '403', '2', '2', '1', '13', '2', '16', '233', '387', '302', '483', '1', '0', '2', '1', '2', '3', '4', '29', '5', '40', '3', '10', '6', '11', '0', '0', '0', '0', '21', '48', '38', '12']
['18', '25', '20', '54', '0', '25', '120', '1', '30', '48', '355', '1', '1', '19', '32', '307', '3', '0', '2', '1', '0', '0', '354', '307', '408', '427', '0', '0', '1', '1', '1', '1', '7', '73', '5', '30', '7', '18', '5', '10', '0', '1', '0', '0', '33', '24', '26', '36']
['20', '16', '32', '124', '1', '26', '92', '0', '13', '15', '209', '4', '0', '16', '33', '210', '2', '2', '2', '24', '4', '29', '185', '181', '309', '273', '2', '1', '2', '0', '1', '2', '8', '55', '12', '97', '4', '9', '3', '14', '0', '0', '2', '4', '31', '30', '28', '30']
