['17', '18', '16', '82', '1', '19', '94', '0', '31', '37', '224', '0', '1', '23', '40', '232', '1', '0', '0', '0', '2', '18', '224', '214', '306', '308', '0', '0', '0', '0', '1', '0', '5', '40', '4', '16', '2', '10', '6', '14', '0', '1', '0', '2', '31', '31', '28', '29']
['25', '24', '19', '56', '0', '30', '163', '3', '41', '53', '449', '3', '0', '17', '24', '195', '1', '0', '0', '0', '1', '5', '449', '190', '505', '353', '1', '0', '0', '0', '0', '0', '3', '30', '3', '25', '8', '15', '4', '8', '2', '2', '0', '0', '33', '24', '26', '36']
['16', '18', '29', '148', '1', '23', '91', '0', '14', '21', '221', '3', '0', '23', '37', '240', '1', '2', '0', '0', '3', '21', '221', '219', '369', '310', '0', '0', '1', '0', '0', '2', '7', '67', '2', '10', '7', '11', '8', '15', '0', '0', '2', '4', '28', '15', '31', '45']
['13', '27', '17', '69', '0', '32', '209', '2', '20', '32', '214', '3', '1', '29', '37', '360', '5', '0', '3', '36', '2', '14', '178', '346', '247', '555', '1', '1', '2', '1', '2', '1', '6', '62', '6', '45', '2', '10', '6', '13', '0', '1', '2', '2', '24', '04', '35', '56']
['25', '19', '25', '193', '0', '26', '95', '1', '29', '46', '296', '3', '1', '20', '30', '285', '3', '0', '2', '14', '2', '22', '282', '263', '475', '358', '1', '1', '2', '0', '2', '0', '7', '65', '4', '42', '7', '14', '6', '12', '2', '2', '0', '0', '29', '28', '30', '32']
['18', '22', '18', '67', '0', '27', '114', '1', '22', '30', '242', '3', '1', '22', '37', '246', '0', '3', '1', '7', '1', '7', '235', '239', '302', '353', '0', '0', '2', '1', '1', '4', '10', '78', '9', '58', '4', '11', '4', '11', '0', '0', '1', '2', '29', '59', '30', '01']
['13', '21', '27', '104', '0', '21', '58', '0', '15', '27', '194', '3', '0', '25', '44', '322', '1', '0', '1', '2', '7', '37', '192', '285', '296', '343', '1', '1', '3', '3', '1', '3', '9', '100', '5', '35', '4', '13', '3', '14', '0', '0', '1', '2', '26', '09', '33', '51']
['18', '25', '29', '149', '1', '22', '95', '0', '15', '23', '226', '2', '0', '28', '54', '316', '3', '2', '0', '0', '0', '0', '226', '316', '375', '411', '1', '0', '2', '0', '0', '2', '6', '118', '7', '48', '5', '11', '9', '17', '0', '0', '1', '3', '29', '25', '30', '35']
['20', '15', '37', '183', '1', '29', '153', '3', '13', '26', '126', '2', '0', '12', '18', '166', '1', '0', '2', '8', '5', '15', '118', '151', '301', '304', '2', '0', '0', '0', '0', '0', '6', '60', '6', '31', '8', '15', '5', '12', '0', '1', '1', '1', '33', '35', '26', '25']
['23', '28', '14', '58', '0', '30', '116', '3', '25', '45', '289', '2', '1', '26', '34', '269', '2', '1', '2', '15', '3', '25', '274', '244', '332', '360', '1', '0', '0', '0', '1', '1', '8', '60', '4', '23', '4', '11', '4', '9', '1', '2', '1', '1', '25', '38', '34', '22']
['22', '16', '20', '64', '0', '30', '92', '0', '26', '48', '283', '1', '0', '25', '36', '234', '1', '1', '3', '22', '2', '15', '261', '219', '325', '311', '4', '2', '1', '0', '2', '1', '2', '15', '8', '69', '5', '16', '5', '16', '1', '1', '1', '2', '28', '43', '31', '17']
['16', '19', '22', '127', '0', '35', '118', '0', '17', '33', '151', '0', '2', '21', '28', '220', '2', '1', '6', '33', '0', '0', '118', '220', '245', '338', '2', '1', '2', '1', '3', '2', '2', '27', '7', '68', '1', '11', '4', '11', '1', '1', '0', '0', '26', '21', '33', '39']
['19', '22', '25', '129', '3', '31', '56', '1', '14', '29', '246', '2', '1', '26', '39', '315', '2', '1', '2', '17', '1', '5', '229', '310', '358', '366', '2', '1', '2', '1', '2', '2', '7', '67', '7', '46', '3', '10', '8', '15', '0', '1', '0', '0', '26', '23', '33', '37']
['26', '16', '21', '91', '0', '23', '64', '0', '30', '50', '286', '2', '0', '22', '32', '269', '2', '0', '0', '0', '1', '0', '286', '269', '377', '333', '1', '0', '3', '2', '0', '2', '2', '15', '6', '66', '4', '14', '5', '11', '1', '1', '0', '0', '30', '36', '29', '24']
['23', '21', '26', '83', '1', '38', '124', '0', '26', '44', '220', '1', '0', '20', '34', '368', '3', '0', '6', '30', '5', '28', '190', '340', '273', '464', '0', '0', '3', '1', '0', '1', '9', '71', '15', '97', '5', '17', '9', '20', '1', '1', '1', '1', '37', '39', '37', '19']
['25', '20', '28', '74', '1', '18', '81', '1', '30', '39', '313', '2', '0', '24', '36', '254', '0', '1', '0', '0', '4', '43', '313', '211', '387', '292', '1', '0', '1', '0', '0', '1', '7', '51', '7', '42', '10', '14', '5', '11', '1', '1', '0', '1', '35', '23', '24', '37']
['13', '21', '28', '140', '1', '19', '87', '0', '12', '18', '139', '1', '0', '33', '47', '253', '1', '0', '3', '15', '3', '22', '124', '231', '264', '318', '4', '2', '3', '1', '2', '1', '10', '78', '8', '57', '1', '9', '6', '16', '0', '0', '0', '0', '26', '43', '33', '17']
['16', '28', '16', '62', '0', '20', '110', '1', '29', '40', '226', '1', '3', '37', '50', '386', '4', '1', '2', '11', '0', '0', '215', '386', '277', '496', '2', '0', '1', '1', '3', '2', '7', '57', '7', '68', '4', '13', '5', '11', '0', '0', '2', '2', '30', '46', '29', '14']
['7', '20', '13', '36', '0', '29', '133', '1', '14', '32', '161', '1', '2', '33', '46', '269', '1', '0', '4', '35', '0', '0', '126', '269', '162', '402', '0', '0', '1', '0', '2', '0', '4', '30', '8', '46', '1', '12', '4', '16', '1', '1', '2', '2', '22', '03', '37', '57']
['24', '20', '23', '85', '0', '12', '50', '1', '30', '42', '341', '2', '0', '31', '44', '326', '0', '3', '2', '4', '1', '7', '337', '319', '422', '369', '0', '0', '1', '0', '0', '3', '6', '39', '10', '83', '5', '12', '6', '13', '0', '0', '0', '0', '36', '52', '23', '08']
['10', '19', '28', '104', '1', '38', '154', '1', '12', '24', '104', '0', '0', '19', '42', '181', '0', '2', '2', '2', '1', '2', '102', '179', '206', '333', '0', '0', '1', '1', '0', '3', '4', '32', '6', '65', '1', '13', '6', '18', '0', '0', '1', '2', '25', '26', '34', '34']
['17', '16', '27', '123', '0', '26', '109', '1', '22', '35', '202', '2', '0', '20', '30', '209', '2', '0', '2', '18', '1', '9', '184', '200', '307', '309', '1', '1', '1', '1', '1', '1', '3', '12', '4', '30', '6', '15', '4', '12', '1', '2', '1', '2', '31', '31', '28', '29']
['22', '21', '19', '53', '1', '33', '80', '1', '36', '60', '308', '1', '3', '23', '31', '332', '2', '0', '1', '2', '0', '0', '306', '332', '359', '412', '0', '0', '2', '2', '3', '2', '10', '88', '3', '23', '8', '17', '7', '14', '3', '5', '0', '0', '31', '58', '28', '02']
['10', '19', '34', '141', '0', '40', '142', '3', '5', '15', '39', '0', '0', '11', '18', '192', '0', '0', '6', '33', '1', '8', '6', '184', '147', '326', '1', '0', '2', '1', '0', '1', '11', '106', '5', '40', '4', '14', '6', '14', '0', '0', '0', '0', '28', '42', '31', '18']
['17', '32', '22', '123', '2', '30', '128', '2', '21', '25', '270', '1', '0', '22', '34', '297', '1', '1', '1', '4', '2', '7', '266', '290', '389', '418', '1', '1', '0', '0', '1', '1', '13', '128', '5', '30', '3', '10', '6', '10', '2', '2', '0', '1', '28', '08', '31', '52']
['24', '24', '30', '212', '3', '32', '139', '2', '18', '35', '191', '0', '1', '19', '35', '260', '2', '0', '4', '21', '0', '0', '170', '260', '382', '399', '1', '1', '0', '0', '2', '0', '8', '73', '7', '65', '9', '15', '5', '13', '0', '0', '0', '0', '30', '15', '29', '45']
['20', '18', '30', '81', '1', '25', '119', '1', '20', '30', '280', '1', '1', '15', '26', '225', '2', '2', '1', '12', '2', '14', '268', '211', '349', '330', '0', '0', '0', '0', '1', '2', '6', '35', '6', '45', '5', '13', '4', '8', '1', '1', '0', '0', '31', '41', '28', '19']
['16', '20', '14', '56', '0', '30', '117', '0', '24', '39', '195', '2', '2', '24', '37', '289', '2', '1', '2', '17', '2', '17', '178', '272', '234', '389', '0', '0', '1', '1', '2', '2', '4', '24', '12', '115', '4', '11', '7', '15', '0', '3', '1', '1', '25', '52', '34', '08']
['19', '24', '18', '87', '1', '24', '88', '1', '21', '37', '271', '1', '1', '30', '46', '300', '3', '0', '2', '25', '2', '19', '246', '281', '333', '369', '2', '1', '1', '0', '2', '0', '7', '35', '6', '51', '5', '11', '10', '16', '0', '0', '1', '1', '26', '14', '33', '46']
['14', '29', '21', '89', '0', '29', '240', '3', '14', '33', '182', '1', '1', '28', '39', '315', '1', '1', '0', '0', '3', '21', '182', '294', '271', '534', '1', '1', '1', '0', '2', '1', '6', '63', '6', '37', '5', '12', '7', '14', '0', '1', '0', '1', '25', '59', '34', '01']
['27', '13', '40', '139', '1', '14', '36', '0', '23', '29', '289', '4', '0', '16', '37', '216', '1', '3', '1', '7', '1', '2', '282', '214', '421', '250', '2', '1', '1', '0', '1', '3', '3', '28', '6', '90', '7', '13', '3', '11', '0', '1', '1', '2', '38', '24', '21', '36']
['18', '14', '31', '135', '1', '27', '65', '1', '17', '41', '117', '0', '0', '17', '26', '264', '1', '1', '1', '8', '1', '6', '109', '258', '244', '323', '1', '0', '2', '2', '0', '3', '10', '82', '9', '73', '5', '18', '5', '11', '1', '3', '0', '1', '31', '45', '28', '15']
['16', '24', '23', '107', '2', '26', '95', '0', '14', '21', '234', '2', '1', '32', '46', '314', '1', '1', '2', '7', '4', '26', '227', '288', '334', '383', '0', '0', '3', '1', '1', '2', '5', '86', '5', '54', '2', '7', '9', '18', '1', '1', '2', '3', '23', '22', '36', '38']
['19', '16', '9', '18', '0', '42', '180', '1', '36', '52', '350', '1', '0', '6', '21', '88', '0', '0', '3', '20', '2', '15', '330', '73', '348', '253', '2', '2', '1', '0', '2', '0', '9', '87', '5', '55', '3', '11', '6', '16', '1', '2', '0', '0', '27', '33', '32', '27']
['21', '15', '27', '175', '1', '31', '83', '0', '18', '33', '145', '2', '2', '18', '25', '242', '3', '1', '3', '20', '1', '11', '125', '231', '300', '314', '4', '2', '5', '2', '4', '3', '7', '54', '14', '118', '4', '13', '4', '13', '0', '0', '0', '0', '29', '56', '30', '04']
['22', '18', '29', '85', '1', '24', '85', '0', '24', '34', '292', '1', '0', '23', '37', '257', '1', '0', '0', '0', '4', '27', '292', '230', '377', '315', '2', '1', '0', '0', '1', '0', '7', '93', '14', '114', '3', '11', '7', '16', '0', '1', '1', '1', '30', '56', '29', '04']
['16', '25', '17', '92', '0', '28', '114', '1', '20', '32', '212', '1', '0', '21', '35', '223', '1', '2', '1', '8', '3', '14', '204', '209', '296', '323', '0', '0', '0', '0', '0', '2', '11', '139', '7', '55', '4', '10', '6', '12', '0', '1', '0', '0', '25', '43', '34', '17']
['20', '21', '41', '185', '1', '15', '83', '0', '14', '24', '147', '0', '1', '24', '45', '276', '2', '2', '2', '16', '1', '11', '131', '265', '316', '348', '1', '0', '1', '1', '1', '3', '7', '124', '9', '59', '5', '14', '5', '12', '0', '0', '0', '1', '36', '05', '23', '55']
['21', '13', '38', '213', '1', '22', '169', '1', '20', '28', '180', '2', '0', '12', '28', '104', '0', '1', '4', '33', '3', '19', '147', '85', '360', '254', '1', '0', '0', '0', '0', '1', '6', '43', '5', '34', '8', '15', '6', '14', '0', '0', '1', '1', '34', '53', '25', '07']
['17', '17', '20', '58', '0', '38', '126', '1', '21', '39', '236', '2', '3', '10', '27', '160', '1', '1', '5', '16', '2', '14', '220', '146', '278', '272', '2', '2', '0', '0', '5', '1', '7', '32', '5', '35', '5', '13', '5', '15', '0', '1', '1', '1', '27', '23', '32', '37']
['24', '14', '42', '240', '3', '18', '67', '1', '17', '31', '220', '0', '3', '15', '25', '228', '2', '1', '0', '0', '5', '20', '220', '208', '460', '275', '0', '0', '0', '0', '3', '1', '6', '45', '7', '46', '6', '14', '3', '9', '1', '1', '0', '0', '38', '41', '21', '19']
['24', '17', '40', '188', '2', '27', '248', '1', '23', '35', '257', '0', '1', '15', '26', '133', '1', '0', '6', '41', '2', '17', '216', '116', '404', '364', '0', '0', '0', '0', '1', '0', '9', '56', '3', '25', '8', '18', '2', '12', '1', '1', '0', '1', '41', '55', '24', '30']
['18', '21', '25', '66', '1', '23', '104', '2', '18', '30', '237', '3', '0', '24', '41', '235', '0', '2', '2', '17', '3', '27', '220', '208', '286', '312', '0', '0', '3', '3', '0', '5', '5', '40', '11', '105', '4', '13', '6', '14', '0', '0', '0', '0', '27', '08', '32', '52']
['22', '18', '26', '136', '0', '30', '93', '2', '22', '39', '240', '1', '5', '18', '25', '246', '3', '0', '3', '22', '1', '9', '218', '237', '354', '330', '1', '1', '0', '0', '6', '0', '7', '63', '5', '50', '6', '12', '4', '11', '0', '1', '0', '1', '31', '50', '28', '10']
['14', '21', '16', '46', '0', '35', '104', '1', '25', '41', '257', '0', '3', '16', '26', '184', '0', '0', '1', '9', '2', '18', '248', '166', '294', '270', '0', '0', '0', '0', '3', '0', '13', '104', '7', '65', '4', '13', '6', '13', '1', '2', '0', '0', '26', '45', '33', '15']
['13', '12', '25', '108', '0', '33', '93', '0', '17', '37', '165', '1', '2', '17', '28', '193', '1', '1', '3', '13', '3', '26', '152', '167', '260', '260', '2', '1', '4', '2', '3', '3', '5', '54', '7', '50', '1', '15', '2', '14', '1', '2', '2', '2', '29', '08', '30', '52']
['17', '20', '14', '42', '0', '26', '95', '1', '37', '52', '324', '2', '1', '25', '38', '406', '3', '1', '2', '18', '1', '5', '306', '401', '348', '496', '0', '0', '2', '2', '1', '3', '8', '47', '5', '48', '6', '16', '8', '16', '0', '0', '1', '1', '30', '46', '29', '14']
['13', '19', '17', '47', '0', '30', '72', '0', '18', '35', '167', '0', '0', '19', '26', '229', '3', '1', '4', '31', '2', '2', '136', '227', '183', '299', '1', '0', '1', '0', '0', '1', '8', '76', '13', '86', '3', '12', '7', '15', '0', '4', '1', '1', '27', '29', '32', '31']
['13', '20', '27', '67', '0', '23', '116', '0', '12', '18', '236', '4', '1', '25', '46', '266', '1', '3', '1', '0', '3', '22', '236', '244', '303', '360', '1', '0', '3', '1', '1', '4', '9', '70', '3', '42', '5', '12', '5', '15', '0', '0', '0', '3', '27', '28', '32', '32']
['16', '17', '19', '56', '0', '32', '114', '0', '24', '39', '273', '0', '1', '20', '28', '201', '2', '0', '1', '5', '2', '15', '268', '186', '324', '300', '2', '1', '0', '0', '2', '0', '2', '15', '5', '46', '5', '14', '7', '15', '0', '0', '0', '0', '29', '44', '30', '16']
['27', '20', '40', '161', '2', '9', '34', '0', '21', '28', '250', '2', '0', '32', '42', '291', '0', '1', '0', '0', '5', '43', '250', '248', '411', '282', '0', '0', '2', '2', '0', '3', '5', '55', '6', '27', '7', '13', '3', '9', '0', '1', '0', '1', '37', '02', '22', '58']
['21', '13', '29', '148', '2', '28', '157', '2', '19', '33', '241', '0', '1', '15', '28', '163', '0', '1', '1', '0', '1', '4', '241', '159', '389', '316', '2', '2', '2', '0', '3', '1', '2', '25', '5', '40', '6', '14', '4', '14', '1', '1', '1', '2', '30', '35', '29', '25']
['9', '23', '20', '67', '1', '31', '79', '1', '12', '28', '92', '0', '1', '29', '47', '308', '0', '2', '2', '9', '0', '0', '83', '308', '150', '387', '0', '0', '3', '0', '1', '2', '12', '91', '6', '71', '3', '13', '4', '14', '0', '1', '0', '1', '23', '18', '36', '42']
['26', '19', '29', '97', '0', '28', '76', '2', '21', '36', '286', '1', '0', '16', '27', '157', '0', '1', '1', '1', '1', '11', '285', '146', '382', '222', '1', '0', '0', '0', '0', '1', '7', '104', '8', '86', '5', '13', '6', '12', '0', '0', '1', '1', '32', '32', '27', '28']
['20', '29', '23', '226', '3', '19', '95', '1', '19', '31', '252', '0', '0', '30', '43', '362', '2', '3', '4', '27', '1', '8', '225', '354', '451', '449', '0', '0', '1', '1', '0', '4', '8', '64', '6', '40', '3', '10', '3', '8', '0', '1', '0', '0', '32', '47', '27', '13']
