['16', '18', '18', '74', '1', '27', '113', '2', '21', '43', '251', '0', '1', '20', '35', '132', '0', '1', '4', '26', '2', '13', '225', '119', '299', '232', '1', '0', '2', '1', '1', '2', '15', '135', '11', '101', '4', '15', '8', '16', '0', '1', '0', '0', '27', '50', '32', '10']
['10', '26', '22', '83', '0', '34', '117', '3', '11', '33', '98', '0', '2', '26', '38', '260', '3', '0', '6', '28', '2', '8', '70', '252', '153', '369', '1', '0', '4', '1', '2', '1', '10', '100', '9', '78', '2', '15', '6', '14', '0', '1', '0', '0', '24', '46', '35', '14']
['17', '15', '28', '137', '0', '23', '114', '1', '18', '33', '176', '1', '1', '23', '37', '224', '0', '1', '1', '8', '2', '14', '168', '210', '305', '324', '0', '0', '1', '1', '1', '2', '11', '119', '6', '43', '4', '13', '4', '13', '0', '0', '0', '2', '29', '31', '30', '29']
['21', '23', '34', '167', '1', '31', '122', '0', '17', '34', '176', '1', '1', '26', '39', '277', '3', '1', '3', '18', '2', '10', '158', '267', '325', '389', '1', '1', '3', '2', '2', '3', '6', '44', '6', '36', '2', '11', '4', '14', '0', '1', '1', '1', '28', '50', '31', '10']
['26', '26', '34', '112', '1', '13', '43', '2', '21', '28', '417', '4', '0', '37', '45', '439', '3', '0', '0', '0', '1', '7', '417', '432', '529', '475', '1', '0', '2', '2', '0', '2', '7', '70', '8', '77', '8', '13', '4', '9', '0', '0', '1', '1', '32', '09', '27', '51']
['20', '19', '25', '90', '0', '32', '116', '0', '15', '33', '261', '1', '3', '20', '36', '244', '2', '0', '3', '24', '3', '17', '237', '227', '327', '343', '3', '1', '1', '1', '4', '1', '3', '21', '7', '52', '5', '13', '7', '17', '0', '0', '0', '1', '28', '51', '31', '09']
['19', '18', '29', '116', '1', '29', '120', '0', '20', '38', '220', '0', '3', '20', '28', '230', '2', '2', '0', '0', '1', '8', '220', '222', '336', '342', '0', '0', '0', '0', '3', '2', '5', '48', '7', '51', '6', '14', '2', '10', '0', '2', '0', '1', '29', '35', '30', '25']
['19', '24', '20', '101', '1', '22', '75', '0', '21', '28', '243', '2', '1', '39', '53', '319', '2', '1', '2', '14', '2', '14', '229', '305', '330', '380', '2', '1', '1', '1', '2', '2', '8', '94', '7', '91', '4', '8', '11', '17', '0', '0', '0', '0', '27', '12', '32', '48']
['25', '22', '35', '159', '2', '38', '177', '2', '23', '41', '335', '1', '3', '15', '40', '197', '1', '1', '4', '22', '7', '47', '313', '150', '472', '327', '3', '3', '1', '0', '6', '1', '12', '116', '11', '87', '7', '15', '5', '18', '0', '0', '0', '1', '35', '12', '34', '48']
['19', '33', '27', '106', '0', '22', '123', '0', '15', '27', '256', '4', '0', '34', '51', '424', '3', '1', '1', '0', '1', '6', '256', '418', '362', '541', '0', '0', '2', '1', '0', '2', '6', '50', '7', '45', '4', '10', '3', '11', '0', '0', '1', '1', '25', '34', '34', '26']
['13', '25', '16', '64', '0', '32', '146', '0', '19', '33', '298', '3', '2', '25', '39', '329', '3', '3', '6', '56', '1', '5', '242', '324', '306', '470', '3', '1', '0', '0', '3', '3', '7', '45', '7', '60', '2', '12', '4', '12', '0', '0', '0', '0', '24', '52', '35', '08']
['30', '14', '42', '182', '1', '15', '68', '1', '21', '30', '255', '2', '0', '20', '34', '153', '0', '1', '3', '8', '2', '8', '247', '145', '429', '213', '3', '1', '1', '1', '1', '2', '9', '63', '9', '67', '6', '13', '1', '8', '1', '1', '0', '1', '38', '08', '21', '52']
['17', '20', '22', '94', '1', '32', '147', '2', '19', '29', '170', '0', '0', '17', '26', '161', '0', '0', '6', '32', '3', '15', '138', '146', '232', '293', '1', '1', '2', '1', '1', '1', '10', '85', '9', '80', '2', '11', '4', '12', '0', '1', '0', '0', '29', '24', '30', '36']
['18', '16', '27', '139', '1', '18', '69', '0', '23', '35', '171', '0', '0', '24', '37', '341', '3', '1', '4', '16', '4', '40', '155', '301', '294', '370', '2', '1', '2', '1', '1', '2', '5', '35', '8', '72', '7', '17', '5', '13', '0', '2', '0', '1', '33', '22', '26', '38']
['18', '20', '36', '169', '2', '15', '39', '0', '16', '21', '198', '2', '1', '29', '52', '300', '1', '5', '2', '18', '0', '0', '180', '300', '349', '339', '1', '1', '0', '0', '2', '5', '7', '49', '3', '15', '6', '14', '3', '13', '2', '3', '0', '2', '33', '07', '26', '53']
['23', '20', '26', '140', '0', '23', '95', '1', '18', '33', '233', '2', '0', '29', '40', '303', '0', '3', '1', '8', '1', '3', '225', '300', '365', '395', '1', '0', '0', '0', '0', '3', '8', '70', '11', '155', '4', '11', '5', '11', '0', '0', '0', '0', '28', '29', '31', '31']
['28', '24', '22', '66', '1', '28', '108', '0', '32', '55', '376', '2', '2', '24', '42', '265', '4', '0', '4', '17', '0', '0', '359', '265', '425', '373', '2', '1', '1', '0', '3', '0', '7', '51', '9', '92', '7', '16', '5', '13', '2', '4', '0', '0', '28', '10', '31', '50']
['24', '33', '25', '127', '0', '13', '33', '2', '23', '28', '326', '6', '0', '39', '60', '452', '3', '0', '1', '4', '1', '10', '322', '442', '449', '475', '3', '1', '1', '0', '1', '0', '12', '76', '12', '90', '2', '5', '3', '11', '0', '0', '2', '2', '27', '49', '32', '11']
['21', '15', '26', '148', '0', '34', '100', '0', '22', '32', '310', '2', '1', '15', '22', '191', '2', '0', '4', '21', '1', '8', '289', '183', '437', '283', '2', '0', '1', '0', '1', '0', '11', '88', '8', '70', '5', '11', '5', '15', '0', '0', '2', '2', '29', '38', '30', '22']
['18', '21', '31', '135', '1', '19', '42', '0', '17', '23', '168', '2', '0', '25', '41', '334', '1', '2', '4', '46', '3', '14', '122', '320', '257', '362', '3', '2', '4', '1', '2', '3', '2', '10', '7', '50', '6', '13', '3', '10', '0', '0', '0', '0', '28', '25', '31', '35']
['16', '18', '27', '93', '1', '23', '62', '0', '22', '30', '246', '1', '1', '28', '35', '243', '2', '0', '3', '12', '3', '30', '234', '213', '327', '275', '3', '0', '2', '2', '1', '2', '4', '43', '4', '53', '4', '12', '3', '12', '1', '2', '0', '0', '27', '19', '32', '41']
['24', '24', '18', '68', '0', '24', '98', '0', '35', '48', '425', '4', '1', '30', '42', '281', '1', '0', '2', '13', '4', '28', '412', '253', '480', '351', '0', '0', '2', '0', '1', '0', '8', '70', '7', '54', '7', '14', '4', '13', '0', '0', '0', '0', '31', '52', '38', '08']
['21', '17', '26', '109', '1', '22', '84', '1', '23', '27', '256', '3', '0', '18', '33', '245', '1', '2', '2', '16', '5', '36', '240', '209', '349', '293', '2', '0', '1', '0', '0', '2', '6', '45', '6', '31', '3', '9', '5', '14', '0', '0', '0', '0', '33', '02', '26', '58']
['27', '23', '18', '121', '0', '32', '170', '2', '32', '45', '335', '3', '1', '23', '28', '272', '2', '1', '2', '17', '0', '0', '318', '272', '439', '442', '0', '0', '3', '0', '1', '1', '7', '49', '2', '26', '5', '11', '6', '11', '1', '1', '0', '0', '30', '18', '29', '42']
['17', '20', '28', '104', '1', '22', '65', '0', '21', '31', '179', '2', '2', '33', '46', '292', '0', '0', '1', '2', '3', '23', '177', '269', '281', '334', '1', '0', '2', '1', '2', '1', '6', '26', '7', '90', '9', '16', '5', '15', '0', '0', '1', '2', '26', '40', '33', '20']
['24', '18', '24', '91', '2', '23', '43', '0', '35', '48', '334', '1', '0', '27', '33', '402', '4', '1', '3', '13', '2', '9', '321', '393', '412', '436', '2', '2', '1', '1', '2', '2', '6', '55', '4', '44', '5', '15', '4', '10', '3', '5', '0', '0', '35', '39', '24', '21']
['25', '23', '18', '98', '0', '28', '190', '1', '34', '53', '347', '3', '0', '18', '26', '206', '2', '0', '2', '18', '6', '50', '329', '156', '427', '346', '1', '1', '1', '0', '1', '0', '10', '105', '9', '86', '7', '16', '3', '11', '0', '1', '0', '0', '30', '26', '29', '34']
['5', '24', '15', '54', '0', '33', '90', '3', '17', '27', '90', '0', '1', '24', '32', '354', '1', '1', '1', '7', '2', '12', '83', '342', '137', '432', '0', '0', '0', '0', '1', '1', '9', '47', '5', '49', '3', '12', '8', '15', '1', '1', '1', '3', '25', '52', '34', '08']
['18', '27', '24', '82', '0', '24', '104', '0', '24', '35', '234', '2', '0', '29', '45', '376', '4', '1', '2', '14', '0', '0', '220', '376', '302', '480', '1', '1', '2', '1', '1', '2', '2', '25', '7', '71', '4', '12', '10', '14', '0', '0', '0', '0', '29', '14', '30', '46']
['21', '20', '27', '92', '1', '28', '168', '2', '29', '32', '288', '1', '0', '19', '35', '222', '0', '1', '1', '7', '1', '5', '281', '217', '373', '385', '0', '0', '0', '0', '0', '1', '4', '30', '6', '35', '3', '10', '8', '16', '0', '1', '1', '1', '32', '56', '27', '04']
