['25', '25', '17', '100', '1', '30', '134', '1', '31', '41', '381', '3', '0', '19', '40', '224', '1', '1', '0', '0', '4', '27', '381', '197', '481', '331', '2', '1', '0', '0', '1', '1', '9', '81', '7', '59', '1', '7', '5', '15', '0', '0', '1', '2', '25', '41', '34', '19']
['9', '21', '21', '60', '0', '34', '174', '1', '12', '27', '142', '0', '1', '21', '28', '195', '2', '1', '3', '22', '3', '25', '120', '170', '180', '344', '2', '1', '1', '0', '2', '1', '4', '30', '2', '10', '2', '14', '4', '11', '1', '2', '0', '0', '22', '08', '37', '52']
['26', '13', '27', '118', '1', '30', '112', '0', '22', '32', '272', '3', '1', '14', '30', '155', '1', '2', '4', '25', '2', '17', '247', '138', '365', '250', '2', '0', '0', '0', '1', '2', '6', '55', '5', '41', '2', '9', '5', '15', '1', '1', '2', '3', '29', '24', '30', '36']
['18', '17', '19', '87', '1', '31', '104', '1', '21', '38', '249', '1', '1', '23', '37', '193', '1', '2', '5', '34', '4', '32', '215', '161', '302', '265', '2', '1', '4', '0', '2', '2', '6', '45', '4', '20', '3', '12', '5', '17', '0', '0', '0', '1', '24', '43', '35', '17']
['19', '18', '29', '153', '2', '37', '164', '2', '15', '22', '170', '0', '0', '12', '23', '145', '0', '1', '2', '11', '3', '17', '159', '128', '312', '292', '1', '1', '1', '0', '1', '1', '7', '58', '7', '48', '3', '10', '3', '12', '0', '0', '1', '2', '27', '49', '32', '11']
['10', '30', '18', '61', '0', '36', '148', '2', '19', '31', '246', '0', '1', '32', '38', '283', '3', '1', '1', '2', '1', '5', '244', '278', '305', '426', '1', '1', '1', '0', '2', '1', '6', '55', '4', '35', '2', '10', '14', '18', '0', '2', '0', '0', '21', '30', '38', '30']
['23', '9', '31', '120', '0', '25', '99', '1', '30', '49', '301', '1', '2', '11', '23', '115', '0', '0', '2', '9', '3', '22', '292', '93', '412', '192', '4', '4', '1', '0', '6', '0', '4', '27', '4', '25', '9', '17', '1', '12', '2', '3', '0', '0', '34', '53', '25', '07']
['15', '18', '39', '127', '1', '19', '75', '1', '10', '12', '129', '1', '0', '21', '49', '273', '1', '4', '4', '5', '3', '39', '124', '234', '251', '309', '1', '0', '0', '0', '0', '4', '4', '15', '5', '30', '5', '13', '7', '17', '1', '1', '0', '2', '32', '14', '27', '46']
['20', '21', '24', '94', '1', '26', '124', '2', '27', '40', '211', '1', '2', '23', '37', '296', '1', '0', '1', '8', '1', '4', '203', '292', '297', '416', '1', '1', '1', '1', '3', '1', '5', '29', '1', '5', '9', '16', '9', '16', '1', '2', '0', '1', '30', '45', '29', '15']
['17', '21', '18', '77', '0', '33', '148', '1', '22', '36', '256', '2', '2', '24', '35', '253', '2', '1', '2', '19', '1', '4', '237', '249', '314', '397', '1', '1', '2', '0', '3', '1', '5', '26', '7', '71', '2', '10', '3', '13', '0', '1', '2', '3', '24', '37', '35', '23']
['22', '11', '39', '113', '1', '18', '43', '0', '24', '36', '260', '3', '1', '18', '36', '161', '0', '3', '0', '0', '1', '9', '260', '152', '373', '195', '0', '0', '2', '1', '1', '4', '5', '76', '5', '35', '11', '18', '3', '13', '0', '0', '0', '2', '39', '23', '20', '37']
