['26', '25', '27', '185', '2', '35', '124', '3', '28', '35', '368', '4', '0', '16', '36', '267', '0', '0', '3', '16', '3', '20', '352', '247', '537', '371', '2', '1', '1', '0', '1', '0', '15', '139', '6', '55', '4', '11', '5', '15', '0', '0', '0', '2', '30', '14', '29', '46']
['19', '16', '24', '58', '0', '17', '64', '0', '26', '39', '307', '2', '1', '23', '40', '240', '1', '1', '2', '9', '4', '40', '298', '200', '356', '264', '1', '1', '3', '3', '2', '4', '8', '76', '2', '15', '8', '14', '3', '11', '0', '0', '0', '1', '34', '16', '25', '44']
['22', '21', '29', '109', '0', '21', '95', '1', '22', '32', '262', '2', '0', '25', '41', '256', '0', '0', '2', '12', '1', '1', '250', '255', '359', '350', '3', '0', '0', '0', '0', '0', '5', '49', '5', '49', '5', '12', '7', '14', '1', '1', '0', '0', '31', '39', '28', '21']
['19', '23', '39', '155', '1', '23', '93', '0', '11', '21', '125', '1', '0', '19', '36', '164', '1', '1', '0', '0', '10', '54', '125', '110', '280', '203', '1', '0', '3', '3', '0', '4', '10', '89', '9', '94', '3', '12', '5', '12', '1', '1', '0', '1', '30', '05', '29', '55']
['24', '19', '18', '45', '1', '27', '82', '0', '27', '48', '268', '1', '3', '29', '41', '292', '4', '1', '1', '5', '1', '7', '263', '285', '308', '367', '2', '1', '1', '0', '4', '1', '6', '55', '10', '100', '6', '15', '8', '16', '1', '1', '0', '1', '26', '40', '33', '20']
['16', '20', '17', '35', '0', '25', '57', '1', '24', '36', '263', '2', '1', '20', '30', '222', '1', '1', '1', '8', '7', '42', '255', '180', '290', '237', '1', '0', '1', '0', '1', '1', '13', '144', '4', '61', '5', '13', '3', '12', '0', '0', '2', '2', '28', '50', '31', '10']
['17', '14', '42', '157', '1', '22', '77', '0', '9', '17', '121', '1', '1', '16', '31', '170', '0', '4', '1', '10', '5', '26', '111', '144', '268', '221', '1', '0', '1', '1', '1', '5', '11', '85', '9', '66', '6', '14', '4', '13', '0', '0', '0', '1', '34', '00', '26', '00']
['18', '20', '23', '64', '1', '19', '125', '1', '21', '30', '321', '1', '0', '26', '40', '213', '1', '0', '2', '13', '4', '37', '308', '176', '372', '301', '0', '0', '2', '0', '0', '0', '8', '73', '4', '40', '5', '11', '5', '13', '0', '0', '1', '2', '30', '34', '29', '26']
['11', '23', '15', '38', '1', '42', '190', '1', '26', '39', '187', '0', '2', '16', '28', '224', '2', '1', '1', '11', '2', '6', '176', '218', '214', '408', '2', '0', '0', '0', '2', '1', '5', '62', '6', '50', '4', '14', '8', '17', '1', '1', '0', '0', '26', '56', '33', '04']
['10', '19', '24', '75', '1', '33', '63', '2', '11', '21', '179', '0', '2', '22', '30', '318', '1', '0', '4', '29', '1', '8', '150', '310', '225', '373', '3', '1', '2', '1', '3', '1', '4', '20', '7', '50', '0', '10', '5', '14', '0', '1', '0', '0', '25', '35', '34', '25']
['20', '13', '38', '116', '0', '15', '51', '0', '14', '25', '171', '2', '1', '24', '35', '193', '0', '1', '0', '0', '4', '27', '171', '166', '287', '217', '2', '1', '1', '1', '2', '2', '5', '40', '10', '74', '7', '13', '2', '11', '0', '0', '1', '4', '34', '21', '25', '39']
['12', '26', '18', '90', '0', '28', '84', '1', '14', '27', '158', '0', '0', '28', '42', '311', '1', '1', '3', '23', '4', '25', '135', '286', '225', '370', '1', '1', '1', '0', '1', '1', '8', '50', '8', '70', '3', '12', '9', '16', '0', '0', '0', '0', '20', '47', '39', '13']
