['Tampa_Bay_Buccaneers', '0', '0', '0', '0', nan, '0', 'New_Orleans_Saints', '7', '17', '7', '10', nan, '41']
['Jacksonville_Jaguars', '3', '0', '0', '0', nan, '3', 'Miami_Dolphins', '3', '7', '6', '8', nan, '24']
['Washington_Redskins', '7', '3', '14', '14', nan, '38', 'Cleveland_Browns', '7', '7', '0', '7', nan, '21']
['Green_Bay_Packers', '0', '14', '7', '0', nan, '21', 'Chicago_Bears', '0', '7', '3', '3', nan, '13']
['New_York_Giants', '0', '0', '0', '0', nan, '0', 'Atlanta_Falcons', '14', '3', '10', '7', nan, '34']
['Detroit_Lions', '0', '7', '3', '0', nan, '10', 'Arizona_Cardinals', '0', '21', '3', '14', nan, '38']
['Seattle_Seahawks', '14', '17', '16', '3', nan, '50', 'Buffalo_Bills', '7', '10', '0', '0', nan, '17']
['Carolina_Panthers', '21', '3', '7', '0', nan, '31', 'San_Diego_Chargers', '0', '0', '0', '7', nan, '7']
['Kansas_City_Chiefs', '0', '0', '0', '0', nan, '0', 'Oakland_Raiders', '3', '6', '3', '3', nan, '15']
['Pittsburgh_Steelers', '0', '10', '7', '7', '0', '24', 'Dallas_Cowboys', '3', '7', '7', '7', '3', '27']
['San_Francisco_49ers', '7', '10', '14', '10', nan, '41', 'New_England_Patriots', '0', '3', '7', '24', nan, '34']
['New_York_Jets', '3', '0', '7', '0', nan, '10', 'Tennessee_Titans', '0', '7', '7', '0', nan, '14']
['Atlanta_Falcons', '7', '14', '0', '10', nan, '31', 'Detroit_Lions', '3', '3', '7', '5', nan, '18']
['Cincinnati_Bengals', '7', '3', '0', '3', nan, '13', 'Pittsburgh_Steelers', '0', '7', '3', '0', nan, '10']
['Buffalo_Bills', '0', '3', '0', '7', nan, '10', 'Miami_Dolphins', '7', '7', '10', '0', nan, '24']
['New_England_Patriots', '3', '10', '3', '7', nan, '23', 'Jacksonville_Jaguars', '10', '3', '0', '3', nan, '16']
['Tennessee_Titans', '0', '0', '0', '7', nan, '7', 'Green_Bay_Packers', '14', '6', '14', '21', nan, '55']
['New_Orleans_Saints', '7', '10', '7', '7', '3', '34', 'Dallas_Cowboys', '0', '14', '3', '14', '0', '31']
['Washington_Redskins', '0', '13', '14', '0', nan, '27', 'Philadelphia_Eagles', '7', '3', '3', '7', nan, '20']
['San_Diego_Chargers', '7', '3', '14', '3', nan, '27', 'New_York_Jets', '14', '0', '0', '3', nan, '17']
['Indianapolis_Colts', '7', '6', '0', '7', nan, '20', 'Kansas_City_Chiefs', '3', '0', '10', '0', nan, '13']
['Minnesota_Vikings', '7', '6', '3', '7', nan, '23', 'Houston_Texans', '3', '0', '3', '0', nan, '6']
['St._Louis_Rams', '0', '14', '14', '0', nan, '28', 'Tampa_Bay_Buccaneers', '3', '3', '7', '0', nan, '13']
['Oakland_Raiders', '0', '3', '0', '3', nan, '6', 'Carolina_Panthers', '7', '7', '0', '3', nan, '17']
['Cleveland_Browns', '3', '0', '3', '6', nan, '12', 'Denver_Broncos', '7', '7', '7', '13', nan, '34']
