['23', '25', '21', '150', '1', '32', '81', '2', '30', '44', '295', '2', '0', '30', '39', '312', '1', '0', '5', '32', '1', '8', '263', '304', '413', '385', '5', '3', '0', '0', '3', '0', '7', '41', '3', '15', '3', '12', '8', '16', '3', '4', '1', '1', '27', '30', '32', '30']
['14', '22', '17', '34', '0', '41', '221', '2', '25', '44', '196', '1', '2', '19', '26', '253', '2', '1', '1', '5', '0', '0', '191', '253', '225', '474', '0', '0', '2', '2', '2', '3', '3', '15', '1', '5', '5', '15', '7', '14', '1', '2', '0', '0', '27', '21', '32', '39']
['16', '16', '18', '57', '0', '35', '84', '0', '22', '37', '282', '1', '0', '17', '31', '249', '1', '2', '2', '11', '2', '12', '271', '237', '328', '321', '1', '1', '1', '0', '1', '2', '8', '95', '5', '50', '3', '12', '6', '17', '0', '2', '1', '1', '26', '53', '33', '07']
['24', '26', '31', '95', '0', '21', '83', '0', '24', '36', '293', '3', '0', '30', '53', '331', '3', '3', '1', '6', '3', '20', '287', '311', '382', '394', '1', '0', '1', '0', '0', '3', '10', '69', '7', '64', '7', '14', '5', '15', '1', '2', '2', '2', '30', '02', '29', '58']
['24', '26', '31', '91', '2', '32', '155', '0', '26', '41', '353', '1', '1', '27', '42', '405', '4', '1', '1', '0', '2', '14', '353', '391', '444', '546', '1', '0', '3', '2', '1', '3', '9', '76', '10', '98', '6', '14', '9', '17', '0', '0', '1', '1', '33', '34', '38', '57']
['21', '20', '33', '152', '0', '33', '109', '0', '26', '48', '290', '1', '3', '20', '39', '213', '2', '2', '0', '0', '4', '24', '290', '189', '442', '298', '1', '0', '1', '1', '3', '3', '8', '81', '6', '30', '4', '18', '6', '15', '1', '1', '0', '1', '36', '44', '33', '20']
['21', '22', '28', '112', '1', '23', '112', '2', '22', '33', '243', '3', '0', '28', '42', '263', '1', '1', '0', '0', '2', '7', '243', '256', '355', '368', '1', '0', '0', '0', '0', '1', '3', '20', '8', '93', '7', '12', '5', '13', '0', '0', '1', '2', '30', '00', '30', '00']
['26', '22', '32', '180', '2', '18', '63', '0', '22', '29', '266', '2', '2', '26', '41', '282', '1', '2', '2', '12', '6', '46', '254', '236', '434', '299', '0', '0', '2', '2', '2', '4', '9', '97', '7', '50', '5', '9', '2', '10', '0', '0', '1', '2', '31', '53', '28', '07']
['21', '14', '20', '55', '0', '32', '141', '0', '29', '45', '421', '1', '2', '11', '20', '174', '2', '0', '1', '7', '1', '5', '414', '169', '469', '310', '2', '1', '0', '0', '3', '0', '9', '111', '6', '48', '5', '12', '3', '12', '0', '1', '0', '0', '31', '09', '28', '51']
['25', '14', '33', '135', '3', '26', '115', '1', '20', '36', '269', '1', '2', '18', '30', '241', '1', '0', '3', '21', '4', '22', '248', '219', '383', '334', '0', '0', '0', '0', '2', '0', '5', '25', '7', '48', '4', '11', '4', '14', '0', '1', '0', '0', '32', '12', '27', '48']
['25', '15', '22', '77', '0', '25', '65', '0', '33', '53', '343', '2', '2', '16', '27', '340', '2', '0', '0', '0', '3', '14', '343', '326', '420', '391', '0', '0', '1', '0', '2', '0', '3', '15', '4', '25', '4', '13', '5', '13', '1', '1', '0', '0', '33', '07', '26', '53']
['32', '17', '21', '60', '0', '17', '133', '1', '43', '65', '503', '2', '0', '16', '29', '255', '2', '0', '3', '15', '3', '18', '488', '237', '548', '370', '2', '1', '1', '0', '1', '0', '9', '76', '6', '50', '9', '18', '3', '9', '1', '3', '0', '0', '38', '00', '22', '00']
['22', '24', '25', '116', '1', '22', '120', '0', '23', '37', '312', '3', '1', '30', '50', '312', '3', '0', '2', '11', '3', '23', '301', '289', '417', '409', '0', '0', '0', '0', '1', '0', '8', '72', '11', '103', '5', '12', '7', '16', '1', '1', '1', '3', '27', '28', '32', '32']
['18', '24', '23', '81', '0', '37', '158', '1', '24', '38', '189', '1', '2', '24', '38', '280', '1', '3', '3', '23', '1', '10', '166', '270', '247', '428', '2', '1', '3', '1', '3', '4', '12', '92', '9', '72', '4', '13', '6', '16', '0', '1', '0', '0', '29', '30', '30', '30']
['21', '8', '41', '176', '1', '15', '61', '0', '18', '24', '235', '1', '2', '13', '24', '124', '0', '0', '5', '23', '6', '43', '212', '81', '388', '142', '0', '0', '1', '0', '2', '0', '6', '50', '4', '33', '5', '13', '1', '11', '1', '1', '0', '0', '38', '05', '21', '55']
['26', '17', '28', '115', '0', '32', '120', '1', '24', '42', '298', '2', '2', '13', '29', '182', '2', '1', '4', '38', '2', '7', '260', '175', '375', '295', '4', '2', '1', '0', '4', '1', '10', '87', '10', '66', '3', '12', '5', '14', '0', '1', '0', '1', '31', '22', '28', '38']
['19', '16', '24', '82', '0', '26', '158', '2', '30', '37', '297', '0', '0', '15', '23', '163', '0', '0', '4', '15', '2', '13', '282', '150', '364', '308', '4', '4', '1', '1', '4', '1', '11', '98', '9', '75', '3', '12', '1', '9', '0', '1', '0', '0', '35', '33', '24', '27']
