['19', '17', '15', '38', '0', '24', '111', '2', '28', '38', '238', '2', '0', '28', '38', '236', '0', '2', '4', '12', '2', '14', '226', '222', '264', '333', '1', '1', '0', '0', '1', '2', '3', '20', '5', '54', '3', '10', '5', '14', '0', '0', '1', '2', '27', '14', '32', '46']
['18', '20', '20', '80', '1', '34', '146', '2', '24', '38', '268', '2', '3', '22', '31', '289', '2', '0', '3', '17', '4', '31', '251', '258', '331', '404', '2', '0', '1', '0', '3', '0', '4', '25', '4', '30', '4', '11', '6', '14', '0', '0', '0', '1', '26', '37', '33', '23']
['21', '19', '16', '26', '0', '31', '150', '0', '35', '47', '377', '2', '1', '15', '22', '171', '4', '1', '6', '37', '2', '9', '340', '162', '366', '312', '5', '3', '1', '0', '4', '1', '2', '26', '3', '19', '5', '15', '5', '11', '4', '6', '0', '0', '30', '59', '29', '01']
['13', '23', '19', '67', '1', '43', '242', '1', '16', '34', '194', '1', '0', '14', '25', '178', '1', '2', '3', '12', '1', '4', '182', '174', '249', '416', '1', '1', '1', '0', '1', '2', '4', '24', '6', '45', '3', '13', '8', '13', '1', '2', '0', '0', '25', '48', '34', '12']
['18', '19', '18', '126', '1', '29', '127', '1', '26', '37', '297', '1', '1', '20', '28', '236', '1', '0', '2', '21', '3', '22', '276', '214', '402', '341', '1', '0', '1', '0', '1', '0', '11', '91', '7', '46', '5', '12', '3', '11', '0', '0', '1', '1', '27', '22', '32', '38']
['25', '18', '36', '215', '1', '15', '74', '0', '20', '31', '283', '2', '0', '26', '45', '276', '1', '1', '0', '0', '2', '12', '283', '264', '498', '338', '0', '0', '0', '0', '0', '1', '11', '105', '8', '47', '5', '12', '6', '14', '1', '1', '0', '1', '34', '26', '25', '34']
['24', '25', '35', '84', '1', '20', '129', '1', '19', '26', '258', '4', '0', '27', '46', '255', '2', '1', '0', '0', '1', '12', '258', '243', '342', '372', '0', '0', '1', '1', '0', '2', '7', '61', '13', '96', '5', '10', '4', '12', '1', '1', '2', '4', '32', '04', '27', '56']
['21', '26', '28', '75', '1', '27', '220', '1', '22', '31', '339', '2', '0', '25', '30', '256', '2', '1', '2', '17', '0', '0', '322', '256', '397', '476', '1', '0', '5', '0', '0', '1', '4', '36', '3', '30', '6', '14', '3', '8', '2', '2', '0', '1', '30', '26', '29', '34']
['25', '18', '39', '226', '2', '35', '167', '2', '12', '23', '127', '1', '2', '8', '19', '160', '1', '0', '3', '20', '0', '0', '107', '160', '333', '327', '0', '0', '2', '0', '2', '0', '10', '90', '13', '80', '5', '13', '2', '10', '0', '0', '0', '0', '32', '42', '27', '18']
['23', '25', '24', '148', '0', '31', '108', '1', '18', '32', '221', '1', '2', '29', '38', '312', '2', '0', '4', '27', '1', '8', '194', '304', '342', '412', '1', '0', '0', '0', '2', '0', '8', '68', '9', '70', '1', '8', '7', '13', '0', '0', '0', '0', '25', '51', '34', '09']
['10', '30', '24', '62', '0', '30', '178', '3', '12', '19', '105', '1', '1', '28', '32', '259', '3', '0', '2', '18', '4', '23', '87', '236', '149', '414', '1', '0', '1', '1', '1', '1', '3', '35', '4', '30', '4', '12', '3', '7', '0', '1', '1', '1', '24', '42', '35', '18']
