['Arizona_Cardinals', '0', '14', '0', '14', nan, '28', 'Dallas_Cowboys', '10', '0', '0', '7', nan, '17']
['St._Louis_Rams', '3', '7', '0', '3', nan, '13', 'San_Francisco_49ers', '3', '7', '0', '0', nan, '10']
['Denver_Broncos', '7', '0', '14', '0', nan, '21', 'New_England_Patriots', '3', '24', '10', '6', nan, '43']
['Oakland_Raiders', '3', '0', '14', '7', nan, '24', 'Seattle_Seahawks', '14', '10', '0', '6', nan, '30']
['Baltimore_Ravens', '7', '3', '0', '13', nan, '23', 'Pittsburgh_Steelers', '0', '22', '0', '21', nan, '43']
['Indianapolis_Colts', '3', '13', '21', '3', nan, '40', 'New_York_Giants', '0', '3', '7', '14', nan, '24']
['Cleveland_Browns', '7', '10', '7', '0', nan, '24', 'Cincinnati_Bengals', '3', '0', '0', '0', nan, '3']
['Pittsburgh_Steelers', '0', '3', '0', '10', nan, '13', 'New_York_Jets', '17', '0', '3', '0', nan, '20']
['Miami_Dolphins', '0', '3', '10', '3', nan, '16', 'Detroit_Lions', '10', '0', '0', '10', nan, '20']
['Kansas_City_Chiefs', '3', '0', '0', '14', nan, '17', 'Buffalo_Bills', '7', '3', '3', '0', nan, '13']
['Tennessee_Titans', '7', '0', '0', '0', nan, '7', 'Baltimore_Ravens', '0', '7', '7', '7', nan, '21']
['San_Francisco_49ers', '14', '7', '0', '3', '3', '27', 'New_Orleans_Saints', '3', '7', '7', '7', '0', '24']
['Atlanta_Falcons', '7', '6', '3', '11', nan, '27', 'Tampa_Bay_Buccaneers', '3', '7', '0', '7', nan, '17']
['Dallas_Cowboys', '10', '14', '7', '0', nan, '31', 'Jacksonville_Jaguars', '7', '0', '0', '10', nan, '17']
['Denver_Broncos', '3', '17', '21', '0', nan, '41', 'Oakland_Raiders', '3', '7', '0', '7', nan, '17']
['St._Louis_Rams', '7', '7', '0', '0', nan, '14', 'Arizona_Cardinals', '0', '10', '0', '21', nan, '31']
['New_York_Giants', '7', '10', '0', '0', nan, '17', 'Seattle_Seahawks', '7', '7', '3', '21', nan, '38']
['Chicago_Bears', '0', '0', '7', '7', nan, '14', 'Green_Bay_Packers', '14', '28', '6', '7', nan, '55']
['Carolina_Panthers', '7', '0', '0', '14', nan, '21', 'Philadelphia_Eagles', '17', '14', '7', '7', nan, '45']
['Buffalo_Bills', '3', '3', '3', '0', nan, '9', 'Miami_Dolphins', '3', '0', '9', '10', nan, '22']
['Denver_Broncos', '0', '7', '0', '0', nan, '7', 'St._Louis_Rams', '10', '3', '3', '6', nan, '22']
['Cincinnati_Bengals', '7', '6', '7', '7', nan, '27', 'New_Orleans_Saints', '3', '0', '0', '7', nan, '10']
['Minnesota_Vikings', '10', '0', '0', '3', nan, '13', 'Chicago_Bears', '0', '14', '0', '7', nan, '21']
['Tampa_Bay_Buccaneers', '10', '3', '7', '7', nan, '27', 'Washington_Redskins', '0', '7', '0', '0', nan, '7']
['San_Francisco_49ers', '3', '6', '7', '0', nan, '16', 'New_York_Giants', '7', '0', '3', '0', nan, '10']
['Houston_Texans', '7', '7', '3', '6', nan, '23', 'Cleveland_Browns', '0', '7', '0', '0', nan, '7']
['Atlanta_Falcons', '0', '6', '10', '3', nan, '19', 'Carolina_Panthers', '0', '3', '0', '14', nan, '17']
['Seattle_Seahawks', '0', '13', '7', '0', nan, '20', 'Kansas_City_Chiefs', '7', '7', '3', '7', nan, '24']
['Oakland_Raiders', '3', '0', '0', '3', nan, '6', 'San_Diego_Chargers', '7', '3', '3', '0', nan, '13']
['Philadelphia_Eagles', '0', '6', '7', '7', nan, '20', 'Green_Bay_Packers', '17', '13', '9', '14', nan, '53']
['Detroit_Lions', '3', '3', '0', '0', nan, '6', 'Arizona_Cardinals', '14', '0', '0', '0', nan, '14']
['New_England_Patriots', '7', '7', '14', '14', nan, '42', 'Indianapolis_Colts', '3', '7', '3', '7', nan, '20']
['Pittsburgh_Steelers', '13', '0', '0', '14', nan, '27', 'Tennessee_Titans', '7', '10', '7', '0', nan, '24']
