['22', '20', '17', '79', '1', '35', '117', '1', '22', '37', '249', '1', '1', '18', '31', '198', '1', '0', '7', '41', '3', '15', '208', '183', '287', '300', '0', '0', '1', '0', '1', '0', '6', '31', '6', '35', '4', '12', '7', '17', '0', '0', '0', '0', '26', '37', '33', '23']
['27', '21', '32', '212', '1', '18', '42', '0', '21', '32', '263', '3', '1', '27', '47', '236', '1', '0', '0', '0', '1', '1', '263', '235', '475', '277', '2', '0', '3', '1', '1', '1', '9', '80', '5', '30', '9', '12', '6', '15', '0', '0', '2', '3', '31', '29', '28', '31']
['17', '22', '21', '69', '0', '35', '121', '1', '23', '33', '281', '1', '2', '16', '27', '257', '3', '1', '6', '23', '0', '0', '258', '257', '327', '378', '2', '1', '1', '0', '3', '1', '3', '41', '4', '25', '6', '13', '7', '14', '0', '0', '0', '0', '28', '04', '31', '56']
['20', '23', '19', '65', '0', '38', '154', '1', '23', '42', '250', '2', '1', '23', '29', '326', '3', '1', '3', '22', '1', '6', '228', '320', '293', '474', '1', '1', '0', '0', '2', '1', '2', '30', '9', '78', '4', '14', '7', '14', '1', '1', '1', '1', '25', '57', '34', '03']
['21', '23', '34', '99', '0', '26', '127', '1', '27', '35', '285', '2', '0', '27', '44', '292', '1', '2', '3', '7', '3', '25', '278', '267', '377', '394', '1', '0', '0', '0', '0', '2', '8', '67', '9', '78', '5', '16', '4', '14', '0', '0', '0', '1', '40', '14', '32', '50']
['26', '16', '39', '150', '0', '21', '76', '1', '23', '39', '231', '2', '1', '18', '33', '313', '1', '1', '0', '0', '5', '30', '231', '283', '381', '359', '0', '0', '1', '0', '1', '1', '4', '30', '7', '45', '6', '14', '3', '13', '0', '1', '2', '2', '37', '56', '28', '03']
['20', '15', '31', '111', '2', '14', '61', '1', '25', '40', '242', '1', '0', '17', '39', '290', '0', '0', '0', '0', '6', '44', '242', '246', '353', '307', '1', '0', '1', '0', '0', '0', '5', '83', '2', '18', '7', '18', '0', '12', '0', '0', '1', '1', '34', '23', '25', '37']
['16', '24', '21', '64', '0', '30', '167', '2', '28', '49', '313', '2', '1', '20', '30', '177', '2', '0', '2', '11', '2', '10', '302', '167', '366', '334', '5', '2', '1', '1', '3', '1', '11', '91', '2', '15', '9', '20', '5', '13', '2', '2', '0', '1', '27', '18', '32', '42']
['25', '23', '38', '228', '1', '22', '132', '3', '20', '29', '201', '3', '0', '25', '33', '305', '2', '0', '1', '12', '2', '16', '189', '289', '417', '421', '0', '0', '0', '0', '0', '0', '5', '35', '5', '53', '9', '16', '5', '10', '1', '1', '1', '1', '33', '28', '26', '32']
['10', '17', '30', '110', '0', '31', '158', '0', '8', '21', '83', '0', '2', '16', '33', '196', '2', '0', '2', '14', '2', '5', '69', '191', '179', '349', '2', '0', '0', '0', '2', '0', '8', '60', '11', '143', '5', '15', '7', '17', '0', '0', '0', '0', '26', '39', '33', '21']
['17', '21', '30', '129', '2', '37', '145', '1', '17', '30', '198', '1', '2', '14', '34', '209', '1', '0', '2', '8', '1', '8', '190', '201', '319', '346', '1', '1', '3', '2', '3', '2', '6', '74', '5', '81', '5', '13', '7', '18', '0', '0', '0', '1', '29', '37', '30', '23']
['16', '14', '28', '94', '0', '28', '95', '1', '24', '32', '220', '3', '2', '14', '19', '118', '1', '0', '0', '0', '3', '25', '220', '93', '314', '188', '0', '0', '1', '1', '2', '1', '11', '91', '5', '45', '9', '17', '6', '12', '1', '1', '0', '0', '32', '10', '27', '50']
['22', '23', '29', '170', '1', '24', '113', '2', '25', '38', '307', '2', '0', '29', '45', '246', '1', '2', '1', '8', '3', '24', '299', '222', '469', '335', '4', '3', '0', '0', '3', '2', '3', '15', '7', '53', '3', '10', '4', '13', '0', '0', '0', '1', '27', '30', '32', '30']
['20', '17', '39', '153', '1', '25', '76', '0', '14', '21', '171', '2', '0', '21', '36', '189', '0', '3', '0', '0', '2', '16', '171', '173', '324', '249', '1', '0', '1', '1', '0', '4', '8', '57', '7', '55', '8', '14', '3', '13', '1', '1', '2', '4', '32', '45', '27', '15']
['19', '17', '32', '161', '0', '21', '124', '0', '13', '26', '126', '2', '0', '23', '40', '212', '1', '0', '1', '2', '3', '23', '124', '189', '285', '313', '1', '1', '2', '0', '1', '0', '6', '45', '12', '92', '7', '14', '5', '15', '0', '0', '2', '2', '28', '41', '31', '19']
['27', '21', '35', '132', '0', '29', '135', '1', '29', '43', '382', '4', '2', '16', '31', '250', '3', '0', '1', '0', '2', '21', '382', '229', '514', '364', '3', '2', '2', '2', '4', '2', '6', '78', '4', '18', '11', '17', '2', '11', '1', '2', '1', '1', '38', '36', '25', '30']
['21', '15', '24', '99', '0', '26', '75', '0', '26', '48', '231', '1', '2', '17', '31', '276', '3', '2', '1', '4', '3', '23', '227', '253', '326', '328', '2', '2', '1', '1', '4', '3', '10', '100', '6', '37', '10', '18', '4', '13', '0', '0', '0', '0', '33', '24', '26', '36']
['12', '25', '28', '125', '1', '18', '58', '0', '10', '17', '87', '0', '0', '37', '56', '356', '2', '4', '1', '2', '3', '20', '85', '336', '210', '394', '1', '0', '2', '0', '0', '4', '4', '30', '7', '98', '2', '11', '5', '15', '1', '1', '3', '3', '24', '26', '35', '34']
['15', '15', '27', '58', '0', '21', '64', '0', '19', '27', '302', '2', '0', '23', '36', '257', '1', '1', '3', '12', '1', '8', '290', '249', '348', '313', '4', '2', '1', '1', '2', '2', '5', '34', '3', '35', '6', '15', '3', '12', '0', '0', '0', '1', '30', '49', '29', '11']
['19', '25', '23', '84', '0', '42', '236', '3', '18', '34', '222', '2', '2', '13', '18', '193', '2', '0', '1', '6', '1', '3', '216', '190', '300', '426', '2', '1', '0', '0', '3', '0', '6', '43', '7', '92', '3', '10', '6', '11', '1', '1', '1', '2', '26', '00', '34', '00']
['15', '22', '22', '99', '0', '34', '76', '0', '14', '32', '196', '1', '1', '28', '41', '308', '2', '1', '2', '13', '1', '5', '183', '303', '282', '379', '0', '0', '3', '2', '1', '3', '11', '81', '4', '35', '4', '13', '7', '15', '0', '0', '0', '1', '23', '55', '36', '05']
['13', '19', '28', '121', '0', '16', '66', '0', '17', '32', '200', '1', '2', '26', '40', '281', '1', '4', '2', '13', '4', '25', '187', '256', '308', '322', '6', '1', '2', '2', '3', '6', '7', '48', '6', '51', '2', '13', '2', '10', '0', '0', '0', '0', '29', '12', '30', '48']
['28', '22', '21', '84', '0', '30', '153', '2', '36', '50', '412', '3', '0', '24', '33', '299', '3', '1', '3', '27', '0', '0', '385', '299', '469', '452', '2', '1', '1', '1', '1', '2', '7', '36', '3', '41', '7', '12', '7', '13', '0', '0', '1', '1', '30', '22', '29', '38']
['13', '16', '20', '113', '1', '36', '144', '0', '12', '33', '132', '0', '1', '20', '38', '192', '1', '0', '2', '18', '5', '34', '114', '158', '227', '302', '4', '4', '1', '1', '5', '1', '5', '32', '10', '95', '2', '12', '7', '21', '0', '1', '0', '1', '22', '43', '37', '17']
['15', '23', '22', '51', '1', '19', '38', '1', '19', '32', '159', '1', '0', '34', '50', '336', '1', '1', '4', '31', '2', '11', '128', '325', '179', '363', '0', '0', '4', '3', '0', '4', '7', '51', '6', '69', '3', '12', '7', '15', '1', '2', '1', '1', '25', '35', '34', '25']
['29', '11', '52', '328', '5', '17', '75', '0', '12', '20', '204', '2', '0', '12', '29', '198', '2', '1', '2', '24', '4', '33', '180', '165', '508', '240', '1', '0', '5', '2', '0', '3', '10', '94', '5', '64', '6', '13', '2', '11', '1', '1', '0', '2', '38', '39', '21', '21']
['21', '20', '36', '196', '2', '23', '84', '1', '16', '29', '212', '1', '3', '21', '35', '295', '2', '2', '1', '6', '0', '0', '206', '295', '402', '379', '1', '0', '1', '0', '3', '2', '6', '40', '2', '20', '6', '14', '6', '11', '2', '3', '1', '3', '31', '04', '28', '56']
['25', '14', '37', '200', '1', '13', '41', '0', '25', '35', '306', '4', '3', '21', '40', '226', '3', '0', '1', '9', '3', '13', '297', '213', '497', '254', '3', '2', '2', '2', '5', '2', '6', '46', '5', '42', '5', '13', '0', '10', '0', '0', '1', '2', '37', '31', '22', '29']
['14', '15', '17', '25', '0', '29', '62', '0', '23', '37', '194', '1', '3', '25', '32', '191', '2', '0', '3', '18', '2', '7', '176', '184', '201', '246', '2', '1', '1', '0', '4', '0', '6', '30', '7', '65', '7', '14', '6', '15', '0', '0', '0', '0', '23', '32', '36', '28']
['13', '19', '19', '80', '1', '25', '102', '0', '21', '37', '254', '1', '1', '26', '45', '212', '4', '1', '7', '59', '1', '10', '195', '202', '275', '304', '3', '1', '1', '1', '2', '2', '10', '77', '7', '65', '2', '14', '4', '17', '1', '2', '1', '1', '27', '50', '32', '10']
['13', '15', '26', '81', '0', '29', '119', '0', '15', '34', '170', '0', '0', '16', '38', '256', '0', '2', '2', '14', '2', '15', '156', '241', '237', '360', '0', '0', '3', '1', '0', '3', '3', '15', '7', '55', '2', '14', '7', '17', '0', '0', '0', '3', '28', '37', '31', '23']
['20', '25', '34', '149', '1', '22', '50', '1', '17', '21', '260', '4', '0', '34', '49', '379', '1', '4', '3', '22', '2', '14', '238', '365', '387', '415', '1', '1', '1', '0', '1', '4', '6', '36', '3', '20', '6', '12', '6', '13', '0', '0', '2', '3', '32', '35', '27', '25']
['20', '16', '31', '137', '1', '26', '106', '0', '24', '37', '217', '0', '1', '17', '38', '156', '2', '1', '0', '0', '0', '0', '217', '156', '354', '262', '1', '1', '0', '0', '2', '1', '4', '42', '4', '36', '5', '15', '6', '16', '0', '0', '1', '1', '33', '29', '26', '31']
