['Minnesota_Vikings', '0', '10', '0', '7', nan, '17', 'Tennessee_Titans', '10', '10', '3', '7', nan, '30']
['San_Francisco_49ers', '3', '3', '3', '8', nan, '17', 'New_Orleans_Saints', '0', '21', '0', '10', nan, '31']
['Atlanta_Falcons', '3', '6', '0', '0', nan, '9', 'Carolina_Panthers', '7', '7', '3', '7', nan, '24']
['Buffalo_Bills', '6', '0', '7', '18', nan, '31', 'St._Louis_Rams', '7', '7', '0', '0', nan, '14']
['San_Diego_Chargers', '0', '0', '3', '25', nan, '28', 'Oakland_Raiders', '5', '10', '0', '3', nan, '18']
['Washington_Redskins', '0', '17', '3', '6', nan, '26', 'Dallas_Cowboys', '7', '3', '7', '7', nan, '24']
['Philadelphia_Eagles', '7', '7', '3', '3', nan, '20', 'Chicago_Bears', '7', '14', '0', '3', nan, '24']
['Baltimore_Ravens', '3', '10', '0', '7', '0', '20', 'Pittsburgh_Steelers', '3', '0', '14', '3', '3', '23']
['Tennessee_Titans', '0', '3', '0', '10', nan, '13', 'Baltimore_Ravens', '3', '0', '7', '0', nan, '10']
['Indianapolis_Colts', '10', '0', '0', '21', nan, '31', 'Houston_Texans', '0', '17', '3', '7', nan, '27']
['Atlanta_Falcons', '10', '7', '0', '10', nan, '27', 'Green_Bay_Packers', '0', '7', '3', '14', nan, '24']
['Chicago_Bears', '3', '14', '14', '3', nan, '34', 'Detroit_Lions', '0', '0', '7', '0', nan, '7']
['Seattle_Seahawks', '3', '3', '0', '0', nan, '6', 'New_York_Giants', '14', '13', '10', '7', nan, '44']
['San_Diego_Chargers', '3', '0', '7', '0', nan, '10', 'Miami_Dolphins', '3', '14', '0', '0', nan, '17']
['Washington_Redskins', '0', '9', '7', '7', nan, '23', 'Philadelphia_Eagles', '14', '0', '0', '3', nan, '17']
['Kansas_City_Chiefs', '0', '0', '0', '0', nan, '0', 'Carolina_Panthers', '7', '14', '10', '3', nan, '34']
['Tampa_Bay_Buccaneers', '3', '3', '0', '7', nan, '13', 'Denver_Broncos', '0', '6', '7', '3', nan, '16']
['New_England_Patriots', '7', '10', '7', '6', nan, '30', 'San_Francisco_49ers', '14', '0', '0', '7', nan, '21']
['Cincinnati_Bengals', '0', '6', '7', '9', nan, '22', 'Dallas_Cowboys', '10', '7', '0', '14', nan, '31']
['Buffalo_Bills', '0', '14', '3', '0', nan, '17', 'Arizona_Cardinals', '7', '17', '7', '10', nan, '41']
['Pittsburgh_Steelers', '7', '13', '0', '6', nan, '26', 'Jacksonville_Jaguars', '14', '0', '0', '7', nan, '21']
['Minnesota_Vikings', '10', '10', '0', '10', nan, '30', 'New_Orleans_Saints', '10', '0', '7', '10', nan, '27']
