['19', '21', '23', '72', '0', '25', '123', '0', '27', '41', '322', '1', '0', '21', '34', '226', '1', '0', '1', '8', '3', '15', '314', '211', '386', '334', '1', '0', '1', '0', '0', '0', '7', '51', '5', '32', '8', '16', '7', '14', '0', '0', '0', '0', '29', '29', '30', '31']
['11', '22', '27', '131', '1', '29', '128', '1', '6', '19', '72', '0', '0', '31', '39', '277', '1', '0', '3', '7', '3', '24', '65', '253', '196', '381', '2', '1', '3', '2', '1', '2', '4', '36', '4', '22', '2', '12', '7', '15', '1', '1', '0', '1', '23', '25', '36', '35']
['15', '19', '17', '53', '0', '32', '100', '0', '21', '40', '225', '0', '3', '18', '35', '195', '2', '1', '7', '57', '1', '6', '168', '189', '221', '289', '2', '2', '0', '0', '5', '1', '8', '45', '4', '25', '4', '15', '4', '14', '0', '0', '0', '1', '26', '59', '33', '01']
['24', '21', '26', '119', '0', '24', '90', '0', '24', '35', '290', '4', '2', '22', '29', '248', '3', '2', '4', '30', '2', '14', '260', '234', '379', '324', '1', '1', '2', '0', '3', '2', '3', '23', '2', '20', '8', '12', '7', '10', '1', '1', '0', '0', '31', '35', '28', '25']
['24', '18', '33', '141', '2', '27', '117', '1', '23', '37', '259', '1', '1', '17', '36', '128', '0', '2', '2', '16', '3', '19', '243', '109', '384', '226', '1', '0', '2', '1', '1', '3', '4', '27', '2', '20', '7', '14', '5', '13', '1', '1', '2', '6', '34', '07', '25', '53']
['20', '24', '29', '132', '0', '24', '79', '1', '18', '25', '248', '3', '0', '25', '39', '322', '1', '1', '2', '12', '1', '8', '236', '314', '368', '393', '0', '0', '0', '0', '0', '1', '14', '102', '4', '30', '6', '11', '7', '13', '0', '0', '0', '2', '29', '58', '30', '02']
['14', '11', '27', '92', '0', '36', '192', '1', '15', '32', '167', '0', '1', '6', '14', '42', '0', '0', '5', '24', '2', '16', '143', '26', '235', '218', '4', '1', '1', '0', '2', '0', '14', '100', '7', '62', '5', '16', '3', '13', '0', '1', '0', '0', '32', '37', '27', '23']
['23', '15', '33', '160', '1', '21', '91', '0', '19', '26', '230', '2', '1', '23', '31', '205', '1', '0', '1', '0', '0', '0', '230', '205', '390', '296', '0', '0', '2', '1', '1', '1', '3', '20', '2', '10', '8', '11', '6', '11', '0', '0', '1', '1', '32', '43', '27', '17']
['23', '20', '32', '131', '2', '33', '108', '1', '15', '32', '264', '2', '0', '28', '45', '185', '0', '1', '0', '0', '0', '0', '264', '185', '395', '293', '2', '1', '3', '2', '1', '3', '5', '27', '8', '55', '6', '12', '10', '21', '0', '1', '2', '2', '23', '55', '36', '05']
['19', '18', '37', '189', '1', '26', '126', '0', '8', '22', '59', '0', '0', '17', '30', '149', '1', '0', '1', '10', '3', '30', '49', '119', '238', '245', '3', '1', '3', '2', '1', '2', '7', '60', '7', '61', '3', '11', '6', '13', '1', '1', '0', '0', '32', '05', '27', '55']
['22', '20', '26', '62', '1', '29', '105', '0', '23', '36', '333', '1', '0', '14', '26', '182', '1', '0', '2', '10', '4', '31', '323', '151', '385', '256', '0', '0', '0', '0', '0', '0', '8', '70', '6', '73', '6', '13', '3', '12', '0', '0', '0', '0', '30', '56', '29', '04']
['22', '16', '28', '119', '1', '20', '63', '0', '24', '35', '268', '0', '0', '22', '40', '208', '1', '4', '4', '22', '2', '16', '246', '192', '365', '255', '1', '1', '1', '0', '1', '4', '5', '32', '7', '78', '4', '13', '7', '14', '0', '0', '0', '0', '34', '54', '25', '06']
['12', '18', '44', '133', '1', '21', '136', '1', '7', '16', '100', '1', '0', '19', '41', '267', '1', '3', '2', '14', '2', '18', '86', '249', '219', '385', '1', '0', '0', '0', '0', '3', '5', '45', '7', '74', '4', '16', '4', '14', '2', '3', '0', '1', '32', '05', '27', '55']
