['28', '17', '41', '136', '2', '15', '53', '0', '21', '30', '282', '2', '0', '20', '35', '250', '2', '1', '2', '10', '3', '14', '272', '236', '408', '289', '0', '0', '2', '1', '0', '2', '9', '74', '8', '54', '6', '13', '3', '11', '0', '0', '0', '1', '34', '57', '25', '03']
['25', '14', '33', '81', '0', '20', '79', '1', '27', '33', '434', '3', '0', '20', '27', '179', '0', '2', '0', '0', '2', '11', '434', '168', '515', '247', '1', '0', '1', '0', '0', '2', '5', '56', '7', '60', '9', '14', '6', '11', '0', '1', '0', '0', '36', '05', '23', '55']
['7', '17', '24', '84', '0', '31', '122', '0', '13', '27', '113', '0', '1', '19', '31', '242', '2', '1', '4', '27', '6', '41', '86', '201', '170', '323', '1', '0', '0', '0', '1', '1', '6', '79', '8', '55', '2', '14', '4', '15', '1', '2', '0', '1', '25', '23', '34', '37']
['8', '24', '14', '6', '0', '33', '176', '0', '17', '33', '147', '0', '2', '26', '39', '248', '3', '0', '2', '13', '1', '4', '134', '244', '140', '420', '2', '0', '4', '3', '2', '3', '9', '56', '11', '70', '3', '13', '7', '16', '0', '2', '3', '4', '22', '52', '37', '08']
['17', '21', '33', '145', '2', '26', '109', '0', '11', '28', '168', '0', '0', '19', '36', '307', '3', '0', '3', '14', '3', '25', '154', '282', '299', '391', '1', '0', '2', '1', '0', '1', '10', '84', '7', '68', '3', '14', '5', '14', '1', '1', '0', '0', '31', '50', '28', '10']
['15', '25', '19', '67', '0', '38', '196', '1', '23', '34', '215', '1', '2', '18', '28', '227', '4', '1', '7', '61', '1', '6', '154', '221', '221', '417', '2', '1', '4', '1', '3', '2', '6', '52', '7', '70', '2', '11', '5', '12', '2', '3', '1', '2', '27', '19', '32', '41']
['17', '14', '37', '104', '0', '19', '55', '0', '19', '29', '183', '1', '0', '23', '36', '199', '1', '1', '2', '19', '2', '18', '164', '181', '268', '236', '1', '0', '0', '0', '0', '1', '6', '50', '6', '50', '6', '17', '2', '13', '0', '0', '0', '1', '33', '18', '26', '42']
['19', '15', '28', '92', '1', '24', '89', '1', '17', '25', '184', '1', '2', '17', '29', '196', '0', '0', '0', '0', '8', '31', '184', '165', '276', '254', '0', '0', '2', '1', '2', '1', '2', '15', '9', '67', '3', '8', '6', '14', '0', '0', '0', '0', '28', '38', '31', '22']
['21', '23', '31', '169', '1', '30', '152', '1', '18', '32', '268', '0', '0', '18', '28', '214', '2', '0', '4', '32', '1', '5', '236', '209', '405', '361', '1', '0', '0', '0', '0', '0', '7', '69', '4', '35', '6', '15', '4', '10', '2', '3', '0', '0', '29', '28', '30', '32']
['27', '23', '23', '94', '2', '28', '148', '2', '27', '44', '283', '0', '0', '27', '36', '368', '2', '0', '1', '4', '0', '0', '279', '368', '373', '516', '0', '0', '1', '1', '0', '1', '2', '15', '4', '42', '4', '11', '11', '14', '1', '2', '0', '0', '29', '54', '30', '06']
['20', '16', '30', '90', '1', '24', '84', '0', '20', '34', '228', '2', '1', '24', '40', '219', '1', '1', '0', '0', '3', '23', '228', '196', '318', '280', '1', '0', '1', '0', '1', '1', '6', '35', '7', '74', '5', '13', '5', '16', '0', '0', '1', '1', '29', '31', '30', '29']
