['24', '24', '21', '58', '1', '23', '65', '0', '34', '62', '362', '2', '2', '27', '42', '462', '7', '0', '4', '27', '3', '17', '335', '445', '393', '510', '1', '0', '3', '2', '2', '2', '7', '53', '8', '61', '8', '22', '8', '15', '0', '1', '0', '0', '33', '48', '26', '12']
['17', '14', '42', '112', '1', '15', '31', '0', '11', '20', '125', '0', '0', '21', '33', '191', '1', '1', '1', '8', '5', '28', '117', '163', '229', '194', '1', '0', '2', '1', '0', '2', '6', '60', '4', '47', '6', '15', '4', '13', '1', '1', '1', '1', '34', '01', '25', '59']
['16', '28', '22', '105', '2', '34', '112', '2', '18', '28', '236', '1', '3', '28', '43', '357', '2', '1', '3', '11', '0', '0', '225', '357', '330', '469', '1', '1', '3', '1', '4', '2', '5', '52', '11', '88', '2', '10', '5', '13', '1', '2', '0', '1', '23', '41', '36', '19']
['20', '18', '33', '171', '1', '26', '127', '1', '19', '29', '217', '1', '2', '18', '23', '178', '2', '0', '1', '16', '4', '31', '201', '147', '372', '274', '0', '0', '0', '0', '2', '0', '8', '51', '3', '31', '7', '13', '6', '10', '1', '1', '0', '1', '32', '47', '27', '13']
['18', '20', '23', '20', '1', '13', '47', '0', '24', '38', '272', '1', '1', '26', '53', '289', '1', '3', '4', '17', '6', '45', '255', '244', '275', '291', '0', '0', '2', '0', '1', '3', '10', '77', '9', '57', '8', '16', '1', '14', '0', '0', '2', '4', '32', '47', '27', '13']
['18', '17', '21', '63', '1', '28', '81', '1', '26', '33', '282', '2', '2', '21', '33', '242', '2', '1', '1', '5', '0', '0', '277', '242', '340', '323', '2', '1', '0', '0', '3', '1', '8', '84', '4', '59', '7', '11', '6', '14', '0', '0', '1', '1', '28', '30', '31', '30']
['26', '15', '34', '158', '0', '34', '136', '0', '29', '52', '288', '2', '1', '18', '27', '150', '2', '0', '3', '15', '0', '0', '273', '150', '431', '286', '2', '2', '3', '2', '3', '2', '4', '36', '10', '75', '11', '20', '4', '13', '0', '1', '0', '0', '37', '43', '22', '17']
['12', '22', '25', '65', '1', '29', '90', '0', '15', '31', '210', '1', '1', '24', '39', '256', '1', '1', '3', '25', '5', '42', '185', '214', '250', '304', '3', '1', '2', '1', '2', '2', '13', '102', '6', '45', '6', '16', '7', '18', '0', '0', '0', '0', '27', '38', '32', '22']
['18', '18', '14', '88', '0', '29', '78', '0', '25', '38', '304', '2', '1', '26', '35', '357', '2', '1', '3', '25', '2', '16', '279', '341', '367', '419', '2', '1', '0', '0', '2', '1', '2', '19', '6', '57', '3', '11', '6', '13', '0', '1', '0', '1', '24', '49', '35', '11']
['17', '12', '27', '121', '1', '23', '71', '0', '21', '34', '173', '2', '0', '19', '41', '157', '0', '2', '1', '2', '6', '50', '171', '107', '292', '178', '1', '0', '0', '0', '0', '2', '3', '20', '5', '30', '5', '15', '5', '19', '0', '0', '0', '1', '31', '30', '28', '30']
['18', '17', '26', '70', '0', '26', '134', '0', '25', '33', '320', '1', '0', '16', '23', '125', '1', '0', '2', '20', '1', '6', '300', '119', '370', '253', '1', '1', '3', '2', '1', '2', '9', '99', '4', '46', '6', '13', '5', '11', '0', '0', '0', '0', '30', '14', '29', '46']
['25', '20', '26', '86', '0', '24', '67', '0', '26', '40', '327', '2', '1', '27', '38', '299', '2', '1', '4', '23', '0', '0', '304', '299', '390', '366', '4', '1', '2', '1', '2', '2', '6', '68', '7', '59', '7', '14', '4', '11', '0', '0', '0', '0', '31', '25', '28', '35']
['23', '23', '19', '63', '1', '34', '90', '1', '21', '37', '333', '3', '1', '27', '39', '412', '3', '0', '2', '11', '2', '8', '322', '404', '385', '494', '1', '1', '0', '0', '2', '0', '5', '44', '11', '85', '4', '10', '9', '18', '0', '0', '1', '1', '21', '25', '38', '35']
['21', '22', '14', '50', '0', '23', '87', '0', '27', '42', '450', '4', '3', '36', '49', '263', '2', '1', '3', '22', '2', '19', '428', '244', '478', '331', '3', '3', '2', '0', '6', '1', '6', '52', '5', '40', '6', '11', '5', '15', '0', '0', '0', '0', '22', '50', '37', '10']
['26', '25', '49', '263', '2', '18', '74', '1', '15', '25', '203', '2', '0', '30', '49', '329', '2', '2', '3', '23', '3', '21', '180', '308', '443', '382', '2', '2', '2', '1', '2', '3', '8', '65', '10', '75', '7', '15', '2', '10', '1', '1', '1', '2', '32', '39', '27', '21']
['26', '14', '28', '120', '0', '20', '80', '0', '34', '45', '346', '3', '1', '14', '29', '195', '4', '1', '2', '17', '2', '12', '329', '183', '449', '263', '0', '0', '0', '0', '1', '1', '7', '73', '7', '55', '6', '13', '7', '14', '1', '2', '1', '1', '36', '31', '23', '29']
