['11', '20', '20', '43', '0', '37', '121', '2', '20', '37', '168', '1', '1', '17', '30', '243', '1', '0', '1', '3', '0', '0', '165', '243', '208', '364', '0', '0', '1', '1', '1', '1', '2', '15', '4', '40', '4', '15', '6', '14', '0', '1', '1', '1', '24', '40', '35', '20']
['18', '13', '33', '208', '2', '19', '14', '0', '17', '28', '132', '1', '0', '19', '36', '236', '0', '4', '1', '6', '5', '43', '126', '193', '334', '207', '2', '2', '0', '0', '2', '4', '3', '14', '11', '85', '4', '12', '3', '13', '0', '0', '1', '2', '30', '15', '29', '45']
['27', '21', '38', '171', '3', '13', '159', '0', '24', '32', '273', '2', '0', '24', '39', '316', '4', '2', '0', '0', '3', '13', '273', '303', '444', '462', '2', '0', '4', '3', '0', '5', '6', '45', '9', '75', '4', '14', '1', '8', '2', '4', '0', '1', '35', '37', '24', '23']
['13', '14', '21', '86', '0', '40', '110', '1', '18', '41', '132', '0', '4', '12', '26', '183', '2', '0', '2', '12', '3', '45', '120', '138', '206', '248', '1', '1', '1', '0', '5', '0', '7', '64', '5', '30', '3', '13', '5', '17', '0', '2', '0', '0', '26', '39', '33', '21']
['28', '16', '39', '192', '2', '11', '45', '0', '25', '32', '224', '2', '1', '21', '39', '243', '1', '0', '2', '7', '1', '7', '217', '236', '409', '281', '2', '1', '2', '1', '2', '1', '3', '27', '8', '60', '7', '13', '4', '11', '0', '0', '0', '0', '40', '30', '19', '30']
['30', '23', '25', '122', '3', '18', '66', '1', '30', '43', '415', '3', '1', '24', '41', '341', '3', '1', '2', '7', '3', '15', '408', '326', '530', '392', '1', '1', '0', '0', '2', '1', '6', '38', '8', '60', '3', '8', '6', '12', '2', '2', '0', '1', '33', '10', '26', '50']
['15', '9', '33', '116', '1', '22', '108', '0', '13', '18', '165', '2', '0', '10', '26', '134', '1', '2', '5', '26', '4', '35', '139', '99', '255', '207', '4', '3', '2', '1', '3', '3', '3', '25', '10', '70', '5', '13', '4', '14', '2', '2', '0', '0', '32', '11', '27', '49']
['16', '16', '15', '26', '0', '29', '74', '0', '21', '33', '303', '2', '1', '23', '39', '341', '3', '0', '4', '25', '1', '7', '278', '334', '304', '408', '2', '1', '1', '1', '2', '1', '2', '10', '8', '65', '2', '10', '9', '18', '0', '0', '0', '0', '25', '17', '34', '43']
['19', '15', '36', '112', '0', '20', '95', '0', '24', '32', '275', '1', '2', '13', '32', '145', '0', '3', '1', '4', '0', '0', '271', '145', '383', '240', '2', '0', '2', '2', '2', '5', '11', '84', '5', '40', '4', '16', '2', '9', '3', '3', '1', '1', '37', '25', '22', '35']
['15', '17', '34', '122', '2', '14', '35', '0', '12', '20', '120', '0', '1', '27', '45', '317', '1', '2', '3', '16', '4', '31', '104', '286', '226', '321', '0', '0', '5', '3', '1', '5', '5', '49', '8', '81', '4', '13', '6', '14', '1', '2', '0', '1', '30', '29', '29', '31']
['18', '23', '41', '158', '2', '28', '115', '1', '11', '12', '160', '1', '0', '16', '37', '204', '0', '1', '0', '0', '0', '0', '160', '204', '318', '319', '0', '0', '1', '1', '0', '2', '10', '90', '4', '39', '8', '13', '9', '16', '0', '0', '1', '2', '32', '04', '27', '56']
['22', '21', '26', '134', '2', '33', '133', '5', '21', '35', '295', '1', '0', '17', '27', '259', '0', '0', '3', '21', '1', '0', '274', '259', '408', '392', '0', '0', '1', '1', '0', '1', '8', '48', '3', '25', '5', '14', '6', '13', '1', '1', '2', '2', '31', '11', '28', '49']
