['21', '18', '42', '193', '1', '26', '125', '2', '13', '25', '161', '1', '0', '16', '30', '180', '1', '1', '3', '10', '0', '0', '151', '180', '344', '305', '2', '0', '4', '1', '0', '2', '5', '51', '6', '46', '4', '15', '5', '12', '1', '1', '0', '0', '35', '40', '24', '20']
['14', '21', '20', '53', '0', '25', '126', '0', '24', '37', '261', '1', '0', '25', '44', '184', '2', '1', '2', '9', '2', '10', '252', '174', '305', '300', '2', '0', '0', '0', '0', '1', '10', '84', '9', '75', '3', '14', '6', '16', '0', '1', '1', '1', '24', '53', '35', '07']
['20', '16', '30', '58', '0', '22', '80', '0', '24', '39', '365', '2', '2', '19', '35', '230', '3', '2', '1', '9', '3', '18', '356', '212', '414', '292', '1', '1', '2', '1', '3', '3', '4', '20', '5', '40', '7', '15', '5', '15', '0', '0', '2', '2', '33', '49', '26', '11']
['20', '21', '28', '125', '0', '22', '59', '1', '19', '34', '268', '3', '0', '26', '39', '360', '3', '1', '4', '29', '6', '51', '239', '309', '364', '368', '1', '1', '1', '1', '1', '2', '10', '65', '6', '72', '9', '17', '8', '15', '0', '0', '0', '0', '27', '55', '32', '05']
['20', '22', '19', '99', '1', '30', '98', '0', '19', '32', '247', '2', '1', '27', '38', '275', '3', '2', '3', '21', '0', '0', '226', '275', '325', '373', '2', '1', '1', '0', '2', '2', '8', '67', '7', '64', '3', '10', '8', '16', '0', '0', '0', '0', '25', '57', '34', '03']
['12', '21', '17', '34', '0', '37', '170', '1', '23', '38', '198', '0', '2', '19', '30', '203', '3', '0', '0', '0', '2', '19', '198', '184', '232', '354', '1', '1', '0', '0', '3', '0', '7', '55', '9', '73', '3', '13', '8', '16', '1', '1', '1', '2', '24', '46', '35', '14']
['16', '21', '21', '85', '0', '27', '135', '1', '21', '34', '207', '2', '1', '24', '36', '278', '1', '1', '5', '50', '3', '16', '157', '262', '242', '397', '2', '2', '2', '0', '3', '1', '2', '20', '6', '40', '3', '11', '3', '12', '0', '0', '0', '1', '28', '19', '31', '41']
['28', '16', '38', '259', '1', '26', '223', '2', '17', '30', '180', '2', '2', '14', '27', '154', '0', '1', '2', '15', '7', '48', '165', '106', '424', '329', '1', '0', '4', '1', '2', '2', '5', '45', '4', '40', '4', '11', '6', '15', '0', '0', '0', '1', '34', '18', '25', '42']
['30', '15', '30', '87', '4', '14', '92', '0', '29', '39', '334', '2', '0', '20', '31', '214', '2', '1', '0', '0', '5', '32', '334', '182', '421', '274', '1', '0', '2', '1', '0', '2', '6', '51', '9', '116', '12', '15', '4', '11', '0', '0', '0', '1', '35', '48', '24', '12']
['14', '23', '19', '38', '1', '42', '219', '3', '19', '39', '185', '0', '3', '17', '20', '244', '2', '0', '1', '10', '1', '6', '175', '238', '213', '457', '0', '0', '4', '1', '3', '1', '6', '50', '5', '41', '5', '14', '8', '13', '0', '1', '1', '1', '25', '29', '34', '31']
['24', '15', '29', '129', '1', '27', '103', '0', '27', '43', '266', '1', '2', '17', '29', '175', '2', '0', '0', '0', '2', '6', '266', '169', '395', '272', '2', '1', '3', '0', '3', '0', '6', '61', '8', '70', '8', '15', '4', '13', '0', '1', '0', '0', '31', '44', '28', '16']
