['Chicago_Bears', '0', '7', '6', '14', nan, '27', 'Detroit_Lions', '3', '0', '0', '34', nan, '37']
['Green_Bay_Packers', '7', '3', '3', '10', nan, '23', 'Minnesota_Vikings', '0', '6', '3', '7', nan, '16']
['Oakland_Raiders', '14', '0', '7', '14', nan, '35', 'Miami_Dolphins', '0', '7', '10', '0', nan, '17']
['Seattle_Seahawks', '0', '13', '7', '3', nan, '23', 'San_Francisco_49ers', '0', '0', '3', '0', nan, '3']
['Tampa_Bay_Buccaneers', '14', '3', '0', '3', nan, '20', 'Carolina_Panthers', '0', '0', '0', '7', nan, '7']
['Kansas_City_Chiefs', '0', '6', '10', '14', nan, '30', 'San_Diego_Chargers', '10', '6', '0', '0', nan, '16']
['Pittsburgh_Steelers', '7', '0', '0', '7', nan, '14', 'Arizona_Cardinals', '0', '0', '7', '14', nan, '21']
['Denver_Broncos', '10', '3', '7', '0', nan, '20', 'Indianapolis_Colts', '0', '14', '14', '10', nan, '38']
['Philadelphia_Eagles', '0', '0', '0', '3', nan, '3', 'New_York_Giants', '0', '7', '9', '0', nan, '16']
['New_England_Patriots', '10', '7', '7', '10', nan, '34', 'Cincinnati_Bengals', '0', '7', '3', '3', nan, '13']
['Jacksonville_Jaguars', '3', '7', '0', '7', nan, '17', 'Kansas_City_Chiefs', '0', '0', '0', '7', nan, '7']
['Detroit_Lions', '0', '0', '3', '0', nan, '3', 'Washington_Redskins', '0', '14', '2', '18', nan, '34']
['Arizona_Cardinals', '3', '14', '3', '14', nan, '34', 'St._Louis_Rams', '3', '10', '7', '11', nan, '31']
['Seattle_Seahawks', '0', '0', '0', '0', nan, '0', 'Pittsburgh_Steelers', '0', '7', '7', '7', nan, '21']
['New_York_Jets', '7', '10', '7', '0', nan, '24', 'New_York_Giants', '0', '7', '14', '14', nan, '35']
['Cleveland_Browns', '0', '0', '3', '14', nan, '17', 'New_England_Patriots', '10', '10', '0', '14', nan, '34']
['Miami_Dolphins', '10', '6', '0', '3', nan, '19', 'Houston_Texans', '7', '3', '6', '6', nan, '22']
['Carolina_Panthers', '3', '3', '0', '10', nan, '16', 'New_Orleans_Saints', '3', '3', '7', '0', nan, '13']
['Atlanta_Falcons', '7', '3', '3', '0', nan, '13', 'Tennessee_Titans', '7', '3', '10', '0', nan, '20']
['Tampa_Bay_Buccaneers', '0', '7', '0', '7', nan, '14', 'Indianapolis_Colts', '7', '9', '7', '10', nan, '33']
['Baltimore_Ravens', '0', '6', '3', '0', nan, '9', 'San_Francisco_49ers', '0', '0', '7', '0', nan, '7']
['San_Diego_Chargers', '14', '6', '14', '7', nan, '41', 'Denver_Broncos', '0', '3', '0', '0', nan, '3']
['Chicago_Bears', '0', '7', '10', '10', nan, '27', 'Green_Bay_Packers', '7', '10', '3', '0', nan, '20']
['Dallas_Cowboys', '0', '10', '3', '12', nan, '25', 'Buffalo_Bills', '7', '10', '7', '0', nan, '24']
